N	3gram	Nazirov_Tv_1	Otkroven
1	записок из подполья	3	5
2	у него в	1	5
3	к человеку и	1	4
4	из подполья и	1	3
5	в записках из	3	3
6	в преступлении и	4	3
7	преступлении и наказании	3	3
8	в романах достоевского	13	3
9	записках из подполья	2	3
10	у него не	1	2
11	что у него	1	2
12	не могут быть	1	2
13	из мертвого дома	1	2
14	человеческой природы в	1	2
15	добро и зло	1	1
16	человека и все	1	1
17	человек по природе	4	1
18	и в одно	1	1
19	хотя и не	1	1
20	для человека и	1	1
21	бога и дьявола	1	1
22	высокого и прекрасного	1	1
23	все эти писатели	1	1
24	том что в	2	1
25	что человек по	2	1
26	мысли подпольного человека	1	1
27	бросается в глаза	1	1
28	от свободы от	1	1
29	записки из подполья	6	1
30	мира в преступлении	2	1
31	все та же	1	1
32	преступление и наказание	4	1
33	и все же	3	1
34	может быть назван	1	1
35	у достоевского нет	1	1
36	униженные и оскорбленные	2	1
37	искать ключ к	1	1
38	которого не случайно	1	1
39	к творчеству достоевского	1	1
40	о том что	5	1
41	то что в	1	1
42	и в самом	1	1
43	себе что он	1	1
44	заключает в себе	1	1
45	у достоевского не	1	1
46	в том что	6	1
47	самим собой в	2	1
48	бы он ни	1	1
49	достоевского не могут	1	1
50	в других романах	1	1
51	не так как	1	1
52	у него была	1	1
53	в самом последнем	1	1
54	преступления и наказания	4	1
55	как и в	1	1
56	главное у достоевского	1	1
57	и в ее	1	1
58	и в бесах	1	1
59	на земле к	1	1
