N	3gram	Bakhtin_Fr_8	NovoeSre
1	не может быть	2	4
2	подобно тому как	1	3
3	в средние века	2	3
4	в наши дни	1	3
5	во всех сферах	1	3
6	в этом смысле	1	2
7	вместе с тем	1	2
8	с одной стороны	2	2
9	с другой стороны	2	2
10	все эти формы	1	2
11	вопрос о том	1	2
12	и в ней	1	1
13	а не к	1	1
14	и до сих	2	1
15	в том числе	3	1
16	до сих пор	8	1
17	в эпоху ренессанса	2	1
18	не были еще	1	1
19	в эту эпоху	1	1
20	в отличие от	1	1
21	в основе их	2	1
22	но и в	1	1
23	том числе и	2	1
24	можно было бы	1	1
25	новый мир и	1	1
26	и в наши	1	1
27	и не могут	1	1
28	еще не было	1	1
29	в известном смысле	1	1
30	глубже чем думают	1	1
31	нового времени в	1	1
32	не в том	1	1
33	это конечно не	1	1
34	в своей замечательной	1	1
35	о том что	2	1
36	в то время	2	1
37	культуры в ее	1	1
38	и вместе с	1	1
39	для нового исторического	1	1
40	и т.п по	1	1
41	в глубину в	1	1
42	и все они	1	1
43	никогда еще не	1	1
44	выходит за пределы	1	1
45	в этой системе	1	1
46	в новое время	1	1
47	в большинстве случаев	6	1
48	в том что	6	1
49	как и в	4	1
50	конечно не в	1	1
51	в основу их	1	1
