N	2gram	Kanaev_Sov_1	Otkroven
1	у него	2	22
2	и в	7	19
3	и не	6	13
4	в этом	7	12
5	человека в	1	11
6	не в	3	11
7	не только	4	11
8	может быть	12	11
9	а не	3	11
10	человека и	1	10
11	вопрос о	4	10
12	в нем	3	10
13	и все	3	10
14	прежде всего	5	9
15	не было	1	9
16	никогда не	1	9
17	в его	2	7
18	он не	1	7
19	как и	6	6
20	все это	3	6
21	в том	4	5
22	в самом	2	5
23	в этой	3	5
24	а в	4	5
25	он сам	1	4
26	с его	1	4
27	все эти	5	4
28	не может	17	4
29	человек и	1	4
30	и его	1	4
31	что в	2	4
32	только и	1	4
33	и есть	2	3
34	о том	1	3
35	еще не	3	3
36	к нему	1	3
37	было бы	3	3
38	это за	2	3
39	в себе	3	3
40	не могут	2	3
41	это не	4	3
42	только одно	1	3
43	природы но	1	3
44	могут быть	2	3
45	как бы	4	3
46	с ним	1	3
47	и от	1	3
48	в своих	1	3
49	все что	1	3
50	за все	1	2
51	по себе	1	2
52	природы и	1	2
53	совсем не	1	2
54	и все-таки	1	2
55	в своем	1	2
56	и нет	1	2
57	все же	3	2
58	и к	3	2
59	в этот	1	2
60	и потому	3	2
61	должен был	1	2
62	в которой	2	2
63	он в	3	2
64	уже в	3	2
65	же это	4	2
66	ведь это	3	2
67	так как	4	2
68	в другом	1	2
69	и из	1	2
70	его в	1	2
71	сказать что	1	2
72	но никогда	1	2
73	чем в	1	2
74	должно быть	1	2
75	том что	1	2
76	к этому	1	2
77	что же	5	2
78	не имеет	1	2
79	и для	1	2
80	ничего не	6	2
81	себе даже	1	2
82	и ни	1	2
83	ничто не	1	2
84	жизни в	1	2
85	что все	2	2
86	свободы и	1	2
87	хотя и	1	2
88	но в	3	2
89	и это	1	1
90	и действительно	1	1
91	на самом	1	1
92	но тем	1	1
93	тем же	2	1
94	между двумя	1	1
95	к другому	1	1
96	и до	1	1
97	не имеют	1	1
98	можно было	1	1
99	к чему	2	1
100	из всех	1	1
101	есть не	1	1
102	мы не	9	1
103	том как	1	1
104	в первый	1	1
105	если бы	1	1
106	жизни как	1	1
107	и гармонии	1	1
108	с тою	1	1
109	в ней	1	1
110	вражда к	1	1
111	и что	2	1
112	красоты в	1	1
113	все его	1	1
114	самом деле	2	1
115	в которую	2	1
116	но не	1	1
117	которых в	1	1
118	то он	1	1
119	отметить что	1	1
120	вообще и	1	1
121	же вопрос	1	1
122	все время	1	1
123	человека как	1	1
124	как например	1	1
125	в органической	3	1
126	один из	1	1
127	же методом	1	1
128	природой и	1	1
129	ли он	1	1
130	вот где	1	1
131	чего же	1	1
132	за собой	1	1
133	что это	2	1
134	со всеми	2	1
135	первый период	2	1
136	только один	2	1
137	уже не	2	1
138	что она	3	1
139	из них	4	1
140	его и	1	1
141	он должен	2	1
142	к одному	1	1
143	в корне	1	1
144	в одном	3	1
145	вовсе не	1	1
146	в каждом	8	1
147	в совершенно	1	1
148	том случае	1	1
149	и даже	2	1
150	как у	1	1
151	и прежде	1	1
152	а это	1	1
153	на поверхности	1	1
154	и пр	2	1
155	она и	1	1
156	может ли	1	1
157	на этот	2	1
158	всегда и	1	1
159	в мире	1	1
160	и тогда	1	1
161	этот свой	1	1
162	одна возможность	2	1
163	всего только	2	1
164	та самая	1	1
165	он ставит	1	1
166	всяком случае	2	1
167	и более	1	1
168	в конце	3	1
169	друг с	2	1
170	а потому	1	1
171	но вопрос	1	1
172	но это	1	1
173	отличается от	3	1
174	она не	1	1
175	мысли в	1	1
176	дело в	1	1
177	одна из	3	1
178	в науке	2	1
179	в процессе	1	1
180	не случайно	1	1
181	указать на	1	1
182	жизни не	1	1
183	но еще	1	1
184	еще более	2	1
185	для его	2	1
186	силы в	1	1
187	не допускает	1	1
188	заключает в	1	1
189	с другом	2	1
190	у нас	3	1
191	и эта	1	1
192	не быть	1	1
193	состоит из	3	1
194	но можно	1	1
195	совершенно не	2	1
196	это конечно	1	1
197	та же	1	1
198	в свое	1	1
199	природы нет	1	1
200	его с	1	1
201	жизни и	4	1
202	во всяком	2	1
