N	2gram	Tiupa_Disk_2	Istorich
1	и в	16	22
2	мы имеем	2	19
3	в этом	16	17
4	что в	5	15
5	не только	10	14
6	но и	11	12
7	и не	15	12
8	в этих	3	11
9	может быть	16	11
10	но в	11	10
11	таким образом	1	10
12	еще не	6	10
13	в нем	7	9
14	что и	2	9
15	в том	8	9
16	что он	2	9
17	вместе с	2	9
18	том что	10	8
19	пребывания в	1	7
20	но не	7	7
21	то что	5	7
22	и здесь	1	7
23	уже не	3	7
24	из них	3	7
25	с другой	5	7
26	другой стороны	2	7
27	там где	1	7
28	к этому	4	7
29	то же	6	6
30	не вполне	1	6
31	это не	3	6
32	ничего не	1	6
33	так в	1	6
34	в них	3	6
35	друг друга	1	6
36	а не	14	6
37	а в	2	6
38	с ней	2	6
39	все же	6	5
40	он не	3	5
41	в этой	4	5
42	тем не	1	5
43	не менее	7	5
44	могут быть	3	5
45	живет в	2	5
46	того что	1	5
47	один из	1	5
48	так что	1	5
49	в некоторых	1	5
50	в частности	12	5
51	или по	2	5
52	этом случае	2	5
53	одним из	1	4
54	и на	5	4
55	все эти	3	4
56	отношение к	2	4
57	не в	3	4
58	на этом	1	4
59	и с	2	4
60	как это	1	4
61	к ней	1	4
62	и его	3	4
63	тем что	1	4
64	что на	2	4
65	она не	1	4
66	в пределах	4	4
67	только в	3	4
68	и они	1	4
69	в других	1	4
70	представляют собой	1	4
71	нарушение запрета	1	4
72	в данном	7	4
73	и там	1	4
74	не может	9	4
75	я не	1	3
76	и ее	3	3
77	в чем	1	3
78	со стороны	10	3
79	в одной	1	3
80	некоторое время	1	3
81	и как	3	3
82	в целом	2	3
83	представляет собой	11	3
84	из этих	3	3
85	их в	2	3
86	его в	3	3
87	приходит в	1	3
88	далеко не	2	3
89	как и	16	3
90	состоит в	16	3
91	одном из	3	3
92	в русской	3	3
93	никогда не	2	3
94	потому что	4	3
95	однако это	1	3
96	к тому	1	3
97	о том	4	3
98	здесь не	2	3
99	данном случае	6	3
100	можно только	1	3
101	особого рода	1	3
102	от них	1	3
103	в его	3	3
104	как мне	1	3
105	прежде всего	7	3
106	а через	1	3
107	превращается в	1	3
108	на смерть	1	3
109	стороны и	2	3
110	быть и	1	3
111	но это	3	3
112	и от	1	3
113	его не	1	3
114	солнца и	1	3
115	и все	3	3
116	сказать что	1	3
117	равно как	1	3
118	ее в	1	3
119	например в	3	2
120	и то	4	2
121	и есть	1	2
122	в котором	3	2
123	не имеют	1	2
124	той же	2	2
125	же как	2	2
126	вопрос о	1	2
127	время от	1	2
128	но она	3	2
129	из того	1	2
130	он ничего	1	2
131	в ней	2	2
132	как правило	1	2
133	к жизни	3	2
134	в сторону	1	2
135	по отношению	4	2
136	в качестве	16	2
137	вследствие чего	1	2
138	как в	8	2
139	в своем	5	2
140	ней в	1	2
141	хотя и	1	2
142	в этот	1	2
143	ни один	1	2
144	при этом	17	2
145	видно что	1	2
146	так и	9	2
147	но все	1	2
148	большинстве случаев	1	2
149	ни в	7	2
150	вовсе не	1	2
151	и для	2	2
152	и было	1	2
153	такой же	2	2
154	точки зрения	4	2
155	в которых	1	2
156	но они	1	2
157	и более	1	2
158	даже в	1	2
159	и герой	1	2
160	в то	5	2
161	одна из	1	2
162	я буду	1	2
163	это еще	2	2
164	как будто	3	2
165	в самых	1	2
166	утверждать что	1	2
167	и это	2	2
168	роль в	4	2
169	в другом	3	2
170	не с	2	2
171	одного из	4	2
172	о ней	1	2
173	и что	1	2
174	в силу	1	2
175	а также	8	2
176	там же	2	2
177	должно было	1	2
178	между тем	2	2
179	же в	1	2
180	и так	1	2
181	у тебя	1	2
182	с одной	4	2
183	героя с	1	2
184	в жизни	1	2
185	для нее	1	2
186	всяком случае	1	2
187	в одном	4	2
188	только на	1	2
189	в особенности	1	2
190	и даже	1	2
191	мертвых с	1	2
192	и др	1	2
193	но есть	1	2
194	не было	3	2
195	одной стороны	4	2
196	можно утверждать	1	2
197	с миром	1	2
198	да и	1	2
199	можно сказать	3	2
200	указать на	2	2
201	лицо и	1	2
202	еще более	1	2
203	или не	1	2
204	не дает	1	2
205	отношению к	4	2
206	жизни и	3	2
207	во всяком	1	2
208	она была	1	1
209	за ее	1	1
210	также и	3	1
211	самом деле	1	1
212	не признает	1	1
213	и до	1	1
214	со своей	1	1
215	встречается и	1	1
216	целого но	1	1
217	есть не	1	1
218	и была	1	1
219	значении в	1	1
220	мы не	1	1
221	наличие в	1	1
222	это всегда	1	1
223	принадлежит к	3	1
224	данного цикла	1	1
225	в некотором	1	1
226	столь же	3	1
227	ночи так	1	1
228	не то	1	1
229	к которой	2	1
230	действия и	1	1
231	всего он	1	1
232	к богу	1	1
233	ответ на	1	1
234	в новом	1	1
235	тут же	2	1
236	не просто	1	1
237	друга и	1	1
238	отнюдь не	6	1
239	более чем	2	1
240	др см	1	1
241	что как	2	1
242	такова же	1	1
243	перед нами	3	1
244	еще на	1	1
245	говорят о	1	1
246	открылась дверь	1	1
247	бы не	1	1
248	право на	1	1
249	ни одна	1	1
250	этому я	1	1
251	друг от	1	1
252	человек не	1	1
253	но прежде	1	1
254	не следует	3	1
255	одному из	1	1
256	должна быть	2	1
257	в первую	2	1
258	не как	1	1
259	этот период	1	1
260	его от	1	1
261	подобно тому	2	1
262	и наоборот	1	1
263	человека в	4	1
264	по своему	1	1
265	в состоянии	1	1
266	в мире	11	1
267	об этом	1	1
268	это весьма	1	1
269	входит в	2	1
270	но их	1	1
271	на спине	1	1
272	не соответствует	1	1
273	одной из	1	1
274	но уже	2	1
275	и во-вторых	1	1
276	этого она	1	1
277	героя или	1	1
278	она и	1	1
279	случае мы	1	1
280	соответствии с	3	1
281	и вне	1	1
282	ведет к	3	1
283	сказкой и	1	1
284	но если	1	1
285	в своей	6	1
286	наводит на	1	1
287	в такой	1	1
288	где мы	1	1
289	с точки	2	1
290	месту где	1	1
291	однако этот	1	1
292	от времени	1	1
293	своего рода	10	1
294	где на	1	1
295	и той	1	1
296	для данного	3	1
297	на мысль	1	1
298	разные формы	1	1
299	что этот	1	1
300	вплоть до	1	1
301	в таких	1	1
302	все три	1	1
303	из нас	1	1
304	здесь невозможно	1	1
305	не принадлежит	1	1
306	самого начала	1	1
307	например не	1	1
308	того как	1	1
309	или другие	1	1
310	было у	1	1
311	о них	1	1
312	одной и	1	1
313	не имели	1	1
314	в разных	1	1
315	имеем дело	1	1
316	его лицо	1	1
317	с нами	1	1
318	как при	1	1
319	как она	1	1
320	такая же	1	1
321	не говорит	1	1
322	во всем	1	1
323	образа и	1	1
324	герою на	1	1
325	было происходить	1	1
326	перед ним	1	1
327	жениха с	1	1
328	начиная с	1	1
329	и другой	1	1
330	отличается от	1	1
331	об одном	3	1
332	обряда инициации	1	1
333	указывает на	1	1
334	не есть	1	1
335	было уже	1	1
336	приходит к	1	1
337	с ее	2	1
338	от друга	1	1
339	в ее	1	1
340	здесь также	1	1
341	более поздним	1	1
342	ну уж	1	1
343	только то	1	1
344	в себя	2	1
345	с самого	1	1
346	или нескольких	1	1
347	и сам	1	1
348	в образе	1	1
349	только через	1	1
350	отсюда и	2	1
351	в исторической	3	1
352	во второй	1	1
353	он сам	1	1
354	для этого	1	1
355	с ним	1	1
356	как выражение	1	1
357	инициации не	1	1
358	мире в	3	1
359	для превращения	1	1
360	но здесь	2	1
361	покоя и	2	1
362	которого можно	1	1
363	и должно	1	1
364	при котором	2	1
365	никак не	1	1
366	времени в	4	1
367	последних двух	2	1
368	восходит к	3	1
369	тем как	1	1
370	те моменты	1	1
371	обнаруживается в	1	1
372	и только	1	1
373	здесь в	3	1
374	где происходит	1	1
375	предполагать что	1	1
376	но тут	1	1
377	своему собственному	1	1
378	следует ли	1	1
