N	2gram	Savitsky_E_1	Literetu
1	не только	18	24
2	при этом	1	19
3	в качестве	14	17
4	но и	14	17
5	а не	2	16
6	в том	11	16
7	в частности	5	15
8	том что	6	14
9	тогда как	1	13
10	может быть	6	13
11	и не	14	12
12	в этом	12	12
13	прежде всего	9	11
14	состоит в	1	11
15	в своем	14	11
16	то что	6	10
17	или иначе	1	9
18	не в	5	8
19	как это	4	8
20	только в	9	8
21	и в	37	8
22	в себе	9	7
23	как бы	6	7
24	не менее	1	7
25	в его	2	7
26	уже не	1	7
27	как и	7	6
28	связи с	1	6
29	в жизни	1	6
30	точки зрения	23	6
31	то есть	6	6
32	того что	7	6
33	и сам	1	6
34	в рамках	1	6
35	же время	14	5
36	не может	9	5
37	для себя	1	5
38	тем самым	5	5
39	же в	2	5
40	то же	15	5
41	в отличие	1	5
42	отличие от	1	5
43	в то	16	5
44	с этой	6	5
45	казалось бы	1	5
46	с его	1	5
47	а также	7	5
48	как в	3	5
49	уже в	1	5
50	в данном	3	5
51	всего лишь	3	4
52	все же	1	4
53	данном случае	2	4
54	в связи	1	4
55	так и	10	4
56	по преимуществу	2	4
57	в своей	8	4
58	для этого	1	4
59	но не	5	4
60	культуры в	4	4
61	мир в	1	4
62	в формах	1	4
63	никогда не	3	4
64	духовной жизни	2	4
65	и его	1	4
66	лишь в	1	4
67	в случае	2	4
68	представляет собой	3	4
69	в силу	2	4
70	со стороны	5	4
71	в этой	2	4
72	с собой	1	4
73	не как	1	4
74	в своих	2	4
75	столь же	5	4
76	и тем	3	4
77	из них	3	4
78	еще в	1	4
79	во всяком	3	3
80	тех же	1	3
81	исходит из	1	3
82	аналогии с	1	3
83	жизни и	2	3
84	не было	1	3
85	таким образом	2	3
86	этой точки	5	3
87	например в	1	3
88	ли не	1	3
89	а в	2	3
90	в принципе	1	3
91	по своей	2	3
92	сводится к	1	3
93	что в	21	3
94	потому что	3	3
95	более чем	2	3
96	и даже	6	3
97	не сводится	1	3
98	на рубеже	1	3
99	по отношению	1	3
100	и прежде	3	3
101	в сфере	3	3
102	несмотря на	4	3
103	что его	1	3
104	один из	1	3
105	в культуре	3	3
106	мыслится как	1	3
107	в основе	1	3
108	в их	11	3
109	с их	1	3
110	дело в	3	3
111	том же	1	3
112	в самом	4	3
113	русской культуры	1	3
114	далеко не	2	3
115	также и	7	3
116	с другой	7	3
117	одно из	1	3
118	как совокупность	4	3
119	но в	14	3
120	всего в	2	3
121	той же	1	3
122	в области	11	3
123	одного из	1	3
124	свое собственное	1	3
125	мира в	4	3
126	в пределах	25	3
127	одна из	1	3
128	все эти	1	2
129	есть наиболее	1	2
130	и того	2	2
131	поэзии и	1	2
132	россии как	3	2
133	в столь	1	2
134	бы на	1	2
135	того же	3	2
136	ко всему	2	2
137	было у	1	2
138	как некий	1	2
139	себе в	3	2
140	ту или	3	2
141	не к	2	2
142	для них	2	2
143	должна быть	2	2
144	не говоря	2	2
145	в сознании	1	2
146	говоря уже	2	2
147	в нем	1	2
148	даже в	4	2
149	хотя бы	15	2
150	которая в	1	2
151	та же	1	2
152	xx века	1	2
153	и культуры	1	2
154	и только	3	2
155	а для	1	2
156	вплоть до	1	2
157	для него	1	2
158	по этому	1	2
159	для понимания	2	2
160	между тем	8	2
161	культуре и	1	2
162	будь то	1	2
163	что для	1	2
164	различие между	1	2
165	в россии	5	2
166	за пределы	1	2
167	то и	1	2
168	в мире	2	2
169	относится к	1	2
170	что не	1	2
171	к тому	8	2
172	поскольку он	2	2
173	отнюдь не	9	2
174	не на	4	2
175	в индивидуальном	1	2
176	во многих	4	2
177	не является	3	2
178	тому же	1	2
179	всяком случае	3	2
180	тем что	3	2
181	так называемых	1	2
182	то это	1	2
183	ту же	1	2
184	особого рода	1	2
185	всякая иная	1	2
186	одной стороны	8	2
187	на этом	1	2
188	могут быть	2	2
189	с одной	8	2
190	можно было	3	2
191	чтобы не	1	2
192	этом отношении	3	2
193	от себя	1	2
194	или иную	3	2
195	для нее	1	2
196	нет ничего	1	2
197	с точки	17	2
198	освободиться от	1	2
199	так называемый	1	2
200	о том	3	2
201	тем более	4	2
202	все более	9	2
203	на себя	3	2
204	и то	2	2
205	было бы	8	2
206	имеется в	1	2
207	как будто	2	2
208	из того	2	2
209	или иной	4	2
210	чуть ли	1	2
211	не есть	2	2
212	в сферу	2	2
213	во втором	2	2
214	если и	1	1
215	в xviii	1	1
216	бы они	1	1
217	и этот	2	1
218	же следует	1	1
219	для всех	1	1
220	уже о	1	1
