N	2gram	Propp_Morf_1	Tragedij
1	и в	13	18
2	в этом	14	9
3	не только	4	8
4	он сам	1	7
5	и с	1	7
6	и на	1	7
7	может быть	52	7
8	как бы	3	7
9	и не	12	7
10	но в	2	6
11	и его	1	6
12	в образе	4	6
13	что он	4	6
14	у него	1	6
15	то же	7	5
16	все же	7	5
17	что это	1	5
18	он вдруг	1	5
19	это не	6	5
20	как и	3	5
21	несмотря на	4	5
22	в то	3	5
23	так и	6	5
24	не может	14	5
25	еще не	3	4
26	в себе	1	4
27	в целом	3	4
28	в этой	2	4
29	об этом	4	4
30	том что	4	4
31	и что	2	4
32	но и	4	4
33	и даже	1	4
34	прежде всего	9	4
35	так же	3	4
36	но это	6	4
37	что в	8	4
38	и все	1	4
39	то что	8	4
40	как в	3	3
41	и как	5	3
42	все эти	2	3
43	при этом	1	3
44	должно быть	1	3
45	что с	1	3
46	о чем	1	3
47	в поле	4	3
48	с ее	1	3
49	мог бы	1	3
50	к нему	3	3
51	в его	1	3
52	один из	5	3
53	для него	1	3
54	никто не	3	3
55	как будто	2	3
56	как это	3	3
57	что за	1	3
58	вряд ли	2	2
59	в первом	3	2
60	из самых	1	2
61	и до	1	2
62	она все	1	2
63	что эти	2	2
64	и за	2	2
65	и то	1	2
66	он был	1	2
67	но этого	1	2
68	с его	2	2
69	отношение к	1	2
70	отличие от	1	2
71	отвечает ему	1	2
72	так что	1	2
73	о жизни	1	2
74	перед нами	10	2
75	говорит что	1	2
76	имеет в	1	2
77	он не	3	2
78	что она	2	2
79	но все	3	2
80	его в	2	2
81	в это	1	2
82	ни в	1	2
83	нет в	1	2
84	с тем	2	2
85	в ходе	4	2
86	что говорит	1	2
87	вопрос о	7	2
88	но эта	1	2
89	не в	3	2
90	не играют	1	2
91	что этот	1	2
92	но они	1	2
93	одна из	4	2
94	не имеет	2	2
95	у отца	1	2
96	не могут	4	2
97	к тому	4	2
98	данном случае	1	2
99	раз он	1	2
100	еще в	1	2
101	ничего не	4	2
102	и здесь	5	2
103	о том	2	2
104	в глаза	2	2
105	что и	7	2
106	ее за	1	2
107	бросается в	1	2
108	в том	6	2
109	который в	2	2
110	и ее	3	2
111	уже не	2	2
112	в виде	2	2
113	не так	1	2
114	в одном	1	2
115	друг друга	3	2
116	тем что	4	2
117	как же	2	2
118	в рассказе	1	2
119	я тебе	1	2
120	в данном	1	2
121	и дети	1	2
122	о его	1	2
123	она должна	1	2
124	еще раз	1	2
125	это уже	3	2
126	потому что	3	2
127	со мной	1	2
128	состоит из	1	2
129	в частности	2	2
130	только о	1	2
131	этим объясняется	1	2
132	в таком	1	2
133	точно так	1	2
134	только он	1	1
135	ли мы	1	1
136	ту же	2	1
137	и т	41	1
138	одним из	1	1
139	например в	2	1
140	обращается в	4	1
141	и др	10	1
142	самом деле	4	1
143	это и	2	1
144	и есть	2	1
145	от самого	1	1
146	ведется в	1	1
147	должна быть	1	1
148	высшей степени	1	1
149	не думает	1	1
150	то для	1	1
151	при случае	1	1
152	связаны между	1	1
153	не вполне	1	1
154	вместо того	1	1
155	ему в	1	1
156	средство для	1	1
157	в виду	1	1
158	начала в	1	1
159	затем он	1	1
160	встречается в	1	1
161	представляет собой	17	1
162	между собой	4	1
163	в чем	1	1
164	во всех	4	1
165	но не	4	1
166	но как	2	1
167	в быту	1	1
168	значение и	1	1
169	а он	1	1
170	тогда как	2	1
171	некоторые черты	1	1
172	чем же	1	1
173	что именно	1	1
174	вот как	1	1
175	что ее	1	1
176	мысль о	1	1
177	и наконец	1	1
178	дается в	2	1
179	отнесены к	1	1
180	то в	3	1
181	в которой	3	1
182	бы не	1	1
183	право на	2	1
184	только один	1	1
185	№ и	2	1
186	если он	1	1
187	вообще не	1	1
188	три года	3	1
189	по-видимому не	1	1
190	водой их	1	1
191	на западе	1	1
192	одному из	3	1
193	рассмотрению и	1	1
194	не значит	2	1
195	его самого	4	1
196	в россии	2	1
197	ее своей	1	1
198	и по	2	1
199	на этом	3	1
200	таким образом	21	1
201	здесь мы	3	1
202	а затем	4	1
203	же не	1	1
204	в другом	2	1
205	конечно в	1	1
