N	2gram	Bakhtin_Fr_6	Sotsiolo
1	все это	11	7
2	в этом	12	5
3	в том	2	5
4	для нас	2	3
5	не только	10	3
6	в его	7	3
7	и в	41	3
8	не в	4	3
9	только в	3	2
10	может быть	2	2
11	и что	5	2
12	в результате	4	2
13	это и	2	2
14	то же	5	2
15	должна быть	2	2
16	было бы	3	2
17	далеко не	1	2
18	ведь это	2	2
19	таким образом	17	2
20	но и	13	2
21	как будто	1	2
22	тем более	2	2
23	еще не	1	2
24	то что	10	2
25	или даже	1	2
26	конце концов	1	2
27	исторического развития	1	2
28	за пределы	2	2
29	по отношению	1	2
30	в частности	2	2
31	литературы и	2	2
32	к которому	1	2
33	им не	1	2
34	отношению к	1	2
35	по существу	1	2
36	в конце	2	2
37	что в	7	2
38	как бы	7	2
39	в смысле	1	2
40	том что	7	2
41	и не	3	1
42	более не	1	1
43	в этой	8	1
44	в своей	2	1
45	бы в	2	1
46	же этот	1	1
47	еще и	1	1
48	по себе	1	1
49	все эти	11	1
50	у которых	1	1
51	только то	1	1
52	лучшем случае	1	1
53	и его	13	1
54	не дает	1	1
55	в целом	1	1
56	с другой	4	1
57	это как	1	1
58	в сущности	8	1
59	именно на	4	1
60	ровно ничего	1	1
61	связи с	2	1
62	на ней	1	1
63	в них	7	1
64	в связи	1	1
65	что он	6	1
66	тем же	1	1
67	представляется нам	1	1
68	что все	2	1
69	не было	1	1
70	в каждом	1	1
71	в лучшем	1	1
72	сказать и	1	1
73	и границы	1	1
74	образом в	2	1
75	а с	1	1
76	и стало	1	1
77	настаивает на	1	1
78	не из	1	1
79	но не	2	1
80	и никак	1	1
81	факта что	1	1
82	которые предлагает	1	1
83	никак не	3	1
84	этой области	1	1
85	вовсе не	7	1
86	все же	4	1
87	между тем	2	1
88	а в	4	1
89	выходит за	3	1
90	новое и	1	1
91	это не	1	1
92	в то	6	1
93	те же	3	1
94	нам право	1	1
95	между собою	5	1
96	выдвигает на	1	1
97	между ними	3	1
98	литературе и	3	1
99	конечно не	3	1
100	он по	1	1
101	даже больше	1	1
102	и наконец	4	1
103	для этого	2	1
104	в чем	3	1
105	на первый	3	1
106	никогда не	8	1
107	него и	1	1
108	в котором	4	1
109	больше того	1	1
110	и разрешить	1	1
111	в него	3	1
112	благодаря этому	1	1
113	и о	1	1
114	в этих	2	1
115	том как	1	1
116	у него	7	1
117	как и	7	1
118	с помощью	6	1
119	настоящее время	1	1
120	с ним	4	1
121	место в	1	1
122	первый план	3	1
123	на все	3	1
124	в настоящее	1	1
125	мы еще	2	1
126	один из	6	1
127	из себя	1	1
128	в строгом	1	1
129	являются те	1	1
130	какой же	1	1
131	и как	4	1
132	же не	1	1
133	его в	1	1
134	с одной	4	1
135	о том	9	1
136	на что	1	1
137	даже в	4	1
138	поставить и	1	1
139	одной стороны	4	1
140	границы и	1	1
141	и потому	2	1
142	со своими	1	1
143	опираясь на	1	1
144	дает нам	2	1
145	в таких	2	1
146	реализма и	1	1
147	время в	1	1
148	и по	1	1
149	ничего не	1	1
150	все то	5	1
151	что это	5	1
152	между собой	1	1
153	на основании	1	1
154	на этот	1	1
155	мы не	2	1
156	не может	4	1
157	тех кто	1	1
158	же время	5	1
159	но только	1	1
160	прежде всего	10	1
161	они не	3	1
162	по самому	1	1
163	он говорит	1	1
164	тем что	5	1
165	полагает что	1	1
166	так и	5	1
167	в данном	3	1
168	именно в	4	1
169	только для	1	1
170	перед нами	3	1
171	в области	2	1
