N	3gram	Nazirov_Tv_2	Myslijsy
1	в том что	2	16
2	там же с	9	6
3	по отношению к	3	5
4	по крайней мере	2	5
5	то же время	7	5
6	в то же	7	5
7	с другой стороны	2	4
8	в то время	1	4
9	до сих пор	3	3
10	в свою очередь	1	3
11	и т д	11	3
12	в том смысле	1	3
13	не может быть	3	3
14	только потому что	1	2
15	в том же	2	2
16	в таком случае	2	2
17	и т п	2	2
18	не могут быть	1	2
19	и в том	1	2
20	мы не можем	1	2
21	так и в	2	2
22	как и в	1	2
23	то все же	1	1
24	том смысле что	1	1
25	в чем не	1	1
26	в чем же	1	1
27	потому что в	1	1
28	и по способу	1	1
29	в самом деле	2	1
30	так мы не	1	1
31	сих пор еще	1	1
32	может быть назван	1	1
33	сами по себе	1	1
34	по самой своей	2	1
35	а может быть	1	1
36	и если бы	1	1
37	бедность и ограниченность	1	1
38	со всех сторон	1	1
39	хотя во многом	1	1
40	в целом и	2	1
41	нам вместе с	1	1
42	по себе не	1	1
43	по мере своего	1	1
44	в первый раз	1	1
45	оставим в стороне	1	1
46	не зависит от	1	1
47	и что в	1	1
48	то по крайней	1	1
49	должна указывать на	1	1
50	потому что они	1	1
51	приходит в голову	1	1
52	только то что	1	1
53	приходит к сознанию	1	1
54	не в силах	2	1
55	о том что	2	1
56	ничего общего с	1	1
57	том что этот	1	1
58	может и не	1	1
59	именно потому что	1	1
60	к тому же	1	1
61	на наш взгляд	2	1
