N	3gram	Bakhtin_fo_2	Komedia
1	в том что	3	9
2	и т п	11	5
3	в то время	1	5
4	с другой стороны	1	5
5	том что он	1	4
6	то время как	1	4
7	в конце концов	1	4
8	в одном из	1	4
9	то же время	4	4
10	в то же	4	4
11	и т д	3	4
12	в этом отношении	2	3
13	с одной стороны	1	3
14	о том что	1	3
15	то же самое	2	2
16	но и в	3	2
17	здесь мы встречаем	1	2
18	до сих пор	2	2
19	как и в	1	2
20	каждый из них	1	2
21	в тех же	1	2
22	на протяжении всего	2	2
23	скорее можно говорить	1	1
24	место уже в	1	1
25	другой стороны в	1	1
26	отношение к себе	1	1
27	и чаще всего	1	1
28	в том числе	3	1
29	с собой на	1	1
30	в том же	4	1
31	до эпохи возрождения	1	1
32	с этой точки	1	1
33	эта борьба и	1	1
34	и не только	1	1
35	вместе с тем	1	1
36	можно говорить о	1	1
37	в чем не	1	1
38	под открытым небом	1	1
39	это вовсе не	1	1
40	он не мог	1	1
41	с тех пор	1	1
42	со всех сторон	1	1
43	и у других	1	1
44	в данном случае	1	1
45	не только в	5	1
46	жизни но и	1	1
47	но при этом	1	1
48	обстоит дело с	1	1
49	в отличие от	1	1
50	для своего выражения	1	1
51	и в их	1	1
52	во всех отношениях	1	1
53	том что они	1	1
54	в наибольшей степени	1	1
55	о которых мы	1	1
56	потому что они	2	1
57	этой точки зрения	1	1
58	ни в чем	1	1
59	что он не	1	1
60	в борьбе с	2	1
61	но он не	1	1
62	с самого начала	1	1
63	т п в	1	1
64	и вернуться к	1	1
65	и прежде всего	3	1
66	по аналогии с	1	1
67	друг от друга	2	1
68	в другом случае	1	1
69	в большинстве случаев	3	1
70	как мы уже	4	1
71	и художественного мышления	1	1
72	к тому что	1	1
73	как мы видели	1	1
74	или вовсе не	1	1
75	для того чтобы	7	1
76	так как он	1	1
77	неизвестно кем и	1	1
78	из того же	1	1
79	первой из них	1	1
