N	2gram	Voloshinov_1	Sovremen
1	не может	4	17
2	может быть	1	12
3	точки зрения	1	12
4	в каждом	1	8
5	и в	3	7
6	и не	1	6
7	с точки	1	5
8	нет и	1	4
9	не только	1	4
10	то же	1	3
11	может не	1	3
12	он в	1	3
13	а не	1	3
14	и все	1	3
15	в системе	1	3
16	вторая половина	1	2
17	в его	1	2
18	из этих	1	2
19	не менее	1	2
20	можно назвать	1	2
21	мы видим	1	2
22	нуждаются в	1	1
23	если бы	1	1
24	это направление	1	1
25	и должно	1	1
26	в ней	1	1
27	же время	1	1
28	если в	2	1
29	один из	2	1
30	от общей	1	1
31	не из	1	1
32	по своим	1	1
33	несмотря на	1	1
34	связи с	1	1
35	в то	1	1
