N	2gram	Medvedev_V_1	Myslijsy
1	то есть	1	34
2	потому что	1	33
3	то что	6	29
4	может быть	22	26
5	таким образом	31	24
6	в этом	26	23
7	в том	15	23
8	и в	26	23
9	в слове	3	22
10	и не	19	18
11	что в	10	17
12	только в	7	15
13	то же	10	14
14	в себе	6	14
15	как и	7	14
16	того что	3	14
17	для нас	1	14
18	если бы	3	13
19	не было	7	12
20	а не	7	12
21	том что	8	12
22	не в	6	11
23	по себе	2	11
24	но и	10	11
25	не может	17	11
26	по отношению	7	10
27	не только	25	10
28	тем что	1	10
29	что мы	2	10
30	и потому	2	10
31	между тем	5	9
32	то это	2	8
33	в своем	8	8
34	но в	2	8
35	заключает в	1	8
36	было бы	7	8
37	тогда когда	2	8
38	о том	10	8
39	сказать что	5	8
40	отношению к	7	8
41	и т	23	7
42	мы говорим	1	7
43	поэзии и	1	7
44	очевидно что	7	7
45	как в	1	7
46	с этим	3	7
47	на то	1	7
48	в нем	6	7
49	в силу	11	7
50	что такое	2	7
51	это не	7	7
52	по мере	1	7
53	и что	1	7
54	что и	3	7
55	вовсе не	3	7
56	с тем	3	7
57	могут быть	5	7
58	что если	1	6
59	и к	3	6
60	в которой	2	6
61	того как	1	6
62	мысль о	2	6
63	так и	5	6
64	что не	3	6
65	заметить что	1	6
66	для того	3	6
67	вместе с	7	6
68	и то	1	5
69	говорить о	2	5
70	хотя и	2	5
71	бы и	6	5
72	есть для	1	5
73	как бы	5	5
74	так сказать	2	5
75	должно быть	2	5
76	по крайней	2	5
77	не менее	2	5
78	с ним	1	5
79	не имеет	1	5
80	образом в	3	5
81	внимание на	1	5
82	крайней мере	2	5
83	есть в	1	5
84	уже в	1	5
85	только тогда	1	5
86	в его	14	5
87	для него	8	5
88	слова и	1	5
89	все это	10	5
90	а в	3	5
91	во всяком	1	5
92	а между	1	4
93	сам по	1	4
94	в истории	1	4
95	что все	3	4
96	его в	3	4
97	с другими	2	4
98	мы имеем	3	4
99	между собою	2	4
100	точки зрения	3	4
101	в котором	3	4
102	сих пор	1	4
103	т п	9	4
104	в то	6	4
105	того чтобы	3	4
106	со своим	2	4
107	в сознании	4	4
108	в каком	1	4
109	же самое	2	4
110	если же	1	4
111	и может	2	4
112	на вопрос	2	4
113	и та	1	4
114	можно сказать	4	4
115	что он	4	4
116	хотя бы	19	4
117	в одном	4	4
118	от того	2	4
119	только на	1	4
120	до сих	1	4
121	а именно	1	4
122	как же	1	4
123	быть названо	1	4
124	на основании	8	4
125	так же	3	4
126	в данном	1	4
127	в той	1	4
128	да и	1	4
129	и все	1	4
130	между ними	3	4
131	в представлении	2	4
132	есть то	1	4
133	по поводу	2	4
134	в таком	1	4
135	например в	3	3
136	человека и	3	3
137	самом деле	1	3
138	и есть	5	3
139	что эти	1	3
140	ответить на	1	3
141	еще до	1	3
142	из сказанного	1	3
143	еще не	2	3
144	в самом	4	3
145	формы в	1	3
146	все эти	6	3
147	бы не	2	3
148	лица и	2	3
149	и если	1	3
150	на его	1	3
151	т д	14	3
152	и по	3	3
153	в каждом	2	3
154	том случае	1	3
155	что мысль	1	3
156	лишь в	2	3
157	что например	2	3
158	в них	4	3
159	не всегда	1	3
160	но это	1	3
161	в которых	3	3
162	их в	6	3
163	что есть	1	3
164	в науке	2	3
165	на себе	1	3
166	связанная с	1	3
167	только не	2	3
168	никогда не	4	3
169	же время	5	3
170	связи с	4	3
171	так то	1	3
172	должны быть	2	3
173	к тому	4	3
174	слова с	1	3
175	образы и	5	3
176	что у	2	3
177	было в	2	3
178	ту же	2	3
179	мы в	1	3
180	в виду	4	3
181	вообще и	2	3
182	с ними	4	3
183	этот вопрос	3	3
184	пор не	1	3
185	то в	1	3
186	и так	1	3
187	с нею	2	3
188	уже не	1	3
189	в поэзии	1	3
190	слова не	1	3
191	при помощи	3	3
192	и других	1	3
193	себе в	1	3
194	и их	3	3
195	всяком случае	1	3
196	даже и	3	3
197	и из	1	3
198	именно в	2	3
199	более чем	1	3
200	нет ничего	1	3
201	между прочим	2	3
202	кроме того	1	3
203	в этих	1	3
204	только что	4	3
205	и вместе	1	3
206	в искусстве	6	3
207	в процессе	16	3
208	таком случае	1	2
209	мысли а	1	2
210	в чувственном	1	2
211	уже по	2	2
212	а как	2	2
213	как мы	1	2
214	имеет свою	3	2
215	не вполне	2	2
216	но даже	3	2
217	мы и	1	2
218	собою и	2	2
219	в ней	2	2
220	проявляется в	1	2
221	и многие	1	2
222	в различных	2	2
223	значение и	1	2
224	к ним	1	2
225	еще дальше	1	2
226	одном из	3	2
227	что способность	1	2
228	или слов	1	2
229	и слова	1	2
230	что по	1	2
231	жизни к	1	2
232	так или	1	2
233	из этих	7	2
234	что она	2	2
235	как оно	1	2
236	не следует	8	2
237	он не	2	2
238	не значит	1	2
239	не как	1	2
240	из него	1	2
241	подобно тому	2	2
242	человека в	2	2
243	об этом	9	2
244	это было	1	2
245	в сложном	1	2
246	например с	1	2
247	из каких-либо	1	2
248	но что	1	2
249	и при	5	2
250	представить себе	2	2
251	и без	1	2
252	что до	1	2
253	от его	2	2
254	признать что	1	2
255	вопрос о	1	2
256	вводить в	1	2
257	перед собою	1	2
258	сами по	1	2
259	том же	6	2
260	даже в	5	2
261	тому что	6	2
262	она не	3	2
263	эта мысль	1	2
264	в таких	1	2
265	даже не	2	2
266	виду что	1	2
267	самого начала	1	2
268	мысли в	1	2
269	например что	3	2
270	дело не	1	2
271	иметь в	2	2
272	не имели	1	2
273	имеем дело	1	2
274	к ней	1	2
275	его значения	1	2
276	и его	6	2
277	мы бы	1	2
278	в более	1	2
279	что на	1	2
280	в области	2	2
281	у нас	2	2
282	освобождается от	1	2
283	не могут	7	2
284	из себя	2	2
285	и это	1	2
286	в ее	4	2
287	данном случае	1	2
288	вопрос что	1	2
289	судя по	1	2
290	что может	1	2
291	в образе	2	2
292	можно было	2	2
293	представлений и	2	2
294	в самой	1	2
295	то уже	1	2
296	после того	1	2
297	что его	2	2
298	бы в	3	2
299	еще более	1	2
300	в ту	1	2
301	мы хотим	1	2
302	к сознанию	1	2
303	может иметь	1	2
304	для самого	1	2
305	человека а	1	2
306	происходит в	1	2
307	быть и	1	2
308	один из	5	2
309	мы видим	1	2
310	что даже	2	2
311	они могут	1	2
312	эти образы	1	2
313	конечно не	1	2
314	и у	2	2
315	в виде	1	2
316	в понятие	1	2
317	что будет	1	2
318	это обстоятельство	1	2
319	отношение к	1	2
320	друг друга	1	2
321	и даже	2	2
322	свою историю	1	2
323	с другой	11	2
324	или иначе	1	2
325	на этот	1	2
326	в свою	1	2
327	и быть	2	2
328	и др	9	2
329	которые не	1	2
330	с образами	1	2
331	равно как	4	2
332	к его	2	2
333	относятся к	1	2
334	только для	1	2
335	из которых	2	2
336	если так	1	2
337	по своему	1	2
338	в течение	2	2
339	тому как	2	2
340	такая форма	1	2
341	в состоянии	1	2
342	никем не	1	2
343	том смысле	1	2
344	художественное произведение	5	2
345	из тех	1	2
346	и для	2	2
347	чтобы понять	1	2
348	при посредстве	1	2
349	от него	1	2
350	большею частью	1	2
351	и как	3	2
352	ни к	1	2
353	во время	3	2
354	хотя в	1	2
355	есть и	1	2
356	только о	2	2
357	во сне	21	2
358	уже есть	1	2
359	в своих	2	2
360	можно назвать	1	2
361	вряд ли	1	1
362	произведения но	1	1
363	можно говорить	1	1
364	также что	2	1
365	речь идет	1	1
366	воображении и	1	1
367	одним из	5	1
368	у гоголя	1	1
369	художественного произведения	6	1
370	начинается с	1	1
371	связана с	2	1
372	он может	2	1
373	художественных произведений	1	1
374	говорит так	1	1
375	материал таким	1	1
376	этого в	1	1
377	др в	3	1
378	в их	5	1
379	каждое художественное	1	1
380	в сфере	2	1
381	в несколько	1	1
382	со всех	1	1
383	пока он	1	1
384	бы уже	1	1
385	или наоборот	1	1
386	впрочем эта	1	1
387	что совокупность	1	1
388	что чувственное	1	1
389	как комплекс	1	1
390	зависимости от	5	1
391	таковы например	1	1
392	о роли	1	1
393	всех сторон	1	1
394	это время	1	1
395	свою очередь	1	1
396	меньшей степени	2	1
397	по этому	9	1
398	он сам	2	1
399	как один	1	1
400	ответа на	1	1
401	быть в	1	1
402	в последних	1	1
403	в чем	2	1
404	ним или	1	1
405	во всех	6	1
406	ними в	1	1
407	видели что	3	1
408	но не	2	1
409	но как	3	1
410	было указано	1	1
411	явлений и	3	1
412	не все	1	1
413	творческой деятельности	7	1
414	этой категории	1	1
415	нет и	3	1
416	разница в	1	1
417	и речи	1	1
418	относится к	2	1
419	в известном	1	1
420	как говорит	5	1
421	бы при	1	1
422	что нет	2	1
423	перед нами	4	1
424	самые явления	1	1
425	ничего и	1	1
426	что этим	1	1
427	и художественного	3	1
428	к музыке	1	1
429	следующим образом	3	1
430	вот несколько	1	1
431	носит в	2	1
432	при создании	3	1
433	меньшей мере	1	1
434	многих из	1	1
435	а во-вторых	1	1
436	и через	2	1
437	он в	1	1
438	сил в	1	1
439	в этой	4	1
440	к двум	1	1
441	необходимо сделать	1	1
442	этого образа	1	1
443	имеем в	1	1
444	если он	1	1
445	дальше и	1	1
446	этого выражения	1	1
447	но на	1	1
448	этот процесс	2	1
449	например как	1	1
450	к простым	1	1
451	время и	1	1
452	о начале	1	1
453	образом для	1	1
454	только материал	1	1
455	они в	1	1
456	и еще	1	1
457	почти то	1	1
458	том чтобы	2	1
459	и сам	1	1
460	на этом	1	1
461	его можно	1	1
462	его качество	1	1
463	и наоборот	1	1
464	что их	1	1
465	а вместе	1	1
466	впечатлений но	1	1
467	что этот	1	1
468	чувственное восприятие	1	1
469	в нечто	1	1
470	главным образом	7	1
471	фактов не	1	1
472	них не	4	1
473	а по	1	1
474	разница между	1	1
475	с целью	1	1
476	по выражению	1	1
477	входит в	1	1
478	заключается в	2	1
479	наблюдений и	1	1
480	деле в	1	1
481	вот например	6	1
482	произведения от	1	1
483	случае является	1	1
484	им самим	1	1
485	с которого	1	1
486	это положение	1	1
487	его частей	1	1
488	далеко не	2	1
489	показывает что	1	1
490	в действии	1	1
491	мы видели	3	1
492	здесь можно	1	1
493	значит не	1	1
494	обратимся к	1	1
495	понятия и	1	1
496	восприятия и	2	1
497	всего остального	1	1
498	в своей	4	1
499	взгляд на	1	1
500	в которые	1	1
501	и музыке	1	1
502	и значит	2	1
503	них новые	1	1
