N	2gram	Vinokur_Ku_2	Morfolog
1	может быть	15	52
2	и т	39	49
3	т д	14	47
4	и пр	8	40
5	таким образом	5	20
6	не может	9	17
7	в этих	1	16
8	т е	22	16
9	могут быть	4	15
10	с этим	3	14
11	и в	23	13
12	в этом	18	13
13	так как	15	12
14	и др	1	12
15	перед нами	4	11
16	связи с	3	11
17	чаще всего	1	11
18	заметить что	1	10
19	то же	6	9
20	мы имеем	5	9
21	так и	4	9
22	этом случае	2	9
23	не всегда	2	9
24	прежде всего	8	9
25	а не	10	9
26	в связи	4	9
27	и не	16	9
28	что и	3	8
29	с другой	8	8
30	по существу	5	8
31	в результате	4	8
32	вопрос о	9	7
33	в лес	1	7
34	или же	2	7
35	в качестве	8	7
36	представляет собою	1	7
37	все же	7	7
38	но не	6	6
39	это не	6	6
40	не могут	5	6
41	составные части	1	6
42	и здесь	5	6
43	а также	3	6
44	в форме	3	6
45	в том	19	6
46	а в	3	6
47	мы не	1	5
48	не все	3	5
49	то что	9	5
50	здесь можно	1	5
51	далеко не	1	5
52	не менее	7	5
53	потому что	25	5
54	или в	4	5
55	вслед за	1	5
56	один из	5	5
57	если мы	4	5
58	сюда же	2	5
59	наряду с	1	5
60	как бы	4	5
61	можно наблюдать	1	5
62	и другие	1	5
63	также и	5	4
64	тех же	2	4
65	показать что	1	4
66	то мы	1	4
67	как в	3	4
68	два раза	1	4
69	не хватает	2	4
70	хотя и	4	4
71	и как	1	4
72	ни одна	1	4
73	не только	20	4
74	на этом	3	4
75	об этом	5	4
76	было бы	15	4
77	вовсе не	9	4
78	как и	2	4
79	несмотря на	5	4
80	точки зрения	14	4
81	с точки	8	4
82	тем не	6	4
83	на котором	1	4
84	ничего не	4	4
85	тем что	3	4
86	очень часто	2	4
87	в других	1	4
88	как мы	3	4
89	могла бы	2	4
90	по отношению	1	4
91	другой стороны	7	4
92	там где	5	4
93	так же	4	4
94	в иных	2	4
95	а если	2	4
96	в точности	1	4
97	что в	10	4
98	получает в	1	3
99	самом деле	9	3
100	на самом	2	3
101	и для	2	3
102	о помощи	1	3
103	независимо от	1	3
104	целый ряд	5	3
105	но в	11	3
106	к чему	1	3
107	в целом	1	3
108	в нашем	7	3
109	в пределах	4	3
110	он должен	1	3
111	и по	3	3
112	прежде чем	1	3
113	но все	4	3
114	в ход	1	3
115	а по	1	3
116	вопрос как	1	3
117	ни в	4	3
118	и вне	1	3
119	том что	11	3
120	в то	4	3
121	реагирует на	1	3
122	в сущности	9	3
123	того чтобы	11	3
124	от того	4	3
125	такие случаи	3	3
126	большей частью	1	3
127	если бы	12	3
128	с того	1	3
129	но и	7	3
130	он не	3	3
131	значит что	1	3
132	к нему	2	3
133	в какой	1	3
134	рассматриваться как	1	3
135	мы можем	1	3
136	в руки	1	3
137	что они	2	3
138	пр и	1	3
139	для этой	2	3
140	из которых	3	3
141	последнем случае	1	3
142	но это	3	3
143	кроме того	1	3
144	мы должны	2	3
145	только что	1	3
146	же в	3	3
147	если же	1	3
148	смысле слова	2	2
149	обычно в	1	2
150	как это	5	2
151	тем же	2	2
152	он требует	1	2
153	встречается и	1	2
154	есть нечто	1	2
155	время как	1	2
156	мы получаем	1	2
157	как таковая	1	2
158	к выполнению	1	2
159	что действительно	1	2
160	и к	1	2
161	мы определяем	1	2
162	то в	1	2
163	сказать о	1	2
164	сюда относятся	1	2
165	одному из	1	2
166	не значит	1	2
167	состоит в	2	2
168	приходим к	1	2
169	я разумею	1	2
170	можно было	9	2
171	в другом	2	2
172	мы уже	1	2
173	большинстве случаев	2	2
174	о характере	2	2
175	то как	1	2
176	этого не	3	2
177	с тем	2	2
178	бы считать	1	2
179	для него	1	2
180	и при	1	2
181	что такое	3	2
182	мы приходим	1	2
183	за которым	1	2
184	таких случаях	2	2
185	ли этот	1	2
186	нельзя было	2	2
187	настоящее время	1	2
188	и более	2	2
189	однако в	1	2
190	а а	1	2
191	таких случаев	1	2
192	все эти	12	2
193	в таких	3	2
194	что эта	2	2
195	не имеет	4	2
196	одна из	1	2
197	знать что	1	2
198	б в	1	2
199	и его	3	2
200	так например	1	2
201	в каком	4	2
202	способные к	1	2
203	для того	9	2
204	оно не	2	2
205	утверждать что	2	2
206	совершается в	1	2
207	здесь не	3	2
208	и пользуется	1	2
209	то время	1	2
210	и что	8	2
211	не с	1	2
212	ясно что	5	2
213	но здесь	2	2
214	во избежание	1	2
215	о том	1	2
216	с одной	2	2
217	подобные же	1	2
218	можно сказать	4	2
219	ни к	15	2
220	и только	1	2
221	того что	3	2
222	иных случаях	1	2
223	как например	1	2
224	быть и	1	2
225	хотя бы	9	2
226	идет по	1	2
227	этот вопрос	6	2
228	что он	5	2
229	или иные	1	2
230	только в	5	2
231	уже не	8	2
232	вопроса о	6	2
233	в большинстве	1	2
234	или не	1	2
235	в виде	1	2
236	его и	1	2
237	у нее	1	2
238	носит характер	2	2
239	типична для	1	2
240	но есть	2	2
241	а на	2	2
242	не знает	3	2
243	сказать что	4	2
244	что мы	6	2
245	в частности	2	2
246	д в	1	2
247	одной стороны	1	2
248	следует еще	3	2
249	нам еще	1	2
250	но для	3	2
251	случае он	1	2
252	стороны ее	1	2
253	тем и	1	2
254	в настоящее	1	2
255	но вот	2	2
256	одной из	1	2
257	для каждой	1	2
258	в свое	2	2
259	поставить вопрос	2	2
260	но эти	1	2
261	к этому	4	2
262	точно так	3	2
263	вроде следующего	1	1
264	наши дни	1	1
265	и то	5	1
266	утверждение что	1	1
267	на пример	1	1
268	он может	1	1
269	дело обстоит	1	1
270	говорилось выше	1	1
271	как такового	1	1
272	почти всегда	2	1
273	свое место	2	1
274	противном случае	1	1
275	приходит к	1	1
276	то для	3	1
277	есть не	1	1
278	на первом	1	1
279	но никто	1	1
280	водовоз и	1	1
281	на эти	1	1
282	как функции	1	1
283	что это	7	1
284	что иное	1	1
285	как во	1	1
286	оно есть	1	1
287	вместо того	1	1
288	конечно и	2	1
289	в виду	3	1
290	следовательно в	1	1
291	принадлежит и	1	1
292	он был	1	1
293	отделаться от	1	1
294	одна за	1	1
295	имеем здесь	1	1
296	мы будем	2	1
297	но как	1	1
298	не то	2	1
299	нет не	1	1
300	далее можно	1	1
