N	4gram	Tiupa_Anal_1	EvropaiC
1	в том случае если	1	4
2	лишь в том что	1	3
3	одного и того же	2	3
4	бы то ни было	3	2
5	в то же время	6	2
6	лишь в том случае	1	2
7	для того чтобы быть	1	2
8	одно и то же	1	1
9	только тогда когда оно	1	1
10	и не может быть	4	1
11	в том числе и	1	1
12	нет и не может	2	1
13	в том или ином	2	1
14	мысль о том что	1	1
15	одной и той же	1	1
16	в том что он	2	1
17	состоит в том что	3	1
18	два различных аспекта одного	1	1
19	состоит лишь в том	1	1
20	в том виде в	1	1
21	различных аспекта одного и	1	1
22	из того что в	2	1
23	не говоря уже о	1	1
24	аспекта одного и того	1	1
