N	2gram	Losev_Dial_1	Problema
1	то есть	1	39
2	то что	13	38
3	вовсе не	7	37
4	и не	30	37
5	и в	18	35
6	не есть	40	33
7	не только	13	24
8	сказать что	10	24
9	том что	9	19
10	что такое	10	18
11	даже и	3	18
12	о том	4	18
13	может быть	17	18
14	в этом	12	17
15	и вообще	4	16
16	но и	7	16
17	что мы	1	14
18	только в	3	14
19	не менее	2	13
20	потому что	14	13
21	не может	12	13
22	и что	12	13
23	во всяком	4	13
24	также и	7	12
25	тем не	1	12
26	того что	2	12
27	в том	9	12
28	хотя бы	6	12
29	не просто	7	11
30	не будет	1	11
31	никак не	6	11
32	значения и	1	11
33	и даже	13	11
34	так что	15	11
35	прежде всего	10	11
36	что в	13	11
37	в таком	1	11
38	и то	9	10
39	говорить о	5	10
40	еще не	2	10
41	всяком случае	2	10
42	ничего не	17	10
43	и с	5	10
44	а не	14	10
45	в данном	3	10
46	да и	6	10
47	тем более	2	10
48	в этой	1	9
49	если мы	2	9
50	только на	3	9
51	что же	3	9
52	для нас	1	9
53	все же	5	8
54	по себе	25	8
55	есть только	5	8
56	ясно что	8	8
57	в виду	5	8
58	было бы	12	8
59	уже не	2	8
60	при помощи	1	8
61	как раз	4	8
62	только о	1	8
63	есть нечто	10	7
64	совсем не	1	7
65	бы и	2	7
66	все эти	2	7
67	тоже не	2	7
68	того или	1	7
69	те или	1	7
70	мы не	1	7
71	тем самым	1	7
72	не имеет	15	7
73	не является	3	7
74	в конце	4	7
75	так и	9	7
76	в его	3	7
77	конце концов	3	7
78	так как	11	7
79	и т	21	6
80	есть не	3	6
81	мы и	2	6
82	с другой	6	6
83	но как	2	6
84	а только	3	6
85	относится к	2	6
86	и вовсе	1	6
87	но в	6	6
88	так или	1	6
89	на то	5	6
90	т д	19	6
91	что все	1	6
92	был бы	1	6
93	по крайней	4	6
94	можно ли	1	6
95	мы можем	4	6
96	не о	4	6
97	как будто	1	6
98	крайней мере	4	6
99	когда мы	1	6
100	же самое	1	6
101	другими словами	2	6
102	можно сказать	6	6
103	в виде	2	6
104	ни в	15	6
105	или иначе	1	6
106	а именно	1	6
107	о чем	2	6
108	но это	8	6
109	при условии	3	6
110	и для	2	6
111	не существует	7	6
112	в то	6	6
113	то же	10	5
114	отнюдь не	9	5
115	с этим	2	5
116	в самом	3	5
117	в себе	11	5
118	с другими	2	5
119	этом смысле	3	5
120	но уже	2	5
121	как и	2	5
122	и без	1	5
123	представление о	1	5
124	есть именно	1	5
125	и более	4	5
126	раз и	2	5
127	для меня	4	5
128	под этим	1	5
129	связи с	1	5
130	той или	7	5
131	указывает на	3	5
132	и это	2	5
133	как мы	4	5
134	можно было	5	5
135	с одной	2	5
136	же это	3	5
137	одной стороны	2	5
138	или иной	3	5
139	еще и	3	5
140	что не	7	5
141	другой стороны	4	5
142	уже давно	1	5
143	в частности	2	5
144	так же	4	5
145	кроме того	1	5
146	в связи	1	5
147	или другой	4	5
148	и все	3	5
149	есть то	1	5
150	пусть не	1	4
151	самом деле	3	4
152	на самом	3	4
153	и есть	16	4
154	этой теории	1	4
155	что если	2	4
156	и тут	3	4
157	и самого	1	4
158	не был	2	4
159	но не	4	4
160	сама по	8	4
161	в своем	5	4
162	и той	1	4
163	и как	7	4
164	более или	3	4
165	вообще не	1	4
166	что она	7	4
167	но именно	1	4
168	всех этих	3	4
169	таким образом	1	4
170	заключается в	1	4
171	и тем	1	4
172	далеко не	1	4
173	между собою	2	4
174	как таковой	4	4
175	на первый	1	4
176	или менее	3	4
177	в этих	5	4
178	но если	5	4
179	на свете	1	4
180	же такое	1	4
181	в отношении	5	4
182	существует и	1	4
183	есть прежде	1	4
184	до сих	2	4
185	но только	3	4
186	в каком	8	4
187	именно как	2	4
188	стороны и	3	4
189	не могут	1	4
190	и о	3	4
191	если бы	12	4
192	и только	1	4
193	значит что	14	4
194	что он	11	4
195	есть в	1	4
196	не можем	1	4
197	то и	2	4
198	представить себе	1	4
199	случае не	3	4
200	как же	5	4
201	и самый	1	4
202	ни о	5	4
203	и следовательно	2	4
204	если не	1	4
205	мы говорим	4	4
206	или по	2	4
