N	2gram	Tiupa_Lite_3	KFilosof
1	может быть	12	43
2	в его	6	39
3	в нем	2	31
4	не может	8	27
5	и не	22	26
6	по отношению	4	25
7	и в	16	22
8	в себе	6	21
9	в котором	1	21
10	отношению к	4	21
11	для меня	2	20
12	не есть	1	19
13	и его	6	17
14	в ее	5	17
15	а не	12	17
16	только в	7	16
17	в этом	14	13
18	точки зрения	7	13
19	но не	4	12
20	для него	2	12
21	в своей	7	11
22	не в	10	11
23	к нему	1	11
24	во всех	2	10
25	в своем	1	10
26	это не	5	10
27	с точки	3	10
28	от себя	2	10
29	все это	1	10
30	и есть	1	9
31	в их	1	9
32	в целом	5	9
33	в единственном	1	9
34	бытия и	1	9
35	но и	14	9
36	как бы	8	9
37	и для	4	9
38	и все	1	9
39	лишь в	5	8
40	было бы	2	8
41	если бы	2	8
42	со стороны	7	8
43	не было	1	8
44	жизни и	3	8
45	я должен	1	7
46	то что	12	7
47	во всем	1	7
48	что и	2	7
49	себя в	7	7
50	конечно не	1	7
51	в единстве	3	7
52	вовсе не	1	7
53	быть только	2	7
54	я не	2	6
55	момент в	1	6
56	отношение к	2	6
57	отнюдь не	3	6
58	и я	1	6
59	мира в	3	6
60	он не	1	6
61	в мире	16	6
62	и только	2	6
63	и действительно	1	6
64	совершенно не	3	6
65	уже не	3	6
66	и их	1	6
67	но это	1	6
68	в том	12	6
69	жизни как	2	5
70	все же	2	5
71	но в	3	5
72	жизнь как	2	5
73	не только	14	5
74	то же	9	5
75	его в	2	5
76	как и	5	5
77	должно быть	4	5
78	что я	5	5
79	не имеет	1	5
80	никогда не	4	5
81	в событии	1	5
82	для себя	2	5
83	именно в	5	5
84	бытия в	2	5
85	там где	3	5
86	в контексте	1	5
87	в основе	5	5
88	хотя бы	1	5
89	жизни в	4	5
90	не знает	2	5
91	где я	1	4
92	себя а	1	4
93	быть в	1	4
94	в чем	1	4
95	при этом	15	4
96	не как	2	4
97	здесь мы	1	4
98	бы быть	1	4
99	входит в	4	4
100	место в	4	4
101	тем самым	7	4
102	не по	1	4
103	о нем	2	4
104	с ними	2	4
105	и т.д	1	4
106	времени и	1	4
107	мира и	2	4
108	познания и	1	4
109	между тем	3	4
110	во всей	2	4
111	нисколько не	1	4
112	ни было	2	4
113	в одном	4	4
114	в эстетическом	1	4
115	том что	8	4
116	для нас	1	4
117	а в	5	4
118	что в	2	4
119	в своих	2	4
120	самом деле	3	3
121	на самом	1	3
122	событии бытия	1	3
123	из его	1	3
124	для которого	3	3
125	в ней	1	3
126	еще не	6	3
127	и на	2	3
128	не могу	2	3
129	тем как	1	3
130	себе и	1	3
131	нет и	1	3
132	в акте	1	3
133	независимо от	1	3
134	данный момент	1	3
135	для которой	1	3
136	не изнутри	1	3
137	бы и	3	3
138	бы не	1	3
139	и отношения	1	3
140	прошлое и	1	3
141	для того	2	3
142	в корне	1	3
143	людей и	1	3
144	в каждом	1	3
145	в другом	6	3
146	нет в	1	3
147	не менее	2	3
148	тогда когда	1	3
149	в единство	1	3
150	целом и	2	3
151	и делает	1	3
152	здесь не	2	3
153	бытия для	1	3
154	здесь нет	1	3
155	в виду	1	3
156	лишь при	1	3
157	о том	6	3
158	ним и	1	3
159	того что	9	3
160	а лишь	2	3
161	и тем	3	3
162	был бы	1	3
163	тем что	2	3
164	что не	2	3
165	до конца	4	3
166	и жизни	3	3
167	сознания и	2	3
168	лишь как	1	3
169	не должен	1	3
170	не я	2	3
171	в свою	2	3
172	в то	9	3
173	и то	1	2
174	я и	10	2
175	это и	1	2
176	и принципиально	1	2
177	едва ли	3	2
178	вопрос о	2	2
179	с его	6	2
180	в данном	4	2
181	к которой	1	2
182	как в	5	2
183	этом его	1	2
184	сознания в	1	2
185	и как	3	2
186	с действительной	1	2
187	себе как	1	2
188	ни одна	1	2
189	в этой	8	2
190	вследствие этого	2	2
191	в принципе	2	2
192	причастность бытию	1	2
193	так и	9	2
194	то ни	2	2
195	а по	2	2
196	ответственность за	2	2
197	действительности в	2	2
198	весь мир	1	2
199	в жизни	8	2
200	кажется что	1	2
201	соответствии с	5	2
202	с тем	1	2
203	место и	1	2
204	жизни но	1	2
205	и того	1	2
206	моей причастности	1	2
207	тем не	1	2
208	и эти	1	2
209	по себе	2	2
210	и эстетический	1	2
211	тому что	1	2
212	мышления и	1	2
213	в процессе	1	2
214	сознания как	1	2
215	того чтобы	2	2
216	целом как	1	2
217	где его	1	2
218	же время	7	2
219	в области	3	2
220	к себе	8	2
221	пространство и	1	2
222	его с	1	2
223	той или	2	2
224	оно не	2	2
225	чтобы стать	1	2
226	ничего общего	1	2
227	чтобы быть	1	2
228	во главе	1	2
229	говорить о	1	2
230	котором мы	1	2
231	и себе	1	2
232	жизнь и	1	2
233	бы то	2	2
234	не со	1	2
235	в ту	2	2
236	и она	1	2
237	что он	5	2
238	а с	1	2
239	как поступка	1	2
240	именно на	1	2
241	со всеми	2	2
242	в качестве	5	2
243	сознания не	1	2
244	и других	1	2
245	поступающего сознания	1	2
246	автора как	1	2
247	или иной	2	2
248	для этого	1	2
249	себя и	2	2
250	предмет и	1	2
251	прежде всего	3	2
252	в соответствии	3	2
253	только по	1	2
254	смысла и	1	2
255	эстетического субъекта	7	2
256	он и	2	2
257	если не	2	2
258	и потому	2	2
259	бытию в	1	2
260	что за	1	2
261	пространство в	1	2
262	быть не	2	2
263	все остальные	1	2
264	это уже	1	2
265	места поскольку	1	2
266	человек и	1	2
267	еще более	1	2
268	ни к	3	2
269	потому что	3	2
270	отношении к	1	2
271	с моим	1	2
272	к этому	2	2
273	в стороне	1	1
274	и до	1	1
275	что эти	1	1
276	исходит из	1	1
277	мысль каждый	1	1
278	отношения к	3	1
279	мы уже	1	1
280	той же	3	1
281	его не	1	1
282	и себя	1	1
283	я как	4	1
284	совпадает с	1	1
285	само слово	1	1
286	котором не	1	1
287	как поэт	1	1
288	и ее	2	1
289	как я	1	1
290	и он	1	1
291	причастности к	6	1
292	мысли и	1	1
293	столь же	1	1
294	его действительности	1	1
295	поэтому столь	1	1
296	в нашем	1	1
297	черты и	1	1
298	высшей ценностью	1	1
299	с собою	1	1
300	не просто	1	1
301	я только	2	1
302	определяется не	1	1
303	в истории	1	1
304	субъекта и	5	1
305	ибо на	1	1
306	с этим	1	1
307	и целого	1	1
308	нам остается	1	1
309	хотя и	4	1
310	и наконец	3	1
311	и к	3	1
312	в действительности	1	1
313	эстетический субъект	2	1
314	активность не	1	1
315	в этот	1	1
316	и полностью	1	1
317	в первом	2	1
318	или иную	1	1
319	за собой	1	1
320	видения мира	1	1
321	в самом	3	1
322	светом и	1	1
323	другого как	1	1
324	любви не	1	1
325	сознания он	1	1
326	ее как	1	1
327	на то	2	1
328	действительную жизнь	2	1
329	самого по	1	1
330	жизнью и	1	1
331	на его	3	1
332	не отменяет	1	1
333	оно было	1	1
334	за весь	1	1
335	она становится	1	1
336	а просто	1	1
337	момента в	1	1
338	нее и	1	1
339	не к	1	1
340	оно должно	1	1
341	содержит в	1	1
342	актера и	1	1
343	побежден и	1	1
344	я с	3	1
345	значительной степени	1	1
346	мы его	1	1
347	а затем	3	1
348	в определенное	1	1
349	и с	2	1
350	то есть	5	1
351	который и	1	1
352	и иных	1	1
353	я для	1	1
354	всю свою	1	1
355	как другого	1	1
356	отказа от	1	1
357	который по	1	1
358	все равно	1	1
359	всеми другими	1	1
360	этого не	1	1
361	и уже	1	1
362	несмотря на	2	1
363	все моменты	1	1
364	чем в	1	1
365	и было	1	1
366	контексте его	1	1
367	в этих	1	1
368	жизни мира	1	1
369	жизнь не	1	1
370	от своего	1	1
371	она сама	1	1
372	художественного творчества	2	1
373	не становится	3	1
374	на месте	1	1
375	вся современная	1	1
376	то для	1	1
377	к предмету	2	1
378	в моей	1	1
379	себе самой	1	1
380	значение для	1	1
381	но он	1	1
382	персональной ответственности	1	1
383	в предыдущем	1	1
384	искусстве в	1	1
385	на один	1	1
386	в отношении	1	1
387	центра в	1	1
388	с которой	2	1
389	она не	1	1
390	что ему	2	1
391	как о	2	1
392	мысли в	1	1
393	так чтобы	2	1
394	что ей	1	1
395	к другим	1	1
396	единственный его	1	1
397	сознания конечно	1	1
398	для всего	1	1
399	стороны своего	1	1
400	только не	1	1
401	субъекта но	1	1
402	жизни не	2	1
403	автор и	1	1
404	впрочем в	1	1
405	эти стороны	1	1
406	этих последних	1	1
407	и незаместимости	1	1
408	по своей	3	1
409	за исключением	1	1
410	ему и	1	1
411	мире и	1	1
412	и теперь	1	1
413	меня с	1	1
414	уже и	1	1
415	лирический герой	5	1
416	точке зрения	1	1
417	сделать в	1	1
418	у меня	1	1
419	именно оно	1	1
420	есть только	1	1
421	и всех	1	1
422	и субъектом	1	1
423	к тому	6	1
424	жизни этих	1	1
425	и мне	1	1
426	за свою	1	1
427	обрести свое	1	1
428	однако по	1	1
429	правда не	1	1
430	аналогию с	1	1
431	моя жизнь	1	1
432	и о	1	1
433	более не	1	1
434	с ее	3	1
435	свою очередь	1	1
436	но при	1	1
437	и от	1	1
438	и автора	1	1
439	но мы	1	1
440	культуры на	1	1
441	свет в	1	1
442	на том	1	1
443	своей мысли	1	1
444	личных миров	1	1
445	вышла из	1	1
446	и человеческого	1	1
447	с собой	1	1
448	не за	1	1
449	не с	2	1
450	здесь как	2	1
451	участия в	1	1
452	этой мысли	1	1
453	который я	1	1
454	можно только	1	1
455	может оставаться	1	1
456	и всякого	1	1
457	и даже	2	1
458	мы живем	1	1
459	потерял себя	1	1
460	здесь я	1	1
461	на все	1	1
462	именно там	1	1
463	второй половине	1	1
464	возможен и	1	1
465	становится культурным	1	1
466	только за	1	1
467	можно сказать	2	1
468	в значительной	1	1
469	не допуская	1	1
470	в конечном	1	1
471	а во	1	1
472	строфы в	1	1
473	и требует	1	1
474	переходит в	1	1
475	во втором	2	1
476	когда оно	1	1
477	нуждается в	1	1
478	путь а	2	1
479	вне меня	1	1
480	действительно произнесенное	1	1
481	но ответственным	1	1
482	сказать и	2	1
483	не знаю	2	1
484	человека как	1	1
485	если это	2	1
486	в жизнь	4	1
487	в литературе	1	1
488	один из	2	1
489	но с	2	1
490	в участника	1	1
491	вне себя	2	1
492	до ее	1	1
493	небо и	1	1
494	я со	1	1
495	одной из	1	1
496	не само	1	1
497	субъекта в	2	1
498	же я	1	1
499	себя со	1	1
500	но между	1	1
501	только на	1	1
502	ее а	1	1
503	и продукт	1	1
504	а то	1	1
505	мог стать	2	1
506	конечном счете	1	1
507	к единой	1	1
508	только одно	1	1
509	ту или	1	1
510	одно из	4	1
511	истории для	1	1
512	так как	1	1
513	ее не	1	1
514	друг друга	1	1
515	к человеку	1	1
516	но уже	3	1
517	как раз	2	1
518	да это	1	1
519	с действительностью	1	1
520	к той	1	1
521	я то	1	1
522	но из	1	1
523	где есть	1	1
524	это будет	2	1
525	между субъектом	2	1
526	живой жизни	3	1
527	был не	1	1
528	она и	2	1
529	что тем	1	1
530	не единственное	1	1
531	и т.п	6	1
532	на ее	1	1
533	а именно	5	1
534	во второй	2	1
535	содержанием в	1	1
536	сознания для	1	1
537	в живом	2	1
538	превращается в	1	1
539	ничем не	1	1
540	его эстетической	1	1
541	и всякое	1	1
542	стороны в	1	1
543	всю полноту	2	1
544	нет ничего	1	1
545	я стал	1	1
546	эти слова	2	1
547	вместе с	5	1
548	как жизнь	1	1
549	к его	1	1
550	путь от	1	1
551	себе самому	3	1
552	книге о	1	1
553	в историю	1	1
554	к бытию	1	1
555	можно быть	2	1
556	какого бы	2	1
557	еще на	2	1
558	над ним	1	1
559	когда мы	1	1
560	в точке	1	1
561	лицом и	1	1
562	самого себя	1	1
563	в первой	2	1
564	переживается как	1	1
565	это значит	1	1
566	в человеке	1	1
567	слова и	1	1
568	события а	1	1
569	жизни его	1	1
570	своей жизни	2	1
571	только для	3	1
572	же самое	2	1
573	меня я	1	1
574	остается в	1	1
575	за его	2	1
576	не случайным	1	1
577	и сама	1	1
578	но такой	1	1
579	я всегда	1	1
580	весь мой	1	1
581	он за	1	1
582	индивидуальную ответственность	2	1
583	но отнюдь	1	1
584	в индивидуальном	1	1
585	когда он	2	1
586	эстетической деятельности	2	1
587	в третьем	3	1
588	субъектом и	1	1
589	все они	2	1
590	жизни что	1	1
591	я в	7	1
592	же в	2	1
593	себя всю	1	1
594	разобщения и	1	1
595	границу между	1	1
596	с ней	2	1
597	была бы	1	1
598	найти себя	2	1
599	того же	2	1
600	жизни а	2	1
601	в последнем	1	1
602	я это	2	1
603	бы его	1	1
604	культуры в	1	1
605	связать и	1	1
606	ней в	1	1
607	а я	3	1
608	ее в	2	1
609	в искусстве	1	1
610	всем своим	1	1
611	который не	1	1
612	они не	1	1
