N	3gram	Nazirov_Tv_2	Problemy
1	то же время	7	10
2	в то же	7	10
3	с самого начала	1	8
4	по отношению к	3	6
5	мы уже говорили	1	5
6	в творчестве достоевского	4	4
7	но в то	1	4
8	во всяком случае	2	4
9	в романах достоевского	12	4
10	и прежде всего	1	4
11	той или иной	1	4
12	как и у	1	3
13	записок из подполья	1	3
14	в высшей степени	1	3
15	в мире достоевского	1	3
16	с другой стороны	2	3
17	в братьях карамазовых	6	3
18	не может быть	3	3
19	к тому же	1	3
20	то все же	1	2
21	и не может	2	2
22	и в то	2	2
23	в отличие от	2	2
24	можно было бы	1	2
25	все это я	1	2
26	в произведениях достоевского	2	2
27	и в этом	1	2
28	что он сам	1	2
29	что у достоевского	2	2
30	так и в	2	2
31	не в силах	2	2
32	у достоевского нет	2	2
33	героя и его	1	2
34	в том что	2	2
35	именно потому что	1	2
36	у достоевского это	1	1
37	его обступили и	1	1
38	в чем не	1	1
39	в которой он	1	1
40	в чем же	1	1
41	в исповеди ипполита	1	1
42	потому что в	1	1
43	дело в том	1	1
44	в душе раскольникова	1	1
45	не только с	1	1
46	в самом деле	2	1
47	более глубокой и	1	1
48	в записках из	3	1
49	к которому пришел	1	1
50	в том же	2	1
51	может и не	1	1
52	так и не	1	1
53	сих пор еще	1	1
54	в нем и	1	1
55	до сих пор	3	1
56	что в нем	1	1
57	записках из подполья	3	1
58	он ни был	1	1
59	со всех сторон	1	1
60	в устах ивана	1	1
61	по крайней мере	2	1
62	у достоевского очень	1	1
63	о том как	1	1
64	противоречии с этой	1	1
65	достоевского приближается к	1	1
66	отвечает на вопрос	1	1
67	и тут же	1	1
68	тем что он	1	1
69	в противоречии с	1	1
70	творчестве достоевского в	1	1
71	как будто бы	1	1
72	хотя и с	1	1
73	мы как бы	1	1
74	не только для	1	1
75	ивана карамазова с	1	1
76	но как бы	1	1
77	его участие в	1	1
78	и в том	1	1
79	потому что они	1	1
80	никогда не является	1	1
81	себя самого в	1	1
82	в то время	1	1
83	с одной из	1	1
84	это еще не	1	1
85	за собой в	1	1
86	в нем нет	1	1
87	как и в	1	1
88	у достоевского есть	1	1
89	отношению к самому	1	1
90	в свою очередь	1	1
91	теперь же он	1	1
92	но у достоевского	2	1
93	о том что	2	1
94	ни в чем	1	1
95	или во всяком	1	1
96	записки из подполья	2	1
97	бы он ни	1	1
98	на всем протяжении	1	1
99	будто бы не	1	1
100	из подполья в	1	1
101	с настасьей филипповной	1	1
102	раскольникова когда он	1	1
103	к самому себе	1	1
104	в дальнейшем но	1	1
105	мышкин настасья филипповна	1	1
106	и вновь начать	1	1
107	в глубине души	1	1
108	в душу героя	1	1
109	в ту ночь	1	1
110	у достоевского как	3	1
111	и в другом	1	1
