1	в то же время	4	7
2	с точки зрения его	1	3
3	и в то же	1	2
4	ведь на самом деле	1	2
5	во всяком случае в	2	2
6	одним и тем же	2	2
7	и т п в	3	2
8	и в данном случае	1	1
9	не может быть никакого	1	1
10	с другой стороны и	1	1
11	это объясняется тем что	1	1
12	и по отношению к	1	1
13	в одних и тех	1	1
14	на самом деле конечно	1	1
15	то же время не	1	1
16	не может быть абсолютно	1	1
17	в той же мере	1	1
18	научная работа никогда не	1	1
19	с нашей точки зрения	1	1
20	говорит о том что	2	1
21	но ведь на самом	1	1
22	дело в том что	4	1
23	одних и тех же	1	1
24	отчета в том что	1	1
25	той мере в какой	1	1
26	в том числе и	2	1
27	в той мере в	1	1
