N	4gram	Tiupa_Vved_1	DiskursI
1	в то же время	3	4
2	состоит в том что	1	2
3	с одной стороны и	1	2
4	одного и того же	1	2
5	в строгом значении этого	1	2
6	между жизнью и смертью	1	2
7	в той мере в	2	1
8	с другой стороны в	1	1
9	по мысли поля рикёра	1	1
10	строгом значении этого термина	1	1
11	места времени и действия	1	1
12	той мере в какой	2	1
13	ряда возбуждающем некие рецептивные	1	1
14	здесь как и в	1	1
15	состоит в напряжении событийного	1	1
16	субъекта объекта и адресата	1	1
17	возбуждающем некие рецептивные ожидания	1	1
18	с той или иной	1	1
19	мысль о том что	1	1
20	от лат iteratio повторение	1	1
21	и в пределах одного	1	1
22	в той или иной	1	1
23	присутствия человека в мире	1	1
24	и в то же	1	1
25	масштабы того что является	1	1
26	в том числе и	1	1
27	того что является событием	1	1
28	в напряжении событийного ряда	1	1
29	может быть сведена к	1	1
30	дающей масштабы того что	1	1
31	событийного ряда возбуждающем некие	1	1
32	опыт присутствия в мире	1	1
33	напряжении событийного ряда возбуждающем	1	1
34	мира дающей масштабы того	1	1
