N	2gram	Vygotskiy__5	Retstnzi
1	не может	9	4
2	и в	30	3
3	в центре	2	2
4	один из	5	2
5	если в	1	2
6	нет и	1	1
7	и можно	2	1
8	и событий	1	1
9	лучше всего	1	1
10	и не	6	1
11	тому что	8	1
12	не только	16	1
13	ни один	2	1
14	художественного произведения	3	1
15	связи с	2	1
16	этой проблемы	1	1
17	бы на	2	1
18	событий и	2	1
19	точки зрения	7	1
20	конечно и	1	1
21	на примере	4	1
22	ничего для	1	1
23	но и	6	1
24	не менее	1	1
25	не из	1	1
26	в ней	4	1
27	становится особенно	1	1
28	может и	1	1
29	впадает в	1	1
30	с теми	3	1
31	о художественной	1	1
32	в то	2	1
33	с точки	2	1
34	и форму	1	1
35	в выводах	1	1
36	и на	3	1
37	для него	3	1
38	мы видим	8	1
39	искусство как	2	1
40	эта вторая	1	1
41	второй части	1	1
42	к тому	8	1
43	а не	8	1
44	его от	1	1
45	может быть	11	1
46	при анализе	1	1
47	несмотря на	5	1
48	невольно рождается	1	1
49	в его	4	1
50	он в	2	1
51	то же	7	1
52	и все	4	1
53	из этих	3	1
54	можно назвать	1	1
55	если бы	11	1
56	в каждом	2	1
57	исходя из	2	1
58	бы в	5	1
