N	2gram	Nazirov_Tr_1	Narrotol
1	не только	8	32
2	может быть	7	25
3	но и	4	23
4	и не	7	20
5	то есть	3	19
6	и в	18	19
7	в том	2	18
8	в этом	9	17
9	не в	2	14
10	в частности	2	14
11	том что	4	14
12	представляет собой	1	12
13	тогда как	1	12
14	своего рода	3	12
15	а не	1	12
16	то что	4	11
17	не может	5	10
18	при этом	3	9
19	в мире	3	9
20	так и	5	9
21	в его	3	9
22	в себе	4	8
23	не является	1	8
24	еще не	4	7
25	как в	3	7
26	все же	5	7
27	как и	5	7
28	к тому	2	7
29	и т.д	1	7
30	а также	1	7
31	с одной	1	7
32	с его	2	6
33	но не	1	6
34	в той	1	6
35	то в	1	6
36	тем самым	3	6
37	о том	2	6
38	что он	6	6
39	именно в	1	6
40	как это	3	6
41	но в	6	6
42	отличие от	2	5
43	отнюдь не	3	5
44	и как	3	5
45	уже не	2	5
46	в этой	4	5
47	в отличие	2	5
48	по себе	1	5
49	и его	6	5
50	к себе	1	5
51	к нему	3	5
52	нуждается в	1	5
53	в форме	1	5
54	казалось что	1	5
55	в данном	2	5
56	данном случае	2	4
57	то же	5	4
58	в противовес	1	4
59	перед нами	2	4
60	матери и	1	4
61	в нем	4	4
62	но все	2	4
63	же не	1	4
64	и с	7	4
65	не мог	2	4
66	связи с	1	4
67	не столько	1	4
68	о нем	1	4
69	же время	6	4
70	только в	1	4
71	хотя бы	1	4
72	у него	6	4
73	в особенности	1	4
74	что не	1	4
75	прежде всего	4	4
76	в рассказе	2	4
77	как бы	7	4
78	героя и	1	4
79	это и	1	3
80	в первом	2	3
81	и он	3	3
82	в ней	1	3
83	и на	7	3
84	в ее	2	3
85	как говорит	2	3
86	что это	5	3
87	уже в	3	3
88	не есть	1	3
89	он не	2	3
90	ни в	2	3
91	обратимся к	1	3
92	тем не	1	3
93	не менее	1	3
94	в то	5	3
95	тем что	2	3
96	одна из	2	3
97	в эпизоде	1	3
98	никогда не	2	3
99	на себя	1	3
100	по своей	1	3
101	могут быть	1	3
102	как мы	1	3
103	с ее	3	3
104	мог бы	3	3
105	столь же	2	3
106	вольно или	1	3
107	восходит к	1	3
108	между тем	1	3
109	один из	3	3
110	и даже	4	3
111	даже не	1	3
112	как будто	3	3
113	что в	4	3
114	жизни в	1	3
115	одним из	1	2
116	например в	1	2
117	и потому	1	2
118	самом деле	1	2
119	и до	2	2
120	должна быть	1	2
121	который в	2	2
122	ему в	1	2
123	между собой	1	2
124	он сам	7	2
125	но как	1	2
126	отношение к	2	2
127	что именно	1	2
128	в своем	3	2
129	матерью и	1	2
130	все эти	3	2
131	бы не	1	2
132	роль в	1	2
133	жизнью и	2	2
134	не как	1	2
135	но без	1	2
136	а по	1	2
137	его в	2	2
138	это не	5	2
139	в самую	2	2
140	несмотря на	5	2
141	вплоть до	1	2
142	она не	1	2
143	в обоих	1	2
144	не имеет	2	2
145	ничего не	2	2
146	что на	1	2
147	встречается в	1	2
148	утверждать что	1	2
149	на другой	1	2
150	можно было	1	2
151	было в	2	2
152	быть может	1	2
153	времени в	2	2
154	не сводится	1	2
155	в литературе	1	2
156	дело с	1	2
157	и ее	2	2
158	есть в	1	2
159	героя с	1	2
160	но от	1	2
161	одно из	1	2
162	для него	3	2
163	не случайно	2	2
164	не понимал	1	2
165	одну из	1	2
166	была и	1	2
167	и др	1	2
168	говорит о	2	2
169	не было	1	2
170	его как	1	2
171	о чем	3	2
172	с рассказом	1	2
173	наряду с	1	2
174	только о	2	2
175	в связи	1	2
176	в результате	1	2
177	в двух	1	2
178	и все	4	2
179	совершенно не	1	2
180	в иной	1	2
181	этого слова	1	2
182	так же	4	2
183	в таком	2	2
184	точно так	2	2
185	целое на	1	1
186	наших дней	1	1
187	и есть	1	1
188	от самого	1	1
189	за все	1	1
190	на две	1	1
191	она все	2	1
192	в какой-то	1	1
193	намек на	1	1
194	в году	9	1
195	и могут	1	1
196	связаны между	1	1
197	х годов	1	1
198	в целом	4	1
199	сам по	1	1
200	к ее	1	1
201	в чем	1	1
202	во всех	1	1
203	встречи со	1	1
