N	2gram	Voloshinov_1	Istorich
1	и в	12	24
2	не только	4	21
3	не может	16	14
4	может быть	14	14
5	что в	2	13
6	в этих	2	13
7	и здесь	2	12
8	как в	5	12
9	в этом	4	12
10	мы имеем	2	12
11	но и	3	11
12	том что	5	10
13	это не	2	10
14	и что	2	10
15	у него	1	10
16	все же	4	9
17	не в	4	9
18	и другие	2	9
19	с другой	4	9
20	о том	3	9
21	еще не	3	8
22	что и	2	8
23	то же	5	8
24	другой стороны	2	8
25	все это	3	8
26	а не	5	8
27	так как	9	8
28	таким образом	12	7
29	к нему	4	7
30	во всех	1	7
31	вместе с	2	7
32	в том	6	7
33	мы видели	1	7
34	то что	5	7
35	что здесь	1	7
36	для нас	7	6
37	как и	5	6
38	и все	2	6
39	что это	1	6
40	в нем	6	6
41	того что	3	6
42	с этой	2	6
43	мы увидим	1	6
44	так же	3	6
45	он не	2	6
46	только в	6	6
47	но не	2	6
48	героя и	5	5
49	с одной	2	5
50	так и	4	5
51	не менее	3	5
52	там где	2	5
53	с ним	3	5
54	отношение к	4	5
55	в чем	2	5
56	имеем в	2	5
57	ничего не	2	5
58	задачи в	1	5
59	одной стороны	2	5
60	но в	5	5
61	здесь мы	1	5
62	что она	1	5
63	в русской	1	5
64	при этом	6	4
65	вовсе не	1	4
66	точки зрения	14	4
67	мы уже	1	4
68	совершенно ясно	1	4
69	мы не	3	4
70	же как	1	4
71	но все	2	4
72	никогда не	5	4
73	не всегда	1	4
74	и не	10	4
75	мы можем	2	4
76	мы должны	1	4
77	тем не	3	4
78	ли он	1	4
79	как бы	13	4
80	в данном	2	4
81	и наконец	3	3
82	данном случае	2	3
83	должны быть	1	3
84	что они	1	3
85	этой задачи	1	3
86	связи с	1	3
87	кроме того	2	3
88	с ней	1	3
89	сих пор	3	3
90	вступает в	1	3
91	этой точки	3	3
92	которой он	1	3
93	и он	1	3
94	и становится	1	3
95	его в	4	3
96	например в	1	3
97	кажется что	1	3
98	но есть	1	3
99	хотя и	1	3
100	и его	13	3
101	но это	2	3
102	от него	1	3
103	тогда когда	2	3
104	следующим образом	1	3
105	в них	3	3
106	из одного	1	3
107	и она	1	3
108	не вполне	1	3
109	когда он	3	3
110	или он	1	3
111	и по	3	3
112	в качестве	1	3
113	и герой	3	3
114	при помощи	1	3
115	этой стороны	2	3
116	с его	2	3
117	уже в	2	3
118	она в	1	3
119	себе и	1	3
120	что мы	5	3
121	как мы	1	3
122	все эти	3	2
123	от всех	2	2
124	образом мы	1	2
125	и оно	1	2
126	в литературе	4	2
127	говорит о	1	2
128	нас не	1	2
129	но конечно	2	2
130	в котором	3	2
131	здесь не	3	2
132	и ее	3	2
133	мы здесь	1	2
134	это как	3	2
135	идти только	1	2
136	но при	1	2
137	думать что	1	2
138	и тот	1	2
139	связь с	2	2
140	и так	2	2
141	увидим что	1	2
142	и это	1	2
143	до сих	3	2
144	как это	2	2
145	та же	1	2
146	и вступает	1	2
147	прежде всего	8	2
148	в руках	1	2
149	там же	1	2
150	но тем	2	2
151	всех других	1	2
152	стороны и	2	2
153	в основе	1	2
154	или даже	1	2
155	им в	1	2
156	нами выше	1	2
157	к этому	2	2
158	в ее	1	2
159	вместе со	2	2
160	не так	2	2
161	не имеют	1	2
162	она будет	1	2
163	но эта	1	2
164	во многих	1	2
165	с героем	3	2
166	на него	2	2
167	они не	1	2
168	того кто	1	2
169	что не	4	2
170	можно найти	2	2
171	что собственно	1	2
172	тот же	1	2
173	в то	2	2
174	для нее	1	2
175	и о	1	2
176	конечно не	3	2
177	в одной	1	2
178	сказать что	7	2
179	только на	3	2
180	ни в	3	2
181	как только	2	2
182	к ним	2	2
183	в форме	2	2
184	уже не	4	2
185	в особенности	2	2
186	друг друга	1	2
187	и др	5	2
188	и тем	1	2
189	они должны	1	2
190	в самом	4	2
191	к которой	1	2
192	не могут	1	2
193	и на	4	2
194	она не	2	2
195	только там	1	2
196	у нее	1	2
197	тем более	1	2
198	время как	1	2
199	то время	1	2
200	в основном	2	2
201	на себя	1	2
202	было бы	1	2
203	перед нами	1	2
204	не можем	1	2
205	еще один	1	2
206	но для	3	2
207	и эта	1	2
208	все в	1	2
209	участие в	1	2
210	может идти	1	2
211	может и	1	1
212	или может	1	1
213	нем и	1	1
214	не знает	1	1
215	правда это	1	1
216	и из	1	1
217	и с	3	1
218	в свои	1	1
219	во времени	1	1
220	и вот	1	1
221	в частности	1	1
222	сюда и	1	1
223	в другом	1	1
224	входит в	1	1
225	обычно не	1	1
226	можно сказать	5	1
227	в европейских	1	1
228	но что	2	1
229	только как	1	1
230	жизни и	4	1
231	и самый	1	1
232	или не	3	1
233	дальше и	1	1
234	как например	1	1
235	и делает	1	1
236	не должно	1	1
237	себе в	1	1
238	сидят в	1	1
239	отношению к	11	1
240	для всего	1	1
241	между собой	2	1
242	в жизни	5	1
243	др все	1	1
244	и их	1	1
245	на передний	1	1
246	это один	1	1
247	должна быть	5	1
248	рядом с	1	1
249	из особенностей	1	1
250	же мы	1	1
251	то он	1	1
252	в виде	1	1
253	и которые	1	1
254	герою а	1	1
255	и больше	1	1
256	одна и	1	1
257	не нуждается	1	1
258	каждый элемент	1	1
259	из двух	1	1
260	в большинстве	1	1
261	не высказывается	1	1
262	и во	1	1
263	но мы	2	1
264	и та	2	1
265	независимо от	2	1
266	хотя бы	5	1
267	в условиях	2	1
268	самом деле	3	1
269	по мере	1	1
270	в поэтике	1	1
271	что я	1	1
272	в своей	3	1
273	по себе	3	1
274	с большим	1	1
275	как если	4	1
276	зато эти	1	1
277	и вне	1	1
278	и было	1	1
279	тем как	2	1
280	что уже	1	1
281	вне поля	1	1
282	показать что	1	1
283	сводится к	1	1
284	же не	1	1
285	и только	1	1
286	одна сторона	1	1
287	быть изучена	1	1
288	оно не	2	1
289	его как	2	1
290	выходят за	2	1
291	не хочет	1	1
292	один и	1	1
293	в таком	1	1
294	они являются	1	1
295	нам кажется	1	1
296	мало данных	1	1
297	из него	2	1
298	но зато	2	1
299	что совсем	1	1
300	мы еще	1	1
301	дело с	2	1
302	как не	2	1
303	но если	1	1
304	к тому	1	1
305	еще более	1	1
306	а эти	1	1
307	именно этим	1	1
308	и подобные	2	1
309	на все	2	1
310	имеет в	3	1
311	с точки	2	1
312	сама по	1	1
313	по отношению	11	1
314	и к	4	1
315	не остается	2	1
316	которые в	1	1
317	можно только	1	1
318	знания и	1	1
319	она должна	1	1
320	он имеет	1	1
321	в современной	1	1
322	в некоторых	3	1
323	и без	1	1
324	деле и	1	1
325	на которой	1	1
326	но этот	2	1
327	он будет	1	1
328	в окно	1	1
329	имеем дело	1	1
330	из этого	3	1
331	в целом	1	1
332	тоже может	1	1
333	человек и	1	1
334	то ни	3	1
335	него не	1	1
336	бесконечное количество	1	1
337	но уже	1	1
338	дело в	4	1
339	явление а	1	1
340	предмету объекту	1	1
341	бы то	3	1
342	зависимости от	4	1
343	из трех	1	1
344	автора и	2	1
345	но эти	1	1
346	тесную связь	2	1
347	далеко не	1	1
348	именно и	1	1
349	и потому	2	1
350	должно быть	1	1
351	на основе	1	1
352	к другу	1	1
353	ясно что	3	1
354	пор мы	1	1
355	конечно уже	1	1
356	это делает	1	1
357	о чем	1	1
358	вопросу о	1	1
359	даже и	1	1
360	или менее	1	1
361	ее и	3	1
362	передний план	1	1
363	если бы	9	1
364	увидели что	1	1
365	более или	1	1
366	и историческая	1	1
367	мы обычно	1	1
368	же он	1	1
369	в науке	1	1
370	и соответствующие	1	1
371	для этого	1	1
372	ситуации в	1	1
373	к пониманию	1	1
374	того в	1	1
375	же относится	2	1
376	и тех	1	1
377	в зависимости	2	1
378	ни было	4	1
379	же случае	1	1
380	а этот	1	1
381	из его	1	1
382	от того	4	1
383	подразумеваться только	1	1
384	что именно	1	1
385	именно в	1	1
386	от этой	2	1
387	только одна	1	1
388	в его	2	1
389	может получить	1	1
390	такой же	2	1
391	стороны к	1	1
392	героя в	1	1
393	как его	1	1
394	с искусством	1	1
395	его место	1	1
396	и оба	1	1
397	нельзя было	1	1
398	в лице	1	1
399	которые имеют	1	1
400	мы понимаем	1	1
401	при более	1	1
402	те же	2	1
403	было на	1	1
404	но из	1	1
405	все они	2	1
406	если же	2	1
407	в какой	2	1
408	нам не	1	1
409	героя с	1	1
410	в ней	6	1
411	так можно	1	1
412	них и	1	1
413	он пользуется	1	1
414	все более	1	1
415	на которую	1	1
416	формы и	3	1
417	и то	2	1
418	ни одной	1	1
419	от его	1	1
420	и уже	3	1
421	чтобы вскрыть	1	1
422	высказывается и	1	1
423	вне этого	1	1
424	на протяжении	1	1
425	ту же	1	1
426	как будто	1	1
427	для этой	1	1
428	этих форм	1	1
429	и пр	3	1
430	здесь имеет	1	1
431	и другого	1	1
432	обратимся к	1	1
433	а с	1	1
434	мы все	4	1
435	можно было	1	1
436	от всего	1	1
437	же самое	2	1
438	другая форма	1	1
439	и остается	1	1
440	он или	1	1
441	ее до	1	1
442	и более	3	1
443	как на	2	1
444	в своем	2	1
