N	3gram	Medvedev_U_1	Myshleni
1	в этом случае	1	14
2	в том что	2	13
3	то же самое	2	5
4	в данном случае	1	5
5	с одной стороны	1	5
6	то о чем	1	4
7	в самом деле	2	4
8	не может быть	4	4
9	на то что	1	4
10	до сих пор	2	3
11	в этом отношении	2	3
12	и то что	2	3
13	можно сказать что	1	3
14	и в конце	1	2
15	том что она	1	2
16	в той же	1	2
17	на одно из	1	2
18	же самое что	1	2
19	в конечном счете	4	2
20	смысле можно сказать	1	2
21	друг с другом	1	2
22	знак равенства между	1	1
23	что мы и	1	1
24	в этом смысле	2	1
25	т.е в конечном	2	1
26	сам по себе	1	1
27	в первую очередь	1	1
28	звуковой формы слова	1	1
29	то что было	1	1
30	она должна была	1	1
31	в этой области	3	1
32	но именно этот	1	1
33	как и не	1	1
34	не только в	1	1
35	таким образом на	1	1
36	никогда не может	1	1
37	с другой стороны	3	1
38	не только к	1	1
39	не могут быть	2	1
40	само по себе	1	1
41	она все же	1	1
42	все они в	1	1
43	одно из первых	1	1
44	рассматривать не как	1	1
45	этом случае он	1	1
46	нам думается что	1	1
47	по нашему мнению	3	1
48	в то же	3	1
49	что мы можем	1	1
50	тем что он	1	1
51	из первых мест	1	1
52	в конце концов	2	1
53	и с другой	1	1
54	не есть слово	1	1
