N	2gram	Bakhtin_fo_1	Myshleni
1	то что	6	26
2	в этом	25	25
3	что он	1	25
4	потому что	4	21
5	таким образом	11	19
6	точки зрения	5	18
7	в том	9	18
8	не может	6	18
9	того чтобы	5	17
10	не только	9	16
11	и в	50	16
12	того что	2	16
13	так как	6	16
14	что в	5	16
15	том что	4	15
16	так же	6	15
17	для того	5	14
18	в сущности	3	13
19	между собой	4	13
20	в процессе	4	13
21	сказать что	3	13
22	вопрос о	2	12
23	по отношению	3	12
24	и не	14	12
25	отношению к	5	12
26	из того	1	11
27	отношение к	2	11
28	в его	13	11
29	но не	5	10
30	было бы	2	10
31	как мы	14	10
32	только в	4	10
33	а не	3	10
34	с помощью	2	10
35	с точки	2	9
36	в отношении	3	9
37	может быть	11	9
38	то же	11	8
39	должно быть	1	8
40	как и	8	8
41	если бы	5	8
42	в основе	5	8
43	о том	1	8
44	он не	5	8
45	точка зрения	1	8
46	мы должны	2	8
47	же как	2	7
48	того же	8	7
49	и есть	1	7
50	в нем	24	7
51	но он	2	7
52	по себе	2	7
53	приводит к	1	7
54	так и	12	7
55	если мы	2	7
56	с другом	1	7
57	друг с	1	7
58	и на	8	6
59	могли бы	1	6
60	но в	10	6
61	в этой	1	6
62	как он	2	6
63	связанные с	1	6
64	в другом	1	6
65	не в	5	6
66	речи в	2	6
67	что оно	1	6
68	что все	2	6
69	и следовательно	4	6
70	этот вопрос	1	6
71	мы можем	1	6
72	у него	6	6
73	но и	8	6
74	в той	4	6
75	к тому	3	6
76	мы и	4	5
77	как в	6	5
78	в своем	4	5
79	в которой	2	5
80	он должен	2	5
81	из нее	2	5
82	с ним	2	5
83	самого начала	2	5
84	в то	9	5
85	тогда когда	2	5
86	никогда не	2	5
87	ничего не	9	5
88	этом отношении	3	5
89	с самого	2	5
90	по сравнению	2	5
91	тот же	1	5
92	хотя бы	2	5
93	для него	2	5
94	тем что	2	5
95	сравнению с	2	5
96	как бы	2	5
97	с необходимостью	2	5
98	не является	2	5
99	еще более	3	5
100	не знает	3	5
101	и то	4	4
102	той же	2	4
103	время как	5	4
104	а только	2	4
105	сама по	1	4
106	в самом	8	4
107	все эти	9	4
108	с их	2	4
109	вообще не	3	4
110	при этом	3	4
111	и по	2	4
112	это не	6	4
113	не имеет	4	4
114	путь развития	1	4
115	могут быть	5	4
116	в пределах	5	4
117	еще не	5	4
118	другом месте	1	4
119	и т.д	1	4
120	в теории	1	4
121	в качестве	3	4
122	так что	1	4
123	и их	8	4
124	то время	4	4
125	не могут	3	4
126	с другой	2	4
127	именно в	3	4
128	и составляет	1	4
129	что мы	2	4
130	вместе с	3	4
131	в целом	2	4
132	мы видим	3	4
133	в результате	6	4
134	бы в	1	4
135	тем более	1	4
136	связей и	1	4
137	в свою	2	4
138	осознания и	1	4
139	функции в	1	3
140	самом деле	1	3
141	между двумя	6	3
142	мы не	3	3
143	и чужого	1	3
144	как я	1	3
145	по своему	1	3
146	он может	1	3
147	но как	1	3
148	с этим	6	3
149	все же	6	3
150	и как	10	3
151	и тот	1	3
152	как с	1	3
153	функции и	1	3
154	как они	1	3
155	и может	2	3
156	с тем	3	3
157	и того	6	3
158	что значит	1	3
159	в этих	3	3
160	таким же	1	3
161	в их	6	3
162	сих пор	3	3
163	и более	1	3
164	из которых	1	3
165	до конца	4	3
166	и отношений	1	3
167	как она	2	3
168	по своей	1	3
169	и является	2	3
170	и его	16	3
171	связи с	6	3
172	необходимо предполагает	1	3
173	приходит к	1	3
174	свою очередь	1	3
175	в себя	1	3
176	и с	4	3
177	до сих	3	3
178	в чем	2	3
179	что и	3	3
180	своей природе	1	3
181	одной из	3	3
182	вопрос об	1	3
183	с одной	3	3
184	возрасте в	1	3
185	его и	2	3
186	он имеет	1	3
187	в одном	3	3
188	а в	3	3
189	еще и	2	3
190	на которые	1	3
191	говорит о	1	3
192	прежде всего	15	3
193	не на	1	3
194	в частности	6	3
195	все основные	1	3
196	к жизни	2	3
