N	2gram	Medvedev_U_1	Dialekti
1	не есть	2	47
2	и не	8	30
3	может быть	6	20
4	не только	10	19
5	и в	14	19
6	по себе	2	18
7	а не	10	16
8	в себе	2	15
9	что она	2	14
10	то что	7	14
11	в том	2	14
12	и даже	1	14
13	то же	5	12
14	но и	4	12
15	и все	1	12
16	в нем	1	10
17	как и	3	10
18	том что	2	10
19	сказать что	1	10
20	так и	1	10
21	это не	3	10
22	по крайней	2	9
23	никогда не	1	9
24	крайней мере	2	9
25	не может	7	9
26	в этом	7	8
27	в своей	3	8
28	не в	2	8
29	она не	1	8
30	прежде всего	8	8
31	это значит	1	8
32	и то	3	7
33	должно быть	1	7
34	но что	1	7
35	но это	2	7
36	что в	1	7
37	но не	2	6
38	отнюдь не	1	6
39	тогда когда	1	6
40	в то	3	6
41	что он	2	6
42	конечно не	4	6
43	того что	1	6
44	и потому	1	5
45	и это	1	5
46	должна быть	2	5
47	есть ли	1	5
48	же время	3	5
49	и с	2	5
50	в виду	1	5
51	о том	1	5
52	и что	1	5
53	можно сказать	1	5
54	не то	1	5
55	что и	2	5
56	с другой	4	5
57	от смысла	1	5
58	как раз	2	5
59	в самом	2	5
60	только в	2	5
61	поэзии и	1	4
62	во мне	1	4
63	быть в	1	4
64	самом деле	2	4
65	за пределы	1	4
66	независимо от	1	4
67	в своем	1	4
68	все же	3	4
69	он не	1	4
70	таким образом	2	4
71	как таковой	2	4
72	но он	1	4
73	все это	5	4
74	в таком	1	4
75	не могут	2	4
76	и только	5	4
77	без этого	1	4
78	одно из	1	4
79	могут быть	2	4
80	хотя бы	5	4
81	другой стороны	3	4
82	же как	1	3
83	искусство и	1	3
84	сам по	1	3
85	в этой	4	3
86	всех этих	2	3
87	не значит	1	3
88	же не	2	3
89	об этом	1	3
90	это было	2	3
91	было бы	3	3
92	мы имеем	1	3
93	или точнее	3	3
94	что такое	4	3
95	но тут	1	3
96	что этот	1	3
97	ничего не	2	3
98	все его	1	3
99	уже не	1	3
100	бы это	1	3
101	о котором	1	3
102	не было	1	3
103	о чем	2	3
104	в данном	1	3
105	в той	1	3
106	время не	1	3
107	только как	1	3
108	в сфере	1	2
109	человека и	1	2
110	он может	1	2
111	исторических фактов	1	2
112	бы ни	1	2
113	в ней	1	2
114	в широком	2	2
115	очевидно что	3	2
116	к сожалению	3	2
117	не самый	1	2
118	что по	1	2
119	более или	1	2
120	но в	3	2
121	в которой	1	2
122	бы и	2	2
123	мы получаем	2	2
124	так или	1	2
125	бы только	1	2
126	на его	1	2
127	не как	3	2
128	широком смысле	1	2
129	с тем	1	2
130	или менее	1	2
131	в их	4	2
132	их в	1	2
133	что с	1	2
134	того как	1	2
135	у пушкина	1	2
136	это уже	2	2
137	и делает	1	2
138	в области	3	2
139	как таковым	1	2
140	в конце	2	2
141	данном случае	1	2
142	все в	1	2
143	между тем	2	2
144	или иначе	1	2
145	с одной	1	2
146	само по	1	2
147	тем что	2	2
148	до сих	2	2
149	и прежде	1	2
150	только к	3	2
151	в некоторых	2	2
152	об ее	1	2
153	что мы	2	2
154	в частности	3	2
155	или по	1	2
156	что же	1	2
157	сих пор	2	2
158	же самое	2	2
159	тех или	2	2
160	тут мы	1	2
161	же в	1	2
162	в системе	2	2
163	в виде	1	2
164	ее в	1	2
165	в искусстве	6	2
166	по его	1	1
167	их и	2	1
168	что под	1	1
169	один пример	1	1
170	мы и	2	1
171	этого термина	2	1
172	не все	2	1
173	литературы и	2	1
174	и этого	1	1
175	он был	1	1
176	бы то	3	1
177	в различных	1	1
178	не без	1	1
179	временной последовательности	1	1
180	ее к	1	1
181	к которой	1	1
182	в наиболее	1	1
183	время на	1	1
184	нет и	1	1
185	первый взгляд	1	1
186	его на	1	1
187	этого сложного	1	1
188	он в	1	1
189	как принцип	2	1
190	направлено на	1	1
191	связанные с	1	1
192	появляется уже	1	1
193	что все	2	1
194	или даже	1	1
195	форму и	2	1
196	этом смысле	2	1
197	как живой	1	1
198	далеко не	1	1
199	в храме	1	1
200	со своими	1	1
201	и вне	1	1
202	была уже	1	1
203	именно этот	1	1
204	на первый	2	1
205	но если	1	1
206	почти не	1	1
207	в котором	1	1
208	она в	1	1
209	красок и	1	1
210	друг другу	1	1
211	тому чтобы	1	1
212	если нет	1	1
213	формы как	1	1
214	оно конечно	1	1
215	и истории	1	1
216	очевидно не	2	1
217	что ему	1	1
218	больше чем	1	1
219	это то	1	1
220	и независимо	1	1
221	остается в	1	1
222	и искусства	1	1
223	так то	1	1
224	этом отношении	2	1
225	но даже	2	1
226	с другом	1	1
227	было у	1	1
228	то ни	3	1
229	не существует	1	1
230	бывает что	1	1
231	приводит к	1	1
232	слова а	1	1
233	отлична от	1	1
234	оно все	1	1
235	строго говоря	1	1
236	по теории	1	1
237	смысле и	1	1
238	анализу и	1	1
239	искусства и	1	1
240	вот почему	7	1
241	говорить не	1	1
242	нас в	2	1
243	как таковая	1	1
244	которой все	1	1
245	путь и	1	1
246	оказывается чрезвычайно	1	1
247	большей или	1	1
248	интереса к	2	1
249	обе эти	1	1
250	простое как	1	1
251	тот же	1	1
252	и действительно	1	1
253	это же	1	1
254	из которых	1	1
255	то и	1	1
256	а это	1	1
257	его и	2	1
258	какие-то особые	1	1
259	содержание и	1	1
260	не о	3	1
261	мы можем	1	1
262	у него	1	1
263	быть по	1	1
264	есть слово	1	1
265	даже и	2	1
266	даже не	1	1
267	сюда же	1	1
268	на то	1	1
269	или просто	1	1
270	или меньшей	1	1
271	было и	1	1
272	и др	1	1
273	только прием	2	1
274	превращается в	2	1
275	одной стороны	1	1
276	своем месте	1	1
277	его как	1	1
