N	3gram	Losev_Dial_4	SlovoVZh
1	не может быть	6	7
2	можно сказать что	1	5
3	дело в том	1	4
4	в том что	9	4
5	и не может	1	3
6	тем не менее	2	3
7	этой точки зрения	2	3
8	имеет в виду	1	3
9	это как бы	1	3
10	и не в	1	3
11	это не так	1	2
12	с другой стороны	1	2
13	с точки зрения	9	2
14	в зависимости от	1	2
15	но тем не	1	2
16	в ней как	1	2
17	мы можем сказать	1	2
18	в каком отношении	1	2
19	в отношении к	1	2
20	в данном случае	1	2
21	в жизни и	1	2
22	тех или иных	1	1
23	жизни и уже	1	1
24	но прежде всего	1	1
25	в виду и	1	1
26	оно по природе	1	1
27	но все же	1	1
28	и в этом	3	1
29	в чем не	1	1
30	о том кто	1	1
31	в нашем случае	1	1
32	мы имеем дело	1	1
33	ровно ничего не	6	1
34	уже не может	1	1
35	и ее истории	1	1
36	одна и та	1	1
37	как одно из	1	1
38	в этом смысле	4	1
39	самом же деле	1	1
40	но если бы	1	1
41	таким образом только	1	1
42	по себе не	1	1
43	же как и	1	1
44	бьют мимо цели	1	1
45	ни в чем	1	1
46	равно как и	2	1
47	сам по себе	2	1
48	ни в коем	2	1
49	но для этого	1	1
50	то что мы	2	1
51	в свою очередь	2	1
52	во всех языках	1	1
53	и та же	1	1
54	на самом же	1	1
55	о том что	1	1
56	ничего общего с	2	1
57	ней как в	1	1
58	то что я	1	1
59	совершенно ясно что	1	1
60	и прежде всего	1	1
61	должна быть обязательно	1	1
62	то же время	6	1
63	подобно тому как	4	1
64	он еще не	1	1
65	включает в себя	1	1
66	уже не есть	1	1
67	в основе своей	1	1
68	даже тогда когда	1	1
69	в лучшем случае	1	1
70	отношение как и	1	1
71	можно найти в	1	1
72	так можно сказать	1	1
73	может быть только	1	1
74	по крайней мере	7	1
75	в то же	6	1
76	этом смысле она	1	1
77	в коем случае	2	1
78	допустим что мы	1	1
79	не есть только	1	1
80	и в частности	2	1
81	точки зрения уже	1	1
82	нужно думать что	1	1
83	сама по себе	5	1
84	не только его	1	1
85	того что именно	3	1
86	за его пределы	2	1
87	но в то	2	1
88	того кто является	1	1
89	и на этом	1	1
90	не нужно думать	1	1
