N	2gram	Vinokur_St_2	Poddanst
1	не только	19	17
2	и в	29	14
3	и не	9	12
4	в области	2	11
5	в этом	21	10
6	в отношении	2	10
7	в качестве	5	9
8	но в	8	9
9	то же	2	9
10	в том	27	9
11	в пределах	1	8
12	хотя бы	3	8
13	только в	2	7
14	в то	2	7
15	же время	1	7
16	в ней	7	6
17	xix века	3	6
18	было бы	5	6
19	но и	19	6
20	отношении к	3	5
21	с другой	4	5
22	может быть	2	5
23	и пр	8	5
24	а я	1	5
25	не в	4	5
26	и о	4	5
27	о в	1	5
28	а н	1	5
29	если бы	2	4
30	а также	2	4
31	в своем	9	4
32	и к	4	4
33	как бы	5	4
34	к о	1	4
35	и если	1	4
36	но также	4	4
37	том что	27	4
38	не может	2	4
39	и потому	2	4
40	в котором	7	4
41	по себе	3	4
42	на пути	1	4
43	в русской	5	4
44	л и	1	4
45	что в	19	4
46	же в	1	4
47	а в	1	4
48	то что	11	4
49	и т	9	3
50	мы не	1	3
51	столь же	1	3
52	между тем	5	3
53	о н	1	3
54	хотя и	4	3
55	и как	2	3
56	тот же	1	3
57	с ними	1	3
58	в себе	2	3
59	в нем	4	3
60	сами по	2	3
61	в россии	3	3
62	для того	7	3
63	заключается в	1	3
64	прежде всего	5	3
65	с тем	7	3
66	и без	1	3
67	с точки	2	3
68	но не	3	3
69	т е	10	3
70	к л	1	3
71	потому что	9	3
72	н н	1	3
73	точки зрения	5	3
74	сравнении с	2	3
75	и это	2	2
76	например в	3	2
77	в ее	2	2
78	т а	1	2
79	было в	1	2
80	с с	1	2
81	в сочетании	2	2
82	по сравнению	1	2
83	есть нечто	1	2
84	к началу	1	2
85	которое в	1	2
86	но к	1	2
87	никак не	2	2
88	сомнения что	3	2
89	в значительной	2	2
90	в которую	2	2
91	говорить о	1	2
92	в общем	3	2
93	со стороны	2	2
94	из важнейших	1	2
95	с этим	3	2
96	того что	5	2
97	xiii в	1	2
98	х и	2	2
99	бы ни	2	2
100	в начале	3	2
101	г и	1	2
102	в его	13	2
103	из них	3	2
104	где бы	1	2
105	не к	2	2
106	в выборе	1	2
107	как раз	8	2
108	в статье	2	2
109	именно как	1	2
110	и с	4	2
111	именно в	4	2
112	iii в	1	2
113	и тем	1	2
114	для них	1	2
115	в них	2	2
116	церкви и	1	2
117	не было	3	2
118	а не	5	2
119	в ряду	1	2
120	л а	1	2
121	в эту	3	2
122	более чем	1	2
123	не столько	7	2
124	не будем	1	2
125	что из	1	2
126	не менее	3	2
127	все это	11	2
128	между прочим	12	2
129	не о	1	2
130	одна из	1	2
131	мысль о	1	2
132	да и	1	2
133	в полной	2	2
134	еще более	4	2
135	для нас	1	2
136	в частности	4	2
137	с о	1	2
138	как на	9	2
139	в северной	1	2
140	том числе	1	2
141	также и	2	1
142	в русских	1	1
143	же как	3	1
144	не очень	1	1
145	и то	1	1
146	как известно	2	1
147	в сочетание	1	1
148	суждения об	1	1
149	тем же	2	1
150	смысл этого	2	1
151	по преимуществу	1	1
152	на нее	3	1
153	за то	3	1
154	поэзии и	2	1
155	те же	1	1
156	не с	1	1
157	в и	13	1
158	особенно в	2	1
159	в борьбе	1	1
160	и среди	1	1
