N	3gram	Losev_Prob_5	Mirosoze
1	не может быть	2	8
2	для того чтобы	2	4
3	что иное как	3	3
4	до сих пор	2	3
5	у него нет	1	3
6	от того что	1	3
7	и в этом	1	3
8	это и есть	1	3
9	не что иное	3	3
10	в чем не	1	2
11	также и в	2	2
12	потому что он	2	2
13	но это не	1	2
14	и никогда не	2	2
15	о том что	9	2
16	по отношению к	2	2
17	ни в чем	1	2
18	с ума и	1	2
19	после того как	3	2
20	в том что	8	2
21	того что существует	1	1
22	он хотел бы	1	1
23	том что он	2	1
24	только тогда когда	3	1
25	в нем и	1	1
26	с точки зрения	8	1
27	сам по себе	1	1
28	у него есть	1	1
29	друг на друга	1	1
30	но и в	2	1
31	между тем как	1	1
32	в этом отношении	1	1
33	на то что	2	1
34	смысле слова он	1	1
35	в самом себе	1	1
36	что не все	1	1
37	не потому что	1	1
38	что у него	1	1
39	мере в какой	1	1
40	на эту тему	1	1
41	хотя и в	1	1
42	не то чтобы	1	1
43	всякий человек и	1	1
44	не в силах	1	1
45	и он сам	1	1
46	хотя бы в	1	1
47	той или иной	1	1
48	от зла и	1	1
49	сама по себе	1	1
50	на самом деле	1	1
51	он видит в	2	1
52	в конце концов	6	1
