1	в том что	6	11
2	не может быть	2	5
3	в этом смысле	3	4
4	с точки зрения	2	4
5	в то время	1	4
6	по крайней мере	1	4
7	с другой стороны	3	4
8	о том что	1	4
9	в связи с	1	3
10	состоит в том	4	3
11	может быть это	1	3
12	в то же	6	3
13	то же время	6	3
14	с одной стороны	2	2
15	а а а	1	2
16	а с другой	2	2
17	тем не менее	3	2
18	в русской поэзии	2	2
19	мы имеем в	1	2
20	говорит что он	1	2
21	может быть назван	1	2
22	тот или иной	2	1
23	в самом начале	2	1
24	в той или	1	1
25	я думаю что	1	1
26	в поле зрения	1	1
27	в статье о	1	1
28	как в драме	1	1
29	и со всеми	1	1
30	том что он	1	1
31	или иной мере	1	1
32	а а в	1	1
33	а а и	1	1
34	по большей части	1	1
35	одной из своих	1	1
36	каждой из них	1	1
37	более или менее	4	1
38	в одной из	1	1
39	с этой точки	1	1
40	для того чтобы	1	1
41	бог сойти с	1	1
42	на вопрос о	1	1
43	так или иначе	2	1
44	как раз в	1	1
45	в известном смысле	1	1
46	той или иной	3	1
47	мне бог сойти	1	1
48	не дай мне	1	1
49	из этих двух	1	1
50	этой точки зрения	1	1
51	в свою очередь	3	1
52	можно сказать что	3	1
53	к вопросу о	1	1
54	обращает на себя	1	1
55	не было и	1	1
56	дело не в	1	1
57	сойти с ума	1	1
58	так что она	1	1
59	в русской литературе	2	1
60	на себя внимание	1	1
61	дай мне бог	1	1
62	остаться самим собой	1	1
63	второй половины xviii	1	1
64	тем или иным	1	1
65	не только не	2	1
