N	2gram	Berdyaev_V_1	Problemy
1	и в	16	43
2	и не	20	29
3	может быть	1	23
4	как бы	5	22
5	как и	4	14
6	но и	5	14
7	и т	2	13
8	в этом	4	13
9	что он	4	13
10	в нем	4	12
11	в одном	1	12
12	не только	2	11
13	не в	3	11
14	и на	1	10
15	но в	3	10
16	как мы	1	10
17	в его	4	10
18	прежде всего	2	10
19	еще не	8	9
20	никогда не	3	9
21	то же	1	8
22	лишь в	3	8
23	для него	2	8
24	свой предмет	1	7
25	в самом	1	7
26	слова с	1	7
27	и сам	2	7
28	а не	7	7
29	то что	9	7
30	в этих	3	6
31	что я	3	6
32	в том	3	6
33	в котором	4	6
34	у него	1	6
35	и все	4	6
36	но не	2	5
37	хотя и	5	5
38	все эти	3	5
39	да и	2	5
40	и с	1	5
41	это слово	1	5
42	и что	3	5
43	к нему	1	5
44	мы увидим	1	5
45	вовсе не	1	5
46	все это	5	5
47	бы в	1	5
48	а в	2	5
49	и до	1	4
50	мы не	2	4
51	я не	1	4
52	с его	3	4
53	во всех	3	4
54	себе и	1	4
55	в своем	1	4
56	т д	2	4
57	человека в	1	4
58	в них	3	4
59	между собою	1	4
60	должно быть	3	4
61	в своей	3	4
62	их в	3	4
63	к тому	3	4
64	и это	2	4
65	в словах	1	4
66	только в	2	4
67	же и	1	4
68	так как	9	4
69	с другой	1	4
70	то есть	1	4
71	не могут	2	4
72	и нет	1	4
73	но это	3	4
74	это он	1	4
75	в результате	1	4
76	что в	3	4
77	должна быть	3	3
78	не была	1	3
79	в виду	1	3
80	он был	1	3
81	мы будем	1	3
82	чем у	1	3
83	это не	2	3
84	в жизни	3	3
85	в их	1	3
86	в одно	1	3
87	этих трех	3	3
88	она не	1	3
89	на два	1	3
90	на него	1	3
91	ничего не	1	3
92	во всем	1	3
93	могут быть	2	3
94	в себя	2	3
95	можно было	2	3
96	так и	4	3
97	с ним	2	3
98	говорят что	1	3
99	между тем	2	3
100	что и	3	3
101	тот же	3	3
102	и ее	1	3
103	теперь в	1	3
104	уже не	2	3
105	в виде	1	3
106	тем что	2	3
107	себя и	1	3
108	него в	1	3
109	в человеке	1	3
110	все же	1	3
111	и для	3	3
112	это все	2	3
113	другой стороны	1	3
114	в последнем	2	3
115	есть и	1	3
116	а между	2	2
117	человека и	6	2
118	ивана карамазова	2	2
119	в нашу	1	2
120	до времени	1	2
121	вопрос о	1	2
122	на себя	5	2
123	бы ни	1	2
124	мы и	2	2
125	то это	3	2
126	он говорит	1	2
127	отношение к	1	2
128	как в	1	2
129	его к	2	2
130	бы и	3	2
131	что это	1	2
132	в целом	1	2
133	им в	1	2
134	к миру	1	2
135	на том	2	2
136	но все	1	2
137	конечно в	1	2
138	лишь на	1	2
139	ни в	3	2
140	для чего	1	2
141	том что	2	2
142	их сознания	1	2
143	в которых	1	2
144	что было	2	2
145	и то	2	2
146	и очень	1	2
147	раз и	1	2
148	того как	1	2
149	одна из	2	2
150	в процессе	1	2
151	и всегда	1	2
152	пути и	1	2
153	и эта	1	2
154	что на	1	2
155	у нас	1	2
156	я ничего	1	2
157	но к	1	2
158	чудо и	1	2
159	для себя	1	2
160	и самое	1	2
161	в конце	3	2
162	он так	1	2
163	в образе	4	2
164	не был	1	2
165	со словами	1	2
166	от них	1	2
167	в форме	2	2
168	того что	5	2
169	и так	1	2
170	конечно не	2	2
171	уже в	1	2
172	и они	3	2
173	то и	1	2
174	его и	2	2
175	уже и	1	2
176	а с	2	2
177	что не	4	2
178	превращается в	3	2
179	него не	1	2
180	так же	1	2
181	если оно	1	2
182	с тобой	2	2
183	человек с	1	2
184	чтобы сделать	2	2
185	этого слова	1	2
186	так ли	1	2
187	сознании и	1	2
188	человек и	1	2
189	для нас	2	2
190	лишь как	1	2
191	конце концов	1	2
192	хотя бы	3	2
193	не есть	6	2
194	с ними	1	2
195	ее в	2	2
196	в своих	1	2
197	значение в	1	2
198	во всяком	2	2
199	к полному	1	1
200	если б	1	1
201	униженным и	1	1
202	и есть	4	1
203	далее и	1	1
204	и могут	1	1
205	она к	1	1
206	их и	1	1
207	есть не	1	1
208	и полюбил	1	1
209	но она	1	1
210	пуст и	1	1
211	и тем	1	1
212	вместо того	2	1
213	их к	1	1
214	кто же	1	1
215	целое и	1	1
216	бы то	1	1
217	это имеет	1	1
218	идея эта	1	1
219	но как	1	1
220	если в	1	1
221	ведет по	2	1
222	менее всего	1	1
223	в новом	1	1
224	нет и	2	1
225	другое и	1	1
226	материалом для	2	1
227	мы дадим	1	1
228	себя за	1	1
229	которой они	2	1
230	ничего и	2	1
231	с тобою	3	1
232	к чему	3	1
233	тоже не	1	1
234	в этой	1	1
235	слово это	1	1
236	слово только	1	1
237	и если	1	1
238	но прежде	1	1
239	есть одна	1	1
240	не к	2	1
241	этом мире	1	1
242	и по	1	1
243	на этом	1	1
244	будем говорить	1	1
245	слова не	1	1
246	то ни	1	1
247	мы слышим	2	1
248	что все	4	1
249	в мире	5	1
250	себя не	1	1
251	и мы	3	1
252	они только	1	1
253	все равно	2	1
254	в ее	1	1
255	не всегда	1	1
256	и уже	1	1
257	о чем	1	1
258	очень важное	1	1
259	и тогда	2	1
260	это только	1	1
261	же им	1	1
262	для всякого	1	1
263	случилось к	1	1
264	в другие	1	1
265	же ты	3	1
266	по крайней	1	1
267	что есть	5	1
268	есть прежде	1	1
269	освободиться от	1	1
270	что их	2	1
271	а ты	1	1
272	и два	1	1
273	его есть	1	1
274	того чтобы	2	1
275	это еще	4	1
276	не имеет	3	1
277	нельзя не	1	1
278	в сознании	1	1
279	им и	1	1
280	до того	2	1
281	последнем же	1	1
282	иван карамазов	1	1
283	всего в	2	1
284	дух в	1	1
285	его с	1	1
286	где есть	1	1
287	как не	3	1
288	и говорит	1	1
289	важное место	1	1
290	сливаться с	1	1
291	людей он	3	1
292	если они	1	1
293	на нее	1	1
294	не с	2	1
295	живет в	1	1
296	является в	2	1
297	которая в	1	1
298	и вообще	1	1
299	свое дело	1	1
300	но может	1	1
301	но мы	2	1
302	после того	1	1
303	любви к	1	1
304	от него	2	1
305	его личности	1	1
306	и во	2	1
307	всем в	1	1
308	крайней мере	1	1
309	это лишь	1	1
310	человека как	2	1
311	и самые	1	1
312	и мир	1	1
313	один из	2	1
314	себя с	1	1
315	его совести	1	1
316	мы видим	1	1
317	и развитием	1	1
318	еще и	1	1
319	это очень	1	1
320	с которыми	1	1
321	вот что	1	1
322	истины не	1	1
323	только слово	1	1
324	или даже	1	1
325	за ним	3	1
326	в теоретическом	1	1
327	возможно в	1	1
328	тоска а	1	1
329	прямо противоположна	1	1
330	я в	1	1
331	но что	1	1
332	не случайно	1	1
333	людей не	2	1
334	не было	3	1
335	мы это	2	1
336	хоть и	1	1
337	говорит о	1	1
338	от этого	3	1
339	основной вопрос	1	1
340	был в	1	1
341	тоже ведь	1	1
342	знает может	1	1
343	свое и	1	1
344	жизнь в	1	1
345	вместе с	1	1
346	зачем же	2	1
347	и потому	7	1
348	как это	1	1
349	в духе	2	1
350	это сделали	1	1
351	о возможности	1	1
352	над ним	1	1
353	в речах	1	1
354	и ведет	1	1
355	выше всего	2	1
356	в мир	1	1
357	слияние с	1	1
358	только себя	1	1
359	понимает и	2	1
360	проявляется и	1	1
361	здесь есть	1	1
362	о мире	1	1
363	но с	1	1
364	уж конечно	2	1
365	миру в	1	1
366	и от	1	1
367	это как	1	1
368	а к	2	1
369	в двух	1	1
370	влагает в	1	1
371	в третьем	1	1
372	места в	1	1
373	есть уже	2	1
374	но вот	1	1
375	самыми крайними	1	1
376	ты не	5	1
377	наконец не	1	1
378	же они	1	1
379	и слияние	1	1
380	ли они	1	1
381	жизни и	3	1
382	все что	4	1
383	и другие	1	1
384	это в	1	1
385	к этому	1	1
386	они не	1	1
