N	3gram	Losev_Vlad_1	NovoeSre
1	не может быть	3	4
2	лицом к лицу	1	3
3	в этом смысле	4	2
4	большую роль в	1	2
5	вместе с тем	1	2
6	с одной стороны	1	2
7	с другой стороны	3	2
8	а не к	1	1
9	на протяжении всей	1	1
10	то время как	1	1
11	будет сказать что	1	1
12	как это было	1	1
13	и не может	1	1
14	в то что	1	1
15	о человеке и	1	1
16	истории потому что	1	1
17	к жизни и	1	1
18	в том чтобы	2	1
19	не только в	2	1
20	и потому что	3	1
21	то что он	5	1
22	это конечно не	1	1
23	а во имя	1	1
24	во всяком случае	2	1
25	о том что	7	1
26	в то время	2	1
27	ни в чем	1	1
28	и вместе с	1	1
29	это и есть	1	1
30	в последние годы	1	1
31	говорит что в	2	1
32	и совсем не	1	1
33	в том что	7	1
34	во имя своих	1	1
35	в россии и	1	1
