N	4gram	Potebnia_M_2	Dialekti
1	одно и то же	2	4
2	в то же время	2	4
3	не имеет ничего общего	1	3
4	имеет ничего общего с	1	3
5	сама по себе не	2	3
6	с одной стороны и	1	2
7	и т д и	1	2
8	и то и другое	1	2
9	или по крайней мере	2	2
10	как более или менее	1	2
11	в то время как	3	1
12	так а не иначе	1	1
13	само по себе и	1	1
14	как бы она ни	1	1
15	одной и той же	1	1
16	бы она ни была	1	1
17	само по себе не	1	1
18	что и то и	1	1
19	иначе не было бы	1	1
20	дело в том что	1	1
21	отчет в том что	1	1
22	а между тем в	1	1
