N	2gram	Vinokur_Ku_3	Tvorches
1	и в	23	20
2	и т	54	13
3	не только	17	13
4	т д	8	11
5	никогда не	1	11
6	как бы	5	11
7	таким образом	9	10
8	в его	11	10
9	в то	3	10
10	и не	10	9
11	и его	1	9
12	же с	1	9
13	и с	3	8
14	прежде всего	9	8
15	при этом	6	8
16	в том	22	8
17	но и	3	8
18	в этом	16	8
19	может быть	14	8
20	же время	1	7
21	не может	6	7
22	xix века	3	7
23	потому что	12	7
24	что в	13	7
25	то же	6	7
26	это не	3	7
27	наряду с	1	7
28	представление о	1	7
29	как и	5	6
30	так и	6	6
31	в своей	4	6
32	в целом	4	6
33	именно в	3	6
34	все это	2	6
35	а не	11	6
36	что он	6	6
37	но не	3	5
38	все же	5	5
39	еще не	9	5
40	так же	2	5
41	если он	1	5
42	например в	1	5
43	и на	1	5
44	о том	6	5
45	читателя в	1	5
46	но это	5	5
47	все эти	7	4
48	года и	1	4
49	что они	2	4
50	в известной	1	4
51	показывает что	1	4
52	отнюдь не	3	4
53	не в	5	4
54	тем самым	4	4
55	мы не	3	4
56	а в	5	4
57	если не	1	4
58	в принципе	1	4
59	первая часть	1	4
60	хотя и	5	4
61	что она	5	4
62	как в	4	4
63	в дальнейшем	2	4
64	за собой	1	4
65	в чем	5	4
66	и от	1	4
67	и потому	1	4
68	ничего не	6	4
69	если бы	8	4
70	когда он	2	4
71	мы видим	1	4
72	но в	2	4
73	том что	11	4
74	в свете	2	3
75	в себе	1	3
76	тогда как	1	3
77	на западе	2	3
78	в область	2	3
79	отношению к	2	3
80	у пушкина	1	3
81	до сих	8	3
82	в их	6	3
83	для него	1	3
84	казалось бы	1	3
85	его в	2	3
86	он сам	1	3
87	одной из	1	3
88	вместе с	2	3
89	превращается в	1	3
90	с этой	3	3
91	в начале	1	3
92	в таком	4	3
93	между тем	4	3
94	в пользу	1	3
95	и через	2	3
96	что не	4	3
97	в современном	1	3
98	своего рода	2	3
99	в одной	1	3
100	и др	1	3
101	один из	4	3
102	он не	3	3
103	так например	1	3
104	тем что	5	3
105	и мы	1	3
106	уже не	8	3
107	то что	4	3
108	в котором	2	3
109	же как	1	3
110	сих пор	8	3
111	в самом	13	3
112	по отношению	3	3
113	в которых	3	3
114	к этому	1	3
115	так как	9	3
116	а с	3	3
117	этот вопрос	3	3
118	несколько раз	1	3
119	это был	1	3
120	не означает	2	2
121	в которой	1	2
122	приводит к	1	2
123	известной мере	1	2
124	у тургенева	1	2
125	наше время	1	2
126	в такой	1	2
127	говорить о	6	2
128	другой стороны	3	2
129	для которого	2	2
130	этой задачи	1	2
131	не стоит	1	2
132	может служить	2	2
133	так он	1	2
134	и ее	1	2
135	т п	41	2
136	крайней мере	1	2
137	не было	4	2
138	не менее	12	2
139	во что	1	2
140	рядом с	1	2
141	зависит от	1	2
142	начиная с	1	2
143	в статье	2	2
144	вовсе не	5	2
145	отказаться от	1	2
146	в стороне	1	2
147	в виде	1	2
148	у читателя	1	2
149	не знал	1	2
150	не так	3	2
151	роман и	1	2
152	бы не	3	2
153	и без	2	2
154	с другими	2	2
155	что я	1	2
156	так в	2	2
157	на ней	1	2
158	и есть	5	2
159	ли не	1	2
160	в одном	2	2
161	заявил что	1	2
162	к самому	1	2
163	более того	1	2
164	тут же	1	2
165	или даже	1	2
166	и только	3	2
167	в ее	4	2
168	к жизни	1	2
169	во всяком	2	2
170	д и	1	2
171	действия и	1	2
172	в правом	1	2
173	но если	3	2
174	нет и	1	2
175	точка зрения	4	2
176	такой же	2	2
177	в россии	2	2
178	имеет в	2	2
179	на него	3	2
180	все время	1	2
181	у нас	10	2
182	аргумент в	1	2
183	что на	3	2
184	только с	1	2
185	таком случае	2	2
186	отказывается от	1	2
187	тому же	3	2
188	отличие от	2	2
189	всякого рода	5	2
190	так мы	1	2
191	аргументом в	1	2
192	всяком случае	1	2
193	только в	6	2
194	не столько	4	2
195	в основе	1	2
196	думается что	1	2
197	с ними	1	2
198	точку зрения	2	2
199	по крайней	1	2
200	по преимуществу	3	2
201	могут быть	6	2
202	так сказать	2	2
203	в отличие	2	2
204	и если	2	2
205	и что	7	2
206	целом и	1	2
207	в процессе	3	2
208	не случайно	4	2
209	при помощи	1	2
210	я не	5	2
211	с другой	7	2
212	а скорее	1	2
213	классической литературы	2	2
214	в свой	1	2
215	одном из	1	2
216	в частности	2	2
217	в первой	1	2
218	только для	2	2
219	на этот	2	2
220	самом деле	14	2
221	давно уже	1	2
222	то у	2	2
223	как о	3	2
224	известно что	1	2
225	а во	1	2
226	это уже	3	2
227	уже в	3	2
228	сводится к	1	2
229	в русской	1	2
230	известном смысле	2	1
231	то мы	3	1
232	любого из	1	1
233	меняется и	2	1
234	вообще в	1	1
235	в первую	3	1
236	видеть что	1	1
237	оказывается не	1	1
238	главным образом	2	1
239	а живое	1	1
240	что однако	1	1
241	но тоже	1	1
242	и здесь	2	1
243	с литературным	1	1
244	не значит	5	1
245	не знает	2	1
246	первую очередь	3	1
247	она не	3	1
248	отношении к	1	1
249	на себе	1	1
250	не знать	3	1
251	для нас	4	1
252	и вот	3	1
253	я говорю	1	1
254	к осознанию	1	1
255	на точку	2	1
256	вся история	1	1
257	когда же	1	1
258	на деле	1	1
259	в другом	1	1
260	в связи	5	1
261	входит в	1	1
262	которых я	1	1
263	русским языком	2	1
264	же это	2	1
265	мы и	1	1
266	но он	1	1
267	говорит что	1	1
268	в противоположность	1	1
269	не все	2	1
270	только как	4	1
271	негодование и	2	1
272	на наших	1	1
273	мы говорим	4	1
274	когда в	2	1
275	и независимо	1	1
276	русское слово	1	1
277	отличается от	2	1
278	в русском	2	1
279	борьбе и	1	1
280	записки с	1	1
281	и для	1	1
282	как на	8	1
283	в поэзии	5	1
284	можно говорить	10	1
285	представляет собою	1	1
286	не к	1	1
287	за этим	1	1
288	же что	1	1
289	он приходит	1	1
290	связи с	6	1
291	и со	1	1
292	был бы	3	1
293	думать что	1	1
294	и их	1	1
295	должны иметь	1	1
296	может оказаться	2	1
297	переходит от	1	1
298	случайно и	1	1
299	ведет к	1	1
300	но автор	1	1
301	то он	3	1
302	как видим	1	1
303	языком с	1	1
304	нет никаких	1	1
305	этот прием	2	1
306	основания для	1	1
307	мы на	1	1
308	лишь что	2	1
309	писателя и	1	1
310	каждого из	1	1
311	образом и	1	1
312	далее следует	2	1
313	означает что	1	1
314	это еще	2	1
315	смысле что	1	1
316	даже в	1	1
317	раньше чем	1	1
318	к другой	2	1
319	дает и	1	1
320	у себя	1	1
321	дает нам	2	1
322	интересно и	1	1
323	и другие	1	1
324	вполне возможен	1	1
325	как это	7	1
326	и множество	1	1
327	от него	1	1
328	что это	3	1
329	в целях	1	1
330	а только	1	1
331	другом месте	1	1
332	по себе	6	1
333	с малым	1	1
334	мы получаем	1	1
335	не дает	2	1
336	таким же	1	1
337	хроники и	1	1
338	не сказано	1	1
339	и рядом	3	1
340	то или	2	1
341	того или	3	1
342	в повествовании	1	1
343	цель этого	1	1
344	менее всего	1	1
345	а потому	2	1
346	бы уже	2	1
347	эти слова	2	1
348	еще на	2	1
349	наших глазах	1	1
350	определенную цель	1	1
351	и я	2	1
352	с определенным	1	1
353	в эту	1	1
354	что сама	1	1
355	приходит к	1	1
356	чем же	2	1
357	или нет	1	1
358	целом ряде	1	1
359	нуждается в	1	1
360	работы для	1	1
361	а нам	1	1
362	кровь и	1	1
363	и такие	2	1
364	что же	5	1
365	оба эти	1	1
366	мы наблюдаем	1	1
367	из всего	2	1
368	что ничего	1	1
369	между собой	1	1
370	является его	1	1
371	а тем	2	1
372	но только	1	1
373	всего что	1	1
374	через его	1	1
375	почти всегда	1	1
376	отношение к	3	1
377	совершенно не	5	1
378	войне и	1	1
379	между ними	1	1
380	это самое	2	1
381	меня не	1	1
382	а лишь	3	1
383	эта функция	1	1
384	в таких	2	1
385	не знаю	1	1
386	произведения как	1	1
387	дана в	1	1
388	бы лишены	1	1
389	на место	1	1
390	в обнаженном	1	1
391	моменты которые	1	1
392	если можно	1	1
393	к тому	3	1
394	мы видели	3	1
395	еще более	2	1
396	своим собственным	1	1
397	значение имеет	1	1
398	что для	1	1
399	это казалось	1	1
400	и о	4	1
401	для своих	1	1
402	изменения в	1	1
403	может не	1	1
404	в этих	2	1
405	на вопрос	3	1
406	мысли и	2	1
407	я делаю	1	1
408	проблемы поэтики	1	1
409	с логикой	1	1
410	культурный уровень	1	1
411	однако в	2	1
412	и прежде	1	1
413	и к	3	1
414	после этого	1	1
415	не имеет	3	1
416	он дает	1	1
417	мере уже	1	1
418	она должна	1	1
419	в современной	1	1
420	отказ от	1	1
421	не считал	1	1
422	для меня	2	1
423	теперь же	1	1
424	культуры и	1	1
425	возможно что	1	1
426	мог бы	2	1
427	он будет	2	1
428	нас к	2	1
429	понял что	2	1
430	не давая	1	1
431	как мы	5	1
432	ведь в	1	1
433	из этих	5	1
434	или иное	2	1
435	это и	3	1
436	что если	2	1
437	в сфере	1	1
438	в свою	1	1
439	и точные	1	1
440	зрения и	1	1
