N	3gram	Tiupa_Anal_1	Mirosoze
1	не может быть	16	17
2	вместе с тем	1	5
3	а не в	3	4
4	но и в	2	4
5	и вместе с	1	4
6	и в самом	1	3
7	прежде всего в	1	2
8	по отношению к	5	2
9	до сих пор	1	2
10	и не может	4	2
11	не только в	1	2
12	как будто бы	1	2
13	не могут быть	2	2
14	для того чтобы	3	2
15	в области литературной	1	1
16	что иное как	5	1
17	а не к	1	1
18	нет и не	2	1
19	ни с какой	1	1
20	а вовсе не	1	1
21	принадлежит к тем	1	1
22	имеем в виду	1	1
23	в самом деле	2	1
24	так и не	1	1
25	том случае если	1	1
26	в зависимости от	1	1
27	в отличие от	6	1
28	и быть может	1	1
29	он обращен к	1	1
30	и т п	3	1
31	в том случае	1	1
32	быть может наиболее	1	1
33	если в основе	1	1
34	они приходят к	1	1
35	по природе своей	2	1
36	не в том	3	1
37	несет в себе	1	1
38	во всяком случае	1	1
39	лишь в том	3	1
40	одна и та	1	1
41	или лучше сказать	1	1
42	между тем как	1	1
43	но не может	1	1
44	как бы не	1	1
45	себя в них	1	1
46	мы имеем в	1	1
47	о том что	3	1
48	не что иное	4	1
49	и та же	1	1
50	в себе в	1	1
51	в том что	9	1
52	выходит за пределы	1	1
53	в этом все	1	1
54	не так как	1	1
