N	2gram	Berdyaev_M_1	Komedia
1	и в	28	26
2	и не	11	14
3	и его	9	12
4	к тому	3	12
5	так и	1	12
6	может быть	30	11
7	в том	6	11
8	в этом	20	10
9	на протяжении	2	10
10	но и	25	10
11	том что	3	9
12	если бы	2	9
13	вместе с	6	9
14	что в	10	9
15	было бы	10	8
16	и на	6	7
17	не только	29	7
18	что и	4	7
19	еще не	1	6
20	в своем	10	6
21	о том	2	6
22	в нем	13	6
23	в то	2	6
24	того чтобы	2	6
25	потому что	16	6
26	наряду с	1	6
27	во время	1	6
28	то что	5	6
29	в которой	6	5
30	с его	3	5
31	что он	10	5
32	так что	1	5
33	в истории	2	5
34	с этим	3	5
35	для того	2	5
36	с тем	9	5
37	и с	3	5
38	один из	4	5
39	действующих лиц	1	5
40	к этому	2	5
41	уже в	4	4
42	более чем	1	4
43	в самом	11	4
44	с их	2	4
45	это было	1	4
46	в них	4	4
47	как и	5	4
48	в этих	4	4
49	место в	2	4
50	не менее	1	4
51	как будто	2	4
52	сразу же	1	4
53	можно было	1	4
54	еще в	2	4
55	его в	3	4
56	восходит к	1	4
57	между тем	1	4
58	в его	9	4
59	в середине	4	4
60	только в	6	4
61	в начале	2	4
62	так как	3	4
63	у него	17	4
64	на этот	2	4
65	прежде всего	10	4
66	мира в	1	4
67	в частности	1	4
68	о его	1	4
69	все же	2	4
70	и для	2	4
71	и от	2	4
72	одной из	1	4
73	точки зрения	4	4
74	становится в	1	3
75	тех же	1	3
76	в котором	8	3
77	в их	4	3
78	вопрос о	2	3
79	в ней	15	3
80	во всех	1	3
81	но не	8	3
82	по отношению	2	3
83	как в	2	3
84	но в	7	3
85	со своей	1	3
86	в этой	6	3
87	как он	2	3
88	человека в	13	3
89	в каждом	1	3
90	но если	3	3
91	в обоих	1	3
92	не имеет	3	3
93	в самой	7	3
94	к концу	4	3
95	и сам	1	3
96	то время	2	3
97	в образе	1	3
98	и поэтому	1	3
99	к нему	7	3
100	насилие над	2	3
101	себя в	3	3
102	ответ на	1	3
103	и их	3	3
104	никто не	2	3
105	тем что	4	3
106	не было	18	3
107	о чем	2	3
108	отношению к	2	3
109	да и	1	3
110	с этой	4	3
111	все это	6	3
112	для нас	3	3
113	интерес к	3	3
114	а в	4	3
115	в период	1	3
116	в своей	15	3
117	жизни и	2	3
118	не может	28	3
119	также что	1	2
120	и т	1	2
121	одним из	2	2
122	по отдельным	1	2
123	и есть	14	2
124	мы имеем	1	2
125	мы не	1	2
126	из самых	8	2
127	время как	2	2
128	не вполне	1	2
129	то это	1	2
130	в виду	2	2
131	и был	1	2
132	меньше чем	1	2
133	он был	14	2
134	есть для	1	2
135	в ее	3	2
136	если в	1	2
137	отличие от	1	2
138	человеку и	2	2
139	и я	5	2
140	в одной	1	2
141	целый ряд	1	2
142	от этого	2	2
143	за собой	2	2
144	с той	1	2
145	бы и	3	2
146	жизни так	1	2
147	в греции	1	2
148	роль в	1	2
149	в философии	1	2
150	что она	1	2
151	после этого	1	2
152	он не	24	2
153	и еще	3	2
154	античного мира	1	2
155	в силу	1	2
156	на этом	3	2
157	же не	1	2
158	об этом	1	2
159	это не	5	2
160	в это	1	2
161	чем в	2	2
162	всяком случае	1	2
163	в отличие	1	2
164	не в	16	2
165	в конце	7	2
166	вовсе не	1	2
167	на пути	4	2
168	начинает с	2	2
169	в одном	1	2
170	что их	1	2
171	такая же	1	2
172	и после	1	2
173	и почему	1	2
174	бог и	7	2
175	в духе	1	2
176	всего в	2	2
177	на это	1	2
178	от которой	1	2
179	и это	12	2
180	так в	1	2
181	и что	2	2
182	в мире	10	2
183	с собой	3	2
184	и во	2	2
185	и все	10	2
186	нем не	2	2
187	в другой	1	2
188	также в	1	2
189	все время	1	2
190	же можно	2	2
191	и ее	1	2
192	и у	2	2
193	одно из	3	2
194	т п	1	2
195	у нее	1	2
196	отношение к	4	2
197	от того	1	2
198	в любви	4	2
199	рядом с	1	2
200	нет и	5	2
201	и к	2	2
202	до сих	2	2
203	а на	1	2
204	у других	1	2
205	для их	1	2
206	если не	1	2
207	по своему	2	2
208	в течение	1	2
209	в той	2	2
210	как бы	2	2
211	его собственный	1	2
212	пути к	1	2
213	сих пор	2	2
214	бы в	2	2
215	еще более	1	2
216	хотя бы	3	2
217	от ее	1	2
218	от всех	1	2
219	к его	1	2
220	и жизнь	2	2
221	во всяком	1	2
222	отношения к	4	1
223	чувствовать себя	1	1
224	утра до	1	1
225	самом деле	1	1
226	сил и	1	1
227	или к	4	1
228	имя его	1	1
229	и этот	4	1
230	сравнению с	1	1
231	шаг вперед	1	1
232	та же	1	1
233	целого периода	1	1
234	ему в	1	1
235	и самой	1	1
236	и первой	1	1
237	собой в	1	1
238	как ему	1	1
239	все эти	2	1
240	они ищут	3	1
241	не был	7	1
242	чтобы по	1	1
243	в существовании	1	1
244	время он	1	1
245	и мира	3	1
246	что люди	1	1
247	не без	1	1
248	то мы	1	1
249	в юности	1	1
250	это свойство	1	1
251	все внимание	1	1
252	же она	1	1
253	в свои	1	1
254	его творчество	2	1
255	свои силы	1	1
256	как к	1	1
257	комнаты и	1	1
258	и нет	2	1
259	это был	1	1
260	приносит нам	1	1
261	он признает	1	1
262	с нею	1	1
263	жизни в	2	1
264	кажется в	1	1
265	он дал	1	1
266	жизни еще	1	1
267	привести к	4	1
268	в себе	7	1
269	имеет для	1	1
270	замыкается в	1	1
271	от греческого	1	1
272	держать в	1	1
273	сказать в	1	1
274	которой не	1	1
275	и более	1	1
276	европейской культуры	1	1
277	огромный шаг	1	1
278	средством для	1	1
279	его от	1	1
280	исключительно с	1	1
281	от нее	5	1
282	его не	3	1
283	бы быть	1	1
284	динамике в	2	1
285	на все	1	1
