N	2gram	Bakhtin_fo_1	Hudozhes
1	в мире	1	23
2	в качестве	3	19
3	то есть	33	18
4	и не	14	16
5	не только	9	15
6	и в	50	15
7	в том	9	15
8	может быть	11	13
9	в частности	6	13
10	при этом	3	12
11	и его	16	12
12	а в	3	12
13	но не	5	11
14	в этом	25	11
15	в себе	3	11
16	то же	11	10
17	по отношению	3	10
18	как бы	2	10
19	так и	12	10
20	а не	3	10
21	отношению к	5	10
22	но и	8	10
23	точки зрения	5	9
24	в его	13	9
25	своего рода	1	8
26	себя в	1	8
27	я и	1	7
28	отличие от	2	7
29	но в	10	7
30	в отличие	2	7
31	в то	9	7
32	или иной	2	7
33	с другой	2	7
34	в искусстве	1	7
35	с его	9	6
36	отношение к	2	6
37	том что	4	6
38	не в	5	6
39	в основе	5	6
40	же время	9	6
41	по своей	1	6
42	в ее	6	6
43	приводит к	1	6
44	в состав	1	6
45	не может	6	6
46	что в	5	6
47	в их	6	5
48	в самом	8	5
49	то что	6	5
50	не предполагает	1	5
51	ни в	8	5
52	могут быть	5	5
53	той или	2	5
54	с ее	6	5
55	а также	2	5
56	того что	2	5
57	только в	4	5
58	уже не	2	5
59	и т.п	4	5
60	между ними	3	5
61	в нем	24	5
62	героя и	7	5
63	отношения к	3	4
64	и то	4	4
65	мы имеем	1	4
66	место в	2	4
67	жизни как	1	4
68	еще не	5	4
69	а только	2	4
70	хотя и	3	4
71	и как	10	4
72	он не	5	4
73	без исключения	1	4
74	в другом	1	4
75	самим собой	2	4
76	в этих	3	4
77	в своей	2	4
78	не столько	1	4
79	и т.д	1	4
80	входит в	3	4
81	в форме	3	4
82	во времени	3	4
83	для него	2	4
84	прежде всего	15	4
85	а на	1	4
86	не знает	3	4
87	например в	6	4
88	к тому	3	4
89	по пути	1	4
90	сказать что	3	4
91	того же	8	3
92	на деле	1	3
93	со своей	3	3
94	и ее	3	3
95	в целом	2	3
96	что можно	1	3
97	в виду	3	3
98	и читателей	1	3
99	и к	2	3
100	в которой	2	3
101	не следует	1	3
102	он должен	2	3
103	одно и	3	3
104	лишь в	6	3
105	его в	3	3
106	это не	6	3
107	как и	8	3
108	одного и	5	3
109	с точки	2	3
110	все прочие	1	3
111	но он	2	3
112	их в	3	3
113	произведений искусства	1	3
114	автора и	2	3
115	в отношении	3	3
116	как раз	13	3
117	потому что	4	3
118	имеет место	3	3
119	в пределах	5	3
120	так в	1	3
121	если бы	5	3
122	что он	1	3
123	во втором	2	3
124	во всей	3	3
125	и того	6	3
126	человека с	1	3
127	к содержанию	1	3
128	далеко не	2	3
129	не на	1	3
130	человеческой жизни	6	3
131	была бы	2	3
132	по своему	1	3
133	о чем	1	3
134	в данном	2	3
135	в той	4	3
136	и для	4	3
137	таким образом	11	3
138	личности и	2	3
139	в свою	2	3
140	в таком	3	3
141	человека и	11	2
142	и это	4	2
143	идет о	1	2
144	между двумя	6	2
145	к другому	2	2
146	по преимуществу	3	2
147	собою в	1	2
148	но она	2	2
149	принадлежит к	2	2
150	не вполне	1	2
151	я не	1	2
152	и на	8	2
153	в чем	2	2
154	могло быть	4	2
155	но как	1	2
156	не входит	2	2
157	свою жизнь	1	2
158	сама по	1	2
159	данный момент	1	2
160	человеческого бытия	1	2
161	в своем	4	2
162	в себя	1	2
163	образом и	1	2
164	все эти	9	2
165	в нашем	2	2
166	бы не	1	2
167	в этой	1	2
168	с их	2	2
169	но на	4	2
170	всей его	2	2
171	вследствие этого	3	2
172	к герою	1	2
173	не как	2	2
174	этом мире	2	2
175	встречаются в	1	2
176	ни был	1	2
177	значительной степени	1	2
178	могла бы	1	2
179	об этом	2	2
180	времени и	10	2
181	времени в	7	2
182	по себе	2	2
183	в них	4	2
184	жизни но	5	2
185	литературных произведений	1	2
186	с другими	3	2
187	и некоторые	1	2
188	известной степени	1	2
189	и более	1	2
190	до известной	1	2
191	вовсе не	13	2
192	связей с	1	2
193	дело не	1	2
194	одна из	2	2
195	не могло	5	2
196	не является	2	2
197	числе и	2	2
198	частной жизни	23	2
199	оно не	2	2
200	для себя	7	2
201	того чтобы	5	2
202	свою очередь	1	2
203	здесь не	4	2
204	самим собою	3	2
205	в организации	1	2
206	к жизни	2	2
207	роль в	9	2
208	и сам	1	2
209	или в	3	2
210	с самим	5	2
211	с человеком	1	2
212	в порядке	3	2
213	о том	1	2
214	в глаза	2	2
215	в значительной	2	2
216	именно в	3	2
217	в литературе	16	2
218	ни к	3	2
219	мире и	2	2
220	с одной	3	2
221	есть в	2	2
222	и др	9	2
223	за пределами	1	2
224	или даже	1	2
225	одно из	3	2
226	никто не	2	2
227	и прежде	2	2
228	в одном	3	2
229	в пространстве	5	2
230	при всей	1	2
231	у него	6	2
232	для того	5	2
233	на почве	2	2
234	в данный	1	2
235	себя и	3	2
236	жизни то	2	2
237	мир все	1	2
238	одной стороны	2	2
239	и составляет	1	2
240	мира в	3	2
241	начиная с	1	2
242	так же	6	2
243	и потому	3	2
244	как в	6	2
245	даже самая	1	2
246	из которых	1	2
247	к своему	2	2
248	хронотоп в	5	2
249	было и	4	2
250	и по	2	2
251	жизни в	8	2
