N	2gram	Berdyaev_O_1	Vladivir
1	вл соловьева	1	188
2	вл соловьев	1	127
3	у вл	1	42
4	и в	19	40
5	то что	5	28
6	не только	11	25
7	и не	13	25
8	учение о	2	24
9	у него	22	24
10	том что	2	18
11	в том	5	18
12	но и	13	18
13	также и	1	17
14	что в	4	17
15	в этом	12	16
16	в его	7	14
17	так что	2	14
18	не может	4	14
19	вовсе не	1	13
20	в конце	1	12
21	даже и	2	12
22	а именно	1	12
23	сказать что	2	12
24	никогда не	9	11
25	потому что	9	11
26	о том	3	11
27	и его	4	10
28	не есть	2	10
29	прежде всего	9	10
30	и потому	2	10
31	это есть	1	10
32	и то	2	9
33	уже не	1	9
34	что это	1	9
35	в себе	3	9
36	и с	2	9
37	в своей	2	9
38	что же	2	9
39	в своем	2	8
40	в этой	5	8
41	он не	7	8
42	и что	1	8
43	для него	5	8
44	может быть	11	8
45	а не	11	8
46	хотя и	2	7
47	и как	1	7
48	что все	2	7
49	с тем	2	7
50	как и	6	7
51	что и	2	7
52	того что	3	7
53	так как	2	7
54	а в	5	7
55	в своих	3	7
56	смысле слова	1	6
57	и на	2	6
58	то в	1	6
59	по себе	2	6
60	во всем	1	6
61	и это	1	6
62	и от	3	6
63	так и	2	6
64	и здесь	1	6
65	почему же	1	6
66	и даже	1	6
67	да и	1	6
68	но это	1	6
69	хотя бы	3	6
70	отношения к	1	5
71	в ней	1	5
72	совсем не	2	5
73	в истории	2	5
74	все эти	4	5
75	можно было	1	5
76	должно быть	2	5
77	в отношении	1	5
78	дело в	1	5
79	тем что	2	5
80	ничего не	2	5
81	только и	4	5
82	у нас	1	5
83	в древнем	1	5
84	что он	3	5
85	в одном	1	5
86	не было	9	5
87	о боге	4	4
88	в самом	5	4
89	и о	2	4
90	вопрос о	10	4
91	еще не	3	4
92	но не	1	4
93	то он	1	4
94	все же	2	4
95	но в	2	4
96	бы и	1	4
97	на то	1	4
98	было бы	3	4
99	чем в	2	4
100	в котором	1	4
101	не имеет	2	4
102	в глаза	1	4
103	не с	1	4
104	и можно	1	4
105	от того	1	4
106	а с	1	4
107	говорит о	1	4
108	до конца	7	4
109	и все	10	4
110	него в	5	4
