N	2gram	Vinokur_Vv_1	Formalny
1	т е	38	34
2	и в	27	24
3	в его	10	23
4	прежде всего	8	22
5	и не	13	20
6	так и	1	18
7	не может	13	16
8	точки зрения	7	16
9	в этом	34	15
10	в нем	13	14
11	может быть	24	14
12	таким образом	19	13
13	с точки	2	13
14	на почве	5	13
15	и т	43	12
16	истории литературы	3	12
17	именно как	3	12
18	науки об	2	12
19	не менее	8	11
20	в своей	4	11
21	в их	11	11
22	должно быть	2	11
23	как и	5	11
24	в своем	3	11
25	и ее	4	10
26	вовсе не	6	10
27	настоящее время	1	10
28	литературное произведение	2	10
29	то же	8	10
30	и его	5	10
31	в настоящее	1	10
32	а не	3	10
33	в ней	3	10
34	история литературы	2	9
35	в то	5	9
36	все это	6	9
37	же время	5	8
38	т д	37	8
39	произведения и	2	8
40	не в	8	8
41	и с	2	8
42	литературы в	3	8
43	в ее	11	8
44	то что	17	8
45	и на	3	8
46	как в	1	8
47	лишь в	1	8
48	именно в	8	8
49	в свою	1	8
50	на самом	1	7
51	но и	5	7
52	жизни и	2	7
53	в содержании	1	7
54	до конца	3	7
55	не только	21	7
56	должна быть	2	7
57	и от	1	7
58	все эти	3	6
59	еще не	4	6
60	входит в	2	6
61	и все	1	6
62	сих пор	5	6
63	до сих	5	6
64	как это	5	6
65	а в	5	6
66	отношения к	1	6
67	в том	31	6
68	в целом	5	6
69	свою очередь	1	6
70	в этой	3	6
71	метода в	1	6
72	самом деле	6	6
73	было бы	5	6
74	как бы	5	6
75	должны быть	1	5
76	в литературе	1	5
77	при этом	3	5
78	лишь как	2	5
79	искусства и	1	5
80	только на	3	5
81	во всех	2	5
82	по себе	9	5
83	хотя бы	5	5
84	того что	12	5
85	как мы	9	5
86	у нас	2	5
87	не могло	1	5
88	и др	2	5
89	и истории	2	5
90	в самом	12	5
91	проблем и	1	5
92	непосредственно в	1	5
93	должен быть	4	5
94	с другой	8	5
95	но в	10	5
96	и до	2	5
97	со стороны	12	5
98	и историю	2	4
99	в которой	1	4
100	главным образом	1	4
101	во всяком	3	4
102	в связи	2	4
103	художественных произведений	2	4
104	так же	3	4
105	отношению к	4	4
106	т п	5	4
107	учение о	2	4
108	задачи и	1	4
109	с другими	1	4
110	стороны и	3	4
111	оно не	1	4
112	что в	11	4
113	ближайшим образом	1	4
114	с этой	4	4
115	литература в	1	4
116	независимо от	3	4
117	по отношению	4	4
118	и к	1	4
119	в истории	9	4
120	никогда не	3	4
121	всяком случае	3	4
122	искусства в	1	4
123	познания и	2	4
124	одной стороны	4	4
125	для этого	3	4
126	с одной	4	4
127	не как	3	4
128	быть и	2	4
129	в частности	3	4
130	если бы	2	4
131	как о	4	4
132	как на	11	4
133	значение в	2	3
134	все же	8	3
135	для него	1	3
136	бы в	1	3
137	бы то	1	3
138	отличается от	1	3
139	же в	1	3
140	здесь не	2	3
141	связи с	3	3
142	не было	1	3
143	вещей и	1	3
144	элементы художественной	1	3
145	не по	1	3
146	в жизни	1	3
147	всего в	1	3
148	наконец в	1	3
149	литературы с	2	3
150	то ни	1	3
151	если он	1	3
152	более того	1	3
153	с помощью	1	3
154	но не	7	3
155	лучшем случае	1	3
156	смысле этого	8	3
157	время в	2	3
158	или же	3	3
159	жизнь и	1	3
160	отношение к	3	3
161	между ними	2	3
162	в широком	7	3
163	историк литературы	3	3
164	идеализма и	1	3
165	к тому	4	3
166	и даже	5	3
167	и других	3	3
168	в россии	1	3
169	они не	1	3
170	произведение в	1	3
171	направление в	2	3
172	культуры и	1	3
173	это и	1	3
174	у них	1	3
175	в отношении	2	3
176	и чем	1	3
177	зависимости от	1	3
178	как она	4	3
179	один из	6	3
180	и история	3	3
181	ясно что	9	3
182	перестает быть	1	3
183	значение и	2	3
184	в каждом	4	3
185	в них	4	3
186	в особенности	4	3
187	этого слова	2	3
188	так сказать	1	3
189	как к	1	3
190	литературы как	1	3
191	представлять себе	1	3
192	мы не	2	3
193	или иного	1	3
194	его в	6	3
195	в области	4	3
196	он должен	1	3
197	становления и	1	3
198	что он	4	3
199	со всей	3	3
200	говорит он	2	3
201	так например	6	3
202	каждой из	3	3
203	материала и	1	3
204	в общем	12	3
205	об искусстве	4	3
206	в лучшем	1	3
207	в трудах	1	3
208	действительности и	1	3
209	и как	9	3
210	в себе	4	3
211	но это	1	3
212	но для	1	3
213	не могла	1	2
214	может и	1	2
215	почти не	1	2
216	исследования и	2	2
217	какие бы	1	2
218	теоретической мысли	1	2
219	но есть	1	2
220	и вот	3	2
221	вопрос о	8	2
222	если же	2	2
223	ко времени	2	2
224	тех же	1	2
225	ее от	2	2
226	за исключением	1	2
227	только как	6	2
228	научная история	1	2
229	от этого	5	2
230	она была	2	2
231	социальным явлением	1	2
232	и является	1	2
233	в германии	3	2
234	и со	1	2
235	вопрос об	1	2
236	как такового	2	2
237	конкретное единство	1	2
238	в содержание	1	2
239	этой работы	3	2
240	как раз	4	2
241	науки о	9	2
242	есть лишь	2	2
243	оно было	1	2
244	и должна	1	2
245	литературного развития	1	2
246	его и	1	2
247	к которому	1	2
248	историю литературы	1	2
249	иначе как	1	2
250	подход к	1	2
251	нисколько не	3	2
252	а только	8	2
253	не дает	1	2
254	по истории	2	2
255	и те	2	2
256	нет он	1	2
257	убедиться в	1	2
258	от действительности	2	2
259	того или	1	2
260	с тем	6	2
261	в одном	4	2
262	непосредственно как	1	2
263	том чтобы	6	2
264	в применении	6	2
265	но все	3	2
266	целом ряде	2	2
267	в строгом	3	2
268	одной из	3	2
269	исторического изучения	2	2
270	вместе с	6	2
271	этот образ	1	2
272	к действительности	2	2
273	и должно	1	2
274	следовательно и	1	2
275	здесь в	1	2
276	а лишь	1	2
277	впечатление что	1	2
278	она есть	5	2
279	совокупности всех	1	2
280	остановиться на	1	2
281	нет и	1	2
282	между тем	8	2
283	из возможных	1	2
284	это не	8	2
285	мы видели	2	2
286	не с	2	2
287	мысли в	1	2
288	в противовес	1	2
289	сама по	3	2
290	а как	3	2
291	в системе	1	2
292	все время	1	2
293	как их	1	2
294	из важнейших	1	2
295	науку о	2	2
296	что такое	10	2
297	как если	1	2
298	не на	1	2
299	вещей в	1	2
300	эта связь	1	2
301	действительности в	2	2
302	с этим	2	2
303	этой науки	3	2
304	во всем	2	2
305	своей работе	1	2
306	своей прямой	1	2
307	что содержание	1	2
308	для нашего	1	2
309	в создании	2	2
310	ничего не	2	2
311	только в	13	2
312	даже и	3	2
313	но ведь	4	2
314	уже не	5	2
315	из системы	1	2
316	историю искусств	1	2
317	отношении к	2	2
318	и заключается	4	2
319	или иначе	4	2
320	одна из	2	2
321	литературы история	1	2
322	в зависимости	1	2
323	ни было	1	2
324	чтобы он	2	2
325	строгом смысле	3	2
326	же как	3	2
327	от того	3	2
328	на его	1	2
329	значения и	1	2
330	во всей	1	2
331	чтобы не	1	2
332	что и	3	2
333	новых художественных	1	2
334	не от	1	2
335	и что	4	2
336	однако не	4	2
337	в результате	3	2
338	в действительности	1	2
339	его содержание	1	2
340	в различных	2	2
341	в своих	2	2
342	в ряду	1	2
343	в работе	3	2
344	самое понятие	1	2
345	по существу	2	2
346	литературой в	1	2
347	и каковы	2	2
348	искусства как	1	2
349	чем же	3	2
350	все более	3	2
351	этом пункте	1	2
352	и особенно	1	2
353	в самой	1	2
