N	2gram	Berdyaev_V_1	StatiiOP
1	и в	16	25
2	в этом	4	24
3	в том	3	20
4	что он	4	19
5	может быть	1	19
6	тем что	2	19
7	что в	3	19
8	что это	1	16
9	том что	2	15
10	в этой	1	14
11	не только	2	12
12	в его	4	12
13	то что	9	12
14	в этих	3	11
15	прежде всего	2	10
16	и не	20	10
17	у него	1	9
18	но и	5	9
19	и т	2	8
20	все это	5	8
21	в своих	1	8
22	это не	2	7
23	и на	1	6
24	как в	1	6
25	не в	3	6
26	между тем	2	6
27	только в	2	6
28	в конце	3	6
29	как бы	5	6
30	а в	2	6
31	то же	1	5
32	говорит что	1	5
33	но в	3	5
34	ни в	3	5
35	в котором	4	5
36	потому что	4	5
37	и это	2	5
38	так и	4	5
39	в них	3	5
40	с другой	1	5
41	а не	7	5
42	в речах	1	5
43	того что	5	5
44	другой стороны	1	5
45	в которой	1	4
46	в чем	3	4
47	все же	1	4
48	не было	3	4
49	в целом	1	4
50	лишь в	3	4
51	и тем	1	4
52	в жизни	3	4
53	с тем	2	4
54	как и	4	4
55	у нас	1	4
56	по крайней	1	4
57	ничего не	1	4
58	в ней	4	4
59	и с	1	4
60	к нему	1	4
61	мы видим	1	4
62	всего в	2	4
63	отношение к	1	4
64	крайней мере	1	4
65	связь с	1	4
66	он говорит	1	4
67	и для	3	4
68	но это	3	4
69	в своей	3	4
70	это в	1	4
71	во всяком	2	4
72	говорить о	4	3
73	он был	1	3
74	с его	3	3
75	все эти	3	3
76	и если	1	3
77	на этом	1	3
78	нет никакого	1	3
79	в их	1	3
80	что я	3	3
81	тому что	3	3
82	это слово	1	3
83	что все	4	3
84	нельзя не	1	3
85	в словах	1	3
86	и что	3	3
87	по этому	3	3
88	вот что	1	3
89	уже не	2	3
90	уже в	1	3
91	не так	2	3
92	для него	2	3
93	так как	9	3
94	с которым	1	3
95	что мы	4	3
96	с этой	1	3
97	конце концов	1	3
98	к этому	1	3
99	в виде	1	3
100	речь идет	1	2
101	и за	2	2
102	царем и	1	2
103	думаю что	1	2
104	не имел	2	2
105	не был	1	2
106	во всех	3	2
107	но как	1	2
108	если в	1	2
109	с которыми	1	2
110	не просто	1	2
111	нет и	2	2
112	что они	7	2
113	им в	1	2
114	его к	2	2
115	и последний	2	2
116	в самом	1	2
117	он делает	1	2
118	в следующих	1	2
119	т д	2	2
120	о которой	1	2
121	и по	1	2
122	но все	1	2
123	то есть	1	2
124	ее в	2	2
125	а с	2	2
126	между собою	1	2
127	жизни но	1	2
128	мы не	2	2
129	и тогда	2	2
130	в которых	1	2
131	не была	1	2
132	этих трех	3	2
133	как можно	1	2
134	на котором	1	2
135	одна из	2	2
136	много общего	1	2
137	не имеет	3	2
138	никогда не	3	2
139	найти в	1	2
140	и всегда	1	2
141	в русском	1	2
142	могут быть	2	2
143	ставит в	1	2
144	к тому	3	2
145	для того	1	2
146	как мы	1	2
147	в виду	1	2
148	в тюрьму	1	2
149	на нее	1	2
150	и которые	1	2
151	и во	2	2
152	от них	1	2
153	а потому	1	2
154	в форме	2	2
155	еще не	8	2
156	отказ от	1	2
157	и ее	1	2
158	то и	1	2
159	в новом	1	2
160	вовсе не	1	2
161	себя и	1	2
162	что не	4	2
163	вместе с	1	2
164	но не	2	2
165	в последнем	2	2
166	этого слова	1	2
167	здесь есть	1	2
168	один из	2	2
169	в результате	1	2
170	его не	2	2
171	в духе	2	2
172	я думаю	2	2
173	близок к	1	2
174	совсем как	1	1
175	и то	2	1
176	ты и	1	1
177	и так	1	1
178	и до	1	1
179	свое место	1	1
180	должна быть	3	1
181	легенду о	1	1
182	есть не	1	1
183	вопрос о	1	1
184	на себя	5	1
185	мы и	2	1
186	с тремя	1	1
187	во мне	4	1
188	идет за	1	1
189	истории в	1	1
