N	2gram	Tiupa_Hudo_1	Problemy
1	и не	15	31
2	и в	19	29
3	в его	9	24
4	может быть	14	24
5	в этом	11	22
6	а не	9	22
7	точки зрения	10	19
8	в нем	5	19
9	как бы	9	19
10	для него	4	18
11	у достоевского	1	16
12	то что	4	15
13	не только	16	15
14	не как	2	14
15	но и	10	14
16	то же	10	14
17	и его	12	14
18	рядом с	1	14
19	с точки	3	13
20	в пределах	3	13
21	уже не	4	13
22	как и	2	12
23	достоевского в	1	12
24	не может	7	12
25	о себе	2	12
26	таким образом	3	12
27	этом смысле	3	10
28	в одном	2	10
29	в то	6	10
30	героя и	5	10
31	только в	5	10
32	в самом	5	10
33	все эти	2	9
34	же время	5	9
35	себе самом	1	9
36	это не	2	9
37	в романе	3	9
38	если бы	3	9
39	с его	6	9
40	но не	11	9
41	отношению к	9	8
42	в своей	5	8
43	по себе	2	8
44	потому что	3	8
45	что в	6	8
46	в том	18	8
47	по отношению	9	8
48	в каждом	1	8
49	авторского слова	1	8
50	что он	3	8
51	в своем	2	8
52	в себе	9	7
53	входит в	4	7
54	прежде всего	4	7
55	так и	11	7
56	вовсе не	2	7
57	не в	7	7
58	с другими	4	7
59	а в	12	7
60	за пределы	2	7
61	а как	1	7
62	мира и	2	7
63	в форме	4	7
64	и на	2	7
65	но в	7	7
66	романе достоевского	1	7
67	и как	3	7
68	том что	8	7
69	одним из	1	6
70	в самой	2	6
71	так же	2	6
72	к нему	3	6
73	как раз	3	6
74	в конце	1	6
75	его в	2	6
76	о мире	1	6
77	этого мира	1	6
78	что она	2	6
79	не могут	1	6
80	в целом	3	6
81	в единстве	1	6
82	в одной	1	6
83	и потому	2	6
84	на мир	1	6
85	могут быть	4	6
86	в мире	21	6
87	все это	2	6
88	как в	2	6
89	сливается с	1	6
90	так как	1	6
91	сознаний в	1	5
92	еще не	3	5
93	с ним	2	5
94	более того	1	5
95	художественного мира	2	5
96	между тем	4	5
97	и о	3	5
98	было бы	1	5
99	это и	1	5
100	в сущности	1	5
101	автора и	3	5
102	той же	1	5
103	с их	2	5
104	мира в	2	5
105	и др	2	5
106	у него	1	5
107	именно в	2	5
108	он не	4	5
109	героя не	1	5
110	и это	2	5
111	перед нами	1	5
112	он и	1	5
113	в литературе	1	4
114	и для	2	4
115	но у	1	4
116	личности в	4	4
117	не было	1	4
118	в произведении	3	4
119	ивана карамазова	1	4
120	даже в	3	4
121	героя о	1	4
122	бы и	1	4
123	тем как	1	4
124	его как	1	4
125	все то	1	4
126	превращается в	2	4
127	что и	2	4
128	они не	1	4
129	как мы	1	4
130	не на	3	4
131	тем что	1	4
132	должно быть	1	4
133	в основе	4	4
134	в этой	2	4
135	героя в	1	4
136	в результате	1	4
137	их в	3	4
138	идет о	1	4
139	точек зрения	1	3
140	приводит к	5	3
141	и здесь	1	3
142	но с	1	3
143	бы в	1	3
144	во времени	4	3
145	мире в	1	3
146	внешнего мира	3	3
147	отличается от	2	3
148	о своем	1	3
149	на котором	1	3
150	художественного творчества	4	3
151	от автора	1	3
152	не знает	3	3
153	только то	1	3
154	не дает	1	3
155	в художественном	4	3
156	в другой	1	3
157	в их	5	3
158	отношении к	2	3
159	автора как	2	3
160	ее как	1	3
161	оно не	1	3
162	и внутренне	1	3
163	художественном мире	1	3
164	например в	3	3
165	отношения к	2	3
166	в себя	2	3
167	но как	2	3
168	не во	1	3
169	и слово	1	3
170	на почве	3	3
171	нового времени	2	3
172	не входит	2	3
173	ни в	5	3
174	в пространстве	2	3
175	лишь на	1	3
176	тому как	1	3
177	в них	2	3
178	другой стороны	5	3
179	в мир	1	3
180	тому что	2	3
181	как к	2	3
182	автора в	1	3
183	в произведениях	1	3
184	далеко не	2	3
185	в своих	1	3
186	я не	2	3
187	с другой	7	3
188	порядка в	4	3
189	подобно тому	1	3
190	за ним	1	3
191	никогда не	2	3
192	была бы	3	3
193	и одновременно	5	3
194	и пр	1	3
195	как будто	1	3
196	все что	1	3
197	одна из	2	3
198	героев и	1	3
199	сказать что	4	3
200	типа и	1	3
201	в которой	2	2
202	не позволяет	1	2
203	жизни а	1	2
204	не способна	1	2
205	входят в	1	2
206	чтобы в	1	2
207	но он	3	2
208	в противоположность	3	2
209	не есть	1	2
210	бы то	1	2
211	героя как	1	2
212	при этом	13	2
213	для себя	2	2
214	ни были	1	2
215	ивана ильича	1	2
216	и ее	3	2
217	связи с	1	2
218	и со	1	2
219	имеет значение	1	2
220	себя самого	1	2
221	друг другу	1	2
222	в жизни	2	2
223	ту сторону	1	2
224	в структуре	3	2
225	наконец в	1	2
226	лишь один	1	2
227	в условиях	1	2
228	лишь одним	1	2
229	к другому	1	2
230	так что	1	2
231	также является	1	2
232	на его	1	2
233	вследствие этого	1	2
234	и несет	1	2
235	тем или	1	2
236	между ними	4	2
237	одно из	2	2
238	или даже	3	2
239	самом произведении	1	2
240	и души	1	2
241	или же	1	2
242	здесь мы	1	2
243	с этой	1	2
244	отношение к	5	2
245	самим собою	2	2
246	напротив мы	1	2
247	он ни	1	2
248	для понимания	2	2
249	в той	3	2
250	не об	1	2
251	дело здесь	1	2
252	и даже	1	2
253	человека но	1	2
254	из которых	1	2
255	с героем	1	2
256	произведения в	1	2
257	и сам	1	2
258	жизни не	1	2
259	мы видим	1	2
260	поэтому не	1	2
261	в художественной	2	2
262	кругозор героя	1	2
263	зрения и	1	2
264	что из	1	2
265	на языке	2	2
266	из тех	2	2
267	тот же	1	2
268	то ни	1	2
269	ведь это	1	2
270	жизни и	1	2
271	в отношении	3	2
272	европейского романа	1	2
273	и от	1	2
274	и что	3	2
275	один из	2	2
276	в истории	1	2
277	же и	1	2
278	в контексте	3	2
279	для автора	2	2
280	художественный образ	1	2
281	замысла и	1	2
282	слово в	1	2
283	к более	2	2
284	или к	1	2
285	они ни	1	2
286	является не	1	2
287	в котором	1	2
288	ни было	1	2
289	они могут	1	2
290	по преимуществу	2	2
291	из его	1	2
292	во всей	3	2
293	могли бы	1	2
294	по ту	1	2
295	совпадает с	2	2
296	тоже не	1	2
297	себя и	2	2
298	из своего	1	2
299	чем является	1	2
300	те же	1	2
301	по своим	1	2
302	ни был	2	2
303	себе еще	1	2
304	и к	3	2
305	для других	1	2
306	однако в	4	2
307	с которой	1	2
308	же в	1	2
309	и есть	1	2
310	что может	2	2
311	именно потому	1	2
312	с собою	1	2
313	всей его	2	2
314	в данном	4	2
315	автора не	1	1
316	что каждый	2	1
317	вступают в	1	1
318	условии что	1	1
319	в искусстве	7	1
320	и совершенно	1	1
321	как совокупность	1	1
322	также может	1	1
323	полной мере	1	1
324	из этих	3	1
325	лишает их	1	1
326	между людьми	1	1
327	образом и	2	1
328	или иных	2	1
329	единства в	1	1
330	достоевского оно	1	1
331	личность как	1	1
332	места в	1	1
333	руках и	1	1
334	перед тем	1	1
335	одно и	3	1
336	становится сама	1	1
337	тогда как	13	1
338	художественных произведений	1	1
339	от всех	1	1
340	в одно	2	1
341	событий в	1	1
342	материала в	2	1
343	с нею	1	1
344	можно сказать	5	1
345	место в	4	1
346	исходит из	1	1
347	именно к	1	1
348	не друг	1	1
349	на их	1	1
350	в качестве	24	1
351	что они	1	1
352	их взаимная	1	1
353	достигается не	1	1
354	у каждого	1	1
355	не будет	2	1
356	не была	1	1
357	случае не	2	1
358	нет в	1	1
359	к жизненному	1	1
360	в бытии	1	1
361	может служить	2	1
362	и внутреннюю	1	1
363	здесь не	2	1
364	рядом в	1	1
365	некоторого единого	1	1
366	основой художественного	1	1
367	крайней мере	1	1
368	завершенность и	1	1
369	во внешних	1	1
370	не путем	1	1
371	но чтобы	2	1
372	здесь как	1	1
373	глубже чем	1	1
374	художественного восприятия	4	1
375	своей значимости	1	1
376	искусства и	1	1
377	речь о	1	1
378	зависит от	1	1
379	героев или	1	1
380	и многих	1	1
381	или точнее	1	1
382	ведет к	1	1
383	на ее	1	1
384	а именно	2	1
385	ничто не	1	1
386	мире на	1	1
387	и больше	2	1
388	значение для	1	1
389	не совпадает	1	1
390	жизни является	1	1
391	герой из	1	1
392	с самим	2	1
393	позиции и	1	1
394	строго говоря	1	1
395	особенности в	1	1
396	настоящее время	1	1
397	что это	1	1
398	при всей	1	1
399	в какой	2	1
400	художественном произведении	1	1
401	его можно	1	1
402	которого он	1	1
403	одновременно он	1	1
404	художественной формы	1	1
405	мира где	1	1
406	можно лишь	1	1
407	вступает в	1	1
408	к которому	4	1
409	различных художественных	1	1
410	личности и	3	1
411	нами не	1	1
412	тех кто	1	1
413	роман и	2	1
414	и другие	2	1
415	здесь остается	1	1
416	новой художественной	1	1
417	или напротив	1	1
418	не могли	1	1
419	другом но	1	1
420	или иная	1	1
421	завершающая его	1	1
422	того чтобы	2	1
423	под определенным	1	1
424	при условии	2	1
425	как впрочем	1	1
426	в случае	1	1
427	во всех	3	1
428	а только	4	1
429	а на	5	1
430	первой части	2	1
431	о чем-то	1	1
432	бы ни	1	1
433	нему как	1	1
434	того или	3	1
435	видения мира	1	1
436	жизнь в	1	1
437	речи как	1	1
438	для героя	1	1
439	от внешней	1	1
440	то в	2	1
441	в аспекте	2	1
442	слова не	1	1
443	в нашем	2	1
444	бытия и	1	1
445	или иным	3	1
446	если не	1	1
447	авторский кругозор	1	1
