N	3gram	Voloshinov_1	Poddanst
1	в то же	1	7
2	то же время	1	7
3	в том что	2	4
4	с точки зрения	5	3
5	с одной стороны	2	3
6	в значительной мере	1	2
7	том что в	1	1
8	что в этом	1	1
9	во всей полноте	1	1
10	чуть ли не	1	1
11	гоголь и достоевский	1	1
12	более или менее	1	1
13	в выборе и	1	1
14	есть прежде всего	3	1
15	и не может	1	1
16	же время в	1	1
17	можно говорить о	1	1
18	в отличие от	1	1
19	не было бы	1	1
20	в собственном смысле	1	1
21	тех пор пока	3	1
22	так же как	1	1
23	если бы мы	1	1
24	мы все же	1	1
25	мы не сумеем	1	1
26	с другой стороны	2	1
27	не может быть	4	1
28	до тех пор	4	1
29	в борьбе с	1	1
30	само по себе	1	1
31	та или иная	1	1
32	но в то	1	1
33	для того чтобы	1	1
