N	3gram	Vygotskiy__3	Literetu
1	в этом отношении	3	5
2	в отличие от	6	5
3	по отношению к	2	4
4	в данном случае	1	4
5	с одной стороны	5	4
6	о том что	3	4
7	в том что	17	4
8	в том числе	1	3
9	с точки зрения	1	3
10	не может быть	2	3
11	и другого в	1	2
12	состоит в том	3	2
13	подобно тому как	1	2
14	какого бы то	1	2
15	то же самое	1	2
16	бы то ни	1	2
17	из того что	1	2
18	том числе и	1	2
19	в том чтобы	1	2
20	не только в	1	2
21	то ни было	1	2
22	так или иначе	1	2
23	с другой стороны	3	2
24	и вместе с	2	2
25	и в самом	1	2
26	той или иной	2	2
27	на то что	3	2
28	в другом месте	1	1
29	что иное как	1	1
30	того же самого	1	1
31	что принято называть	1	1
32	о том как	1	1
33	друг от друга	1	1
34	только в том	2	1
35	хотя бы и	1	1
36	вместе с тем	10	1
37	со всеми другими	1	1
38	то что в	2	1
39	по аналогии с	1	1
40	несмотря на его	1	1
41	во всей ее	1	1
42	могли бы быть	1	1
43	и то что	2	1
44	ту или иную	1	1
45	в значительной степени	1	1
46	которые могли бы	1	1
47	в самом начале	1	1
48	не что иное	1	1
49	в связи с	5	1
50	не тем что	2	1
51	по своей сущности	1	1
52	для того чтобы	7	1
53	и в том	1	1
54	том что поскольку	1	1
55	между тем как	1	1
56	этой точки зрения	2	1
57	более или менее	1	1
58	и т.д но	1	1
59	всей ее полноте	1	1
60	в свою очередь	2	1
61	и у нас	1	1
62	ничего общего с	1	1
63	начало и конец	1	1
64	так чтобы он	1	1
65	до какой степени	3	1
66	с этой точки	2	1
67	при этом с	1	1
68	к тому что	1	1
69	сама по себе	1	1
70	тем не менее	5	1
71	что он в	1	1
