N	2gram	Losev_Vlad_3	ViktorSh
1	в книге	2	3
2	конце концов	5	2
3	в том	18	2
4	и в	40	2
5	в конце	12	2
6	том что	18	2
7	дело в	5	1
8	только в	13	1
9	и не	25	1
10	в другом	2	1
11	то же	4	1
12	и сводится	1	1
13	и заключается	1	1
14	слово по	1	1
15	ясно что	1	1
16	сказать чтобы	1	1
17	так как	7	1
18	а только	7	1
19	то чего	1	1
20	и его	10	1
21	в которых	1	1
22	к этому	2	1
23	так в	1	1
24	да и	6	1
25	для них	1	1
26	к чему	1	1
27	в этом	16	1
28	стоит на	2	1
29	что слово	1	1
30	все дело	1	1
31	сводится к	3	1
32	том же	1	1
33	в их	2	1
34	именно в	3	1
35	связанным с	1	1
36	ни к	2	1
37	стоило бы	1	1
38	заключается что	1	1
39	и только	3	1
40	и то	9	1
41	в частности	1	1
42	по поводу	1	1
43	потому что	11	1
44	в теории	2	1
45	далеко не	3	1
46	хотя бы	6	1
47	в самом	4	1
48	не стоило	1	1
49	все то	3	1
50	не будем	1	1
51	от других	1	1
52	по существу	4	1
53	вещь и	3	1
54	даже не	3	1
55	все это	1	1
56	гораздо более	1	1
57	без учета	1	1
58	но это	6	1
59	их как	1	1
60	одно и	2	1
61	и самым	1	1
62	же с	7	1
63	самом деле	1	1
64	не хотел	1	1
65	по своим	1	1
66	я не	3	1
