N	3gram	Voloshinov_1	Dialekti
1	с точки зрения	2	9
2	в том что	4	9
3	по крайней мере	1	7
4	ровно ничего не	1	6
5	не может быть	7	6
6	то же время	1	6
7	в то же	1	6
8	сама по себе	1	5
9	в этом смысле	1	4
10	подобно тому как	1	4
11	того что именно	1	3
12	и в этом	1	3
13	равно как и	1	2
14	сам по себе	1	2
15	ни в коем	1	2
16	в коем случае	1	2
17	ничего общего с	1	2
18	но в то	1	2
19	этой точки зрения	3	2
20	то что мы	1	2
21	в свою очередь	1	2
22	и в частности	1	2
23	тем не менее	3	2
24	за его пределы	1	2
25	жизни и уже	1	1
26	но прежде всего	1	1
27	в виду и	1	1
28	даже тогда когда	1	1
29	оно по природе	1	1
30	в чем не	1	1
31	о том кто	1	1
32	должна быть обязательно	1	1
33	мы имеем дело	1	1
34	дело в том	4	1
35	и ее истории	1	1
36	же как и	1	1
37	самом же деле	1	1
38	может быть только	1	1
39	бьют мимо цели	1	1
40	имеет в виду	3	1
41	в лучшем случае	1	1
42	в зависимости от	2	1
43	в ней как	2	1
44	и та же	1	1
45	можно сказать что	5	1
46	на самом же	1	1
47	но для этого	1	1
48	то что я	1	1
49	совершенно ясно что	1	1
50	отношение как и	1	1
51	уже не есть	1	1
52	в основе своей	1	1
53	и не в	3	1
54	в жизни и	2	1
55	можно найти в	1	1
56	не есть только	1	1
57	не нужно думать	1	1
58	нужно думать что	1	1
59	в данном случае	2	1
60	не только его	1	1
61	это не так	2	1
62	в нашем случае	1	1
63	уже не может	1	1
64	как одно из	1	1
65	и на этом	1	1
66	таким образом только	1	1
67	по себе не	1	1
68	но тем не	2	1
69	во всех языках	1	1
70	одна и та	1	1
71	о том что	1	1
72	мы можем сказать	2	1
73	ней как в	1	1
74	и не может	3	1
75	точки зрения уже	1	1
76	и прежде всего	1	1
77	того кто является	1	1
78	но все же	1	1
79	включает в себя	1	1
80	ни в чем	1	1
81	с другой стороны	2	1
82	так можно сказать	1	1
83	этом смысле она	1	1
84	это как бы	3	1
85	допустим что мы	1	1
86	в каком отношении	2	1
87	тех или иных	1	1
88	в отношении к	2	1
89	но если бы	1	1
90	он еще не	1	1
