N	2gram	Ircho_Kome_1	KulturaY
1	и т	9	54
2	т п	5	41
3	т е	13	32
4	и в	22	23
5	точки зрения	4	23
6	в том	11	22
7	не только	10	17
8	в этом	3	16
9	было бы	2	16
10	может быть	9	14
11	в области	2	14
12	в самом	2	13
13	что в	6	13
14	не менее	3	12
15	потому что	5	12
16	для того	1	12
17	вопрос о	3	11
18	том что	12	11
19	того чтобы	1	11
20	можно было	1	11
21	в его	5	11
22	того что	1	11
23	можно говорить	1	10
24	у нас	3	10
25	и не	8	10
26	еще не	2	9
27	таким образом	8	9
28	тем не	2	9
29	хотя бы	1	9
30	так как	4	9
31	прежде всего	5	9
32	т д	4	8
33	зависимости от	1	8
34	до сих	2	8
35	сих пор	2	8
36	между прочим	2	8
37	как на	1	8
38	как это	3	7
39	в зависимости	1	7
40	того как	3	7
41	те же	1	7
42	и что	1	7
43	с другой	5	7
44	в данном	1	7
45	слова и	1	7
46	сказать что	1	7
47	то же	6	6
48	говорить о	1	6
49	в общем	1	6
50	в силу	2	6
51	только в	3	6
52	так и	5	6
53	при этом	5	6
54	и тем	2	6
55	с тем	1	6
56	в их	4	6
57	ничего не	3	6
58	не может	2	6
59	могут быть	3	6
60	по себе	1	6
61	о том	8	6
62	после того	3	6
63	что и	4	6
64	тот же	3	6
65	что он	6	6
66	для этого	2	6
67	также и	1	5
68	как мы	4	5
69	в чем	3	5
70	уже выше	1	5
71	в рамках	2	5
72	независимо от	2	5
73	все же	3	5
74	хотя и	3	5
75	из этих	1	5
76	как бы	1	5
77	что она	1	5
78	как и	9	5
79	не в	6	5
80	вовсе не	2	5
81	от того	1	5
82	не могут	1	5
83	тем что	4	5
84	далеко не	1	5
85	на которых	1	5
86	что же	1	5
87	но это	2	5
88	а в	6	5
89	совершенно не	1	5
90	того же	2	4
91	тех же	2	4
92	в сущности	2	4
93	столь же	2	4
94	как в	5	4
95	в своем	1	4
96	целый ряд	1	4
97	в целом	3	4
98	ясно что	4	4
99	этого слова	1	4
100	которые в	1	4
101	тому что	1	4
102	как раз	3	4
103	и о	3	4
104	данном случае	1	4
105	а также	4	4
106	между тем	5	4
107	тех пор	1	4
108	один из	5	4
109	с одной	3	4
110	не случайно	1	4
111	одной стороны	3	4
112	в той	1	4
113	то что	2	4
114	в таком	1	4
115	речь идет	3	3
116	на самом	1	3
117	то в	1	3
118	той же	1	3
119	мы не	3	3
120	сам по	1	3
121	в ней	1	3
122	но не	2	3
123	по отношению	3	3
124	очевидно что	1	3
125	отношение к	3	3
126	отнюдь не	1	3
127	что именно	1	3
128	и к	1	3
129	что это	1	3
130	бы не	1	3
131	тому же	6	3
132	он не	3	3
133	в первую	2	3
134	и вот	4	3
135	и с	3	3
136	зрения на	1	3
137	с этой	1	3
138	мы видели	2	3
139	не так	1	3
140	но если	1	3
