N	3gram	Losev_Vlad_2	Morfolog
1	и т д	1	47
2	в этом случае	1	9
3	в связи с	8	8
4	не может быть	1	8
5	наряду с этим	1	5
6	связи с этим	1	5
7	с точки зрения	3	4
8	а также и	1	4
9	мы увидим ниже	1	4
10	в тех же	1	4
11	тем не менее	6	4
12	далеко не все	1	3
13	но все же	1	3
14	оно может быть	1	2
15	более или менее	3	2
16	в настоящее время	2	2
17	в собственном смысле	1	2
18	точно так же	3	2
19	может быть и	1	2
20	то время как	1	2
21	собственном смысле слова	1	2
22	к чему не	1	2
23	в то время	6	2
24	ни к чему	1	2
25	для того чтобы	1	2
26	в том что	9	2
27	но кроме того	1	1
28	можно себе представить	1	1
29	хотя и не	2	1
30	то ни стало	1	1
31	здесь перед нами	1	1
32	между прочим и	2	1
33	но то что	1	1
34	и по существу	1	1
35	это нисколько не	2	1
36	том что он	2	1
37	самого начала в	1	1
38	что иное как	1	1
39	что же касается	5	1
40	во что бы	1	1
41	до сих пор	1	1
42	сих пор не	1	1
43	бы то ни	1	1
44	но это не	1	1
45	можно было бы	2	1
46	не то что	2	1
47	можно сказать о	1	1
48	в данном случае	2	1
49	что бы то	1	1
50	на этот вопрос	1	1
51	в первый раз	1	1
52	а в с	1	1
53	с этим в	1	1
54	то что он	3	1
55	во всяком случае	6	1
56	так же и	1	1
57	из них не	1	1
58	ни в каких	2	1
59	но это нисколько	1	1
60	что несмотря на	1	1
61	большей частью в	1	1
62	то же время	3	1
63	о том что	3	1
64	мы прежде всего	1	1
65	на обратном пути	2	1
66	с самого начала	1	1
67	это значит что	1	1
68	то же с	1	1
69	он не может	1	1
70	можно сказать что	1	1
71	на то что	2	1
72	в то же	3	1
73	может быть названа	1	1
74	не что иное	1	1
75	здесь как и	1	1
