N	3gram	Propp_Isto_5	DiskursI
1	в том что	2	13
2	по отношению к	2	9
3	с одной стороны	7	9
4	о том что	4	5
5	в отличие от	1	4
6	то же время	1	4
7	не в том	1	3
8	не может быть	3	3
9	в свою очередь	1	3
10	с другой стороны	8	3
11	в то же	1	3
12	по себе не	1	2
13	а не в	1	2
14	подобно тому как	1	2
15	в том числе	1	2
16	в соответствии с	1	2
17	одной стороны и	1	2
18	и не только	1	2
19	том числе и	1	2
20	в античной греции	1	2
21	в данном случае	2	2
22	в том чтобы	2	2
23	не только в	2	2
24	состоит в том	1	2
25	между мифом и	1	2
26	можно сказать что	1	2
27	только в том	1	2
28	здесь как и	1	1
29	как таковой в	1	1
30	в этом случае	7	1
31	на том что	2	1
32	в целом его	1	1
33	может быть названа	1	1
34	в современном его	1	1
35	на самом деле	1	1
36	свидетельствует о том	1	1
37	приходит на смену	1	1
38	о том как	2	1
39	он не может	2	1
40	с точки зрения	1	1
41	до сих пор	2	1
42	сам по себе	1	1
43	что он не	1	1
44	имеет отношение к	1	1
45	из того что	1	1
46	целое в свою	1	1
47	а иногда и	1	1
48	вместе с тем	6	1
49	в истории этого	2	1
50	как мы видели	1	1
51	тем что он	2	1
52	и потому что	1	1
53	во всех этих	1	1
54	потому что в	1	1
55	как и вообще	1	1
56	как в сказке	1	1
57	в связи с	4	1
58	и не могло	1	1
59	за тридевять земель	3	1
60	во всяком случае	1	1
61	все того же	1	1
62	они и не	1	1
63	не связано с	1	1
64	с самого начала	1	1
65	на то что	2	1
66	быть отнесены к	1	1
67	тем не менее	4	1
68	но все же	4	1
69	дело не в	1	1
70	может быть в	1	1
71	как и в	2	1
72	что не только	1	1
