N	3gram	Medvedev_F_3	Tvorches
1	в то же	7	13
2	то же время	7	12
3	в том что	3	6
4	о том что	1	5
5	с самого начала	1	3
6	и все же	1	3
7	дело в том	2	3
8	на самом деле	12	2
9	в одной из	1	2
10	место в творчестве	1	2
11	и в то	2	2
12	можно сказать что	1	2
13	в этом романе	3	2
14	не только в	1	2
15	в данном случае	4	2
16	и т п	5	2
17	тем не менее	2	2
18	только то что	2	1
19	с одной стороны	1	1
20	форму и содержание	1	1
21	не может и	1	1
22	бы то ни	4	1
23	может быть понята	1	1
24	объясняется тем что	1	1
25	в связи с	4	1
26	как и в	1	1
27	он говорит о	1	1
28	имеем в виду	1	1
29	в том же	1	1
30	так как и	1	1
31	в конце концов	2	1
32	равно как и	2	1
33	с другой стороны	5	1
34	в процессе художественного	1	1
35	друг на друга	1	1
36	до сих пор	1	1
37	то ни было	4	1
38	в отличие от	2	1
39	можно только в	2	1
40	быть понята как	1	1
41	мы все время	1	1
42	дело не в	2	1
43	к тому что	2	1
44	и того же	1	1
45	то же самое	3	1
46	и в других	1	1
47	каких бы то	1	1
48	и т д	6	1
49	по отношению к	3	1
50	хотя бы и	1	1
51	в настоящее время	1	1
52	внешнего и внутреннего	2	1
53	и тем не	1	1
54	мы имеем в	1	1
55	же именно в	1	1
56	и в романе	1	1
57	на самом же	2	1
58	события но и	1	1
59	самом же деле	2	1
60	одного и того	1	1
61	так и от	2	1
62	это объясняется тем	1	1
63	вместе с тем	3	1
64	нам кажется что	2	1
65	но при этом	1	1
66	в основе всех	1	1
67	в своем творчестве	1	1
68	сами по себе	2	1
69	с установкой на	2	1
70	и в самом	1	1
71	а вместе с	1	1
72	ту или иную	1	1
73	все более и	1	1
74	это не значит	1	1
75	в отношении к	1	1
76	я и не	1	1
77	может быть определен	1	1
78	что же касается	1	1
79	и что в	1	1
80	хотя и не	1	1
81	более и более	1	1
