N	3gram	Vygotskiy__3	NovoeSre
1	в высшей степени	6	6
2	не может быть	2	4
3	подобно тому как	1	3
4	в этом смысле	2	2
5	вместе с тем	10	2
6	так же как	6	2
7	с одной стороны	5	2
8	с другой стороны	3	2
9	значит что в	1	2
10	ни одна из	1	2
11	по своему строению	2	1
12	по своей природе	1	1
13	и того же	4	1
14	в своем развитии	1	1
15	только потому что	2	1
16	и в высшей	1	1
17	то время как	4	1
18	одного и того	4	1
19	в том числе	1	1
20	же как и	4	1
21	до сих пор	1	1
22	в зависимости от	5	1
23	сами по себе	3	1
24	в человеческом обществе	1	1
25	в отличие от	6	1
26	том числе и	1	1
27	от того чтобы	1	1
28	протекает и развивается	1	1
29	заключает в себе	2	1
30	можно было бы	5	1
31	бы сказать что	3	1
32	в том чтобы	1	1
33	не только в	1	1
34	к вопросу о	1	1
35	и не могут	1	1
36	в известном смысле	2	1
37	не могут быть	1	1
38	по своему типу	1	1
39	во всяком случае	4	1
40	о том что	3	1
41	в то время	4	1
42	то что в	2	1
43	в значительной степени	1	1
44	в переходе от	1	1
45	и вместе с	2	1
46	та или иная	3	1
47	не только потому	1	1
48	это значит что	4	1
49	выходит за пределы	1	1
50	совершенно так же	2	1
51	в том что	17	1
52	как и в	2	1
