N	3gram	Losev_Dial_2	Mirosoze
1	не может быть	3	8
2	есть прежде всего	1	5
3	что и в	1	4
4	что иное как	3	3
5	же как и	1	3
6	до сих пор	2	3
7	к тому что	1	3
8	так же как	1	3
9	от того что	2	3
10	и в этом	1	3
11	это и есть	1	3
12	потому что она	5	3
13	есть не что	2	3
14	не что иное	3	3
15	что она не	1	2
16	я никогда не	1	2
17	подобно тому как	1	2
18	есть по преимуществу	1	2
19	потому что он	2	2
20	но это не	2	2
21	в братьях карамазовых	1	2
22	может быть и	3	2
23	т е в	3	2
24	все равно что	1	2
25	в каждом человеке	1	2
26	и та же	4	2
27	одна и та	4	2
28	о том что	4	2
29	в том что	6	2
30	том что в	1	1
31	сомневаться в том	2	1
32	есть та или	2	1
33	том что он	1	1
34	ли сказать что	1	1
35	только тогда когда	4	1
36	в нем и	2	1
37	на мир на	1	1
38	можно ли сказать	1	1
39	никогда не будет	1	1
40	с точки зрения	8	1
41	и во многих	1	1
42	как и все	2	1
43	сам по себе	3	1
44	хотя бы это	3	1
45	то в чем	1	1
46	но и в	1	1
47	на что не	1	1
48	в себе и	1	1
49	в этом отношении	1	1
50	во всех своих	1	1
51	есть и в	1	1
52	со всеми его	1	1
53	и в себе	1	1
54	бы и не	1	1
55	а не только	1	1
56	не потому что	6	1
57	но и это	1	1
58	чтобы не было	2	1
59	образу и подобию	1	1
60	перед лицом вечности	1	1
61	и должно быть	2	1
62	не есть ни	6	1
63	по сравнению с	1	1
64	не могу не	1	1
65	и в этой	1	1
66	и не могу	1	1
67	что это за	2	1
68	ни на что	1	1
69	так как будто	3	1
70	есть не только	1	1
71	я не могу	1	1
72	не есть религия	2	1
73	на природу на	1	1
74	по образу и	1	1
75	таково же и	3	1
76	та или иная	2	1
77	и отличается от	1	1
78	той или иной	1	1
79	никогда не есть	1	1
80	он не знал	1	1
81	сама по себе	7	1
82	на самом деле	1	1
83	и в нем	1	1
84	в конце времен	1	1
85	она не может	1	1
86	в конце концов	1	1
87	том что все	1	1
