N	2gram	Medvedev_V_1	KulturaY
1	и в	2	23
2	в том	2	22
3	в этом	1	16
4	самом деле	1	14
5	в самом	1	13
6	потому что	1	12
7	том что	2	11
8	и не	1	10
9	хотя бы	1	9
10	так как	1	9
11	в их	1	6
12	то же	1	6
13	только в	1	6
14	далеко не	1	5
15	тем более	1	5
16	я не	1	5
17	не будем	1	5
18	но это	1	5
19	ясно что	1	4
20	столь же	1	4
21	и только	1	3
22	в которых	1	3
23	время в	1	3
24	что слово	1	3
25	по поводу	1	3
26	именно в	1	3
27	по существу	1	3
28	как же	1	3
29	главным образом	1	2
30	совершенно ясно	1	2
31	так в	1	2
32	бы уже	1	2
33	более чем	1	2
34	в частности	1	2
35	все это	1	2
36	дело именно	1	1
37	то я	1	1
38	в другом	1	1
39	собственно и	1	1
40	не даром	1	1
41	что имеется	1	1
42	речи и	1	1
43	крайней мере	1	1
44	связаны и	1	1
45	в теории	1	1
46	и составляет	1	1
47	а только	1	1
48	от общего	1	1
49	сводится к	1	1
50	что язык	1	1
51	к созданию	1	1
52	стоит на	1	1
53	все время	1	1
54	и его	1	1
55	говоря о	1	1
56	другое дело	1	1
57	другом месте	1	1
58	не стоило	1	1
59	же с	1	1
60	поэтического творчества	1	1
61	стоило бы	1	1
62	по крайней	1	1
63	же все	1	1
64	а отсюда	1	1
65	без знания	1	1
66	с большой	1	1
67	по своим	1	1
68	хочу сказать	1	1
69	статей в	1	1
70	к этому	1	1
71	и то	1	1
72	имеется в	1	1
73	деле как	1	1
74	впрочем не	1	1
