N	3gram	Losev_Prob_3	EvropaiC
1	в том что	9	16
2	до сих пор	2	12
3	с точки зрения	2	8
4	на самом деле	2	7
5	более или менее	1	7
6	на то что	1	7
7	друг от друга	2	6
8	мы говорили выше	1	6
9	для того чтобы	1	6
10	в самом деле	1	5
11	по сравнению с	2	5
12	то ясно что	1	4
13	в этом случае	5	4
14	может быть и	3	4
15	к тому же	1	4
16	с другой стороны	5	4
17	не может быть	5	4
18	о том что	3	4
19	тот факт что	1	4
20	тем не менее	10	4
21	в конце концов	3	4
22	и того же	1	3
23	в настоящее время	2	3
24	одного и того	1	3
25	отличаются друг от	2	3
26	и то что	7	3
27	так же как	1	3
28	в данном случае	7	3
29	так или иначе	1	3
30	все же не	1	3
31	в связи с	7	3
32	таким образом в	1	3
33	заключается в том	3	3
34	которых идет речь	1	3
35	в том виде	2	2
36	и может быть	1	2
37	в том и	1	2
38	том что он	1	2
39	что же касается	4	2
40	принять во внимание	1	2
41	только то что	2	2
42	бы то ни	4	2
43	то что у	3	2
44	именно потому что	3	2
45	то ни было	3	2
46	с одной стороны	1	2
47	в такой форме	1	2
48	у него с	1	2
49	друг к другу	1	2
50	во всяком случае	6	2
51	во всех этих	1	2
52	нечего и говорить	1	2
53	как и в	1	2
54	ничего общего с	2	2
55	мы все же	1	2
56	в то же	4	2
57	с большим трудом	1	1
58	в чистом виде	2	1
59	хотя и не	2	1
60	том виде как	2	1
61	образом и в	1	1
62	и то же	4	1
63	иметь в виду	1	1
64	дело в том	3	1
65	а не в	1	1
66	то время как	4	1
67	время как другие	1	1
68	это было бы	1	1
69	но при этом	1	1
70	при помощи этой	1	1
71	если мы будем	1	1
72	никак не может	2	1
73	то же самое	7	1
74	только в том	1	1
75	ввиду того что	1	1
76	не отличается от	1	1
77	они вовсе не	1	1
78	настолько сильна что	2	1
79	у а к	1	1
80	также и то	4	1
81	нет ничего общего	1	1
82	а может быть	1	1
83	мы находим в	2	1
84	из того что	1	1
85	одна на другую	1	1
86	о них мы	1	1
87	их таким образом	1	1
88	том или ином	2	1
89	точно так же	3	1
90	очень много и	2	1
91	точки зрения на	1	1
92	широком смысле слова	2	1
93	по крайней мере	5	1
94	одно и то	3	1
95	и состоит из	1	1
96	заметим что при	1	1
97	а все эти	1	1
98	все дело заключается	1	1
99	но все они	1	1
100	тоже представляет собою	1	1
101	то обстоятельство что	1	1
102	в том или	2	1
103	если мы возьмем	2	1
104	может быть не	1	1
105	всех этих областях	1	1
106	таким образом и	1	1
107	тоже будет иметь	1	1
108	на первый взгляд	2	1
109	мы видели выше	1	1
110	до некоторой степени	1	1
111	благодаря тому что	1	1
112	как и вообще	1	1
113	что они не	1	1
114	в нем не	1	1
115	быть и не	1	1
116	но и с	1	1
117	более близкий к	1	1
118	дело заключается в	1	1
119	и не очень	1	1
120	сливаются в одно	1	1
121	однако это не	1	1
122	стало возможным только	1	1
123	в тех случаях	1	1
124	и все же	1	1
125	и при таком	1	1
126	но с другой	2	1
127	что и сам	2	1
128	в то время	4	1
129	видели выше есть	1	1
130	та или иная	3	1
131	но в этой	1	1
132	как бы ни	1	1
133	смысле этого слова	1	1
134	то есть в	3	1
135	начала или конца	1	1
136	не только не	1	1
137	может показаться что	1	1
138	и все они	1	1
139	не менее в	1	1
140	даже и при	1	1
141	лежит представление о	1	1
142	которые могут быть	1	1
143	тех случаях когда	1	1
144	к тому что	1	1
145	как мы видели	2	1
146	художественное произведение и	1	1
147	что мы можем	2	1
148	как и та	1	1
149	и это не	1	1
150	только тогда когда	1	1
151	одна от другой	2	1
152	для этого необходимо	1	1
153	мы только что	1	1
