N	2gram	Bakhtin_Fr_6	VelikijI
1	и не	3	20
2	и в	41	16
3	так как	10	9
4	то что	10	9
5	еще не	1	8
6	в истории	2	8
7	что они	2	7
8	на земле	1	7
9	а не	2	7
10	и потому	2	7
11	к людям	1	6
12	человека и	2	6
13	но и	13	5
14	того что	3	5
15	хотя и	2	5
16	все это	11	5
17	как бы	7	5
18	в образе	6	4
19	говорить о	2	4
20	в его	7	4
21	нет у	1	4
22	и я	1	4
23	в этом	12	4
24	что он	6	4
25	потому что	3	4
26	в нем	16	4
27	так и	5	4
28	что все	2	4
29	что не	3	4
30	как и	7	4
31	что мы	2	4
32	в котором	4	4
33	в ней	4	4
34	мира от	1	4
35	и все	9	4
36	они будут	1	4
37	все что	4	4
38	и что	5	3
39	должна быть	2	3
40	за то	1	3
41	нас и	1	3
42	то это	1	3
43	лишь в	2	3
44	в чем	3	3
45	с его	5	3
46	во всех	17	3
47	что и	1	3
48	в том	2	3
49	тот же	4	3
50	но в	8	3
51	по этому	1	3
52	все эти	11	3
53	и они	1	3
54	они в	1	3
55	в конце	2	3
56	их в	2	3
57	в своей	2	3
58	в жизни	1	3
59	ни в	1	3
60	в них	7	3
61	не было	1	3
62	отвращение к	1	3
63	в этих	2	3
64	всех людей	1	3
65	и против	1	3
66	не в	4	3
67	этих трех	1	3
68	но это	3	3
69	не имеет	1	3
70	никогда не	8	3
71	превращается в	2	3
72	и для	3	3
73	жизни и	3	3
74	что в	7	3
75	людей в	3	3
76	и это	1	2
77	того чтобы	4	2
78	башни и	1	2
79	и то	2	2
80	это мы	1	2
81	и сам	3	2
82	можно было	1	2
83	его не	1	2
84	мы не	2	2
85	что от	1	2
86	с ним	4	2
87	и над	1	2
88	вместо того	3	2
89	и во	2	2
90	между тем	2	2
91	нет и	1	2
92	вслед за	1	2
93	материалом для	1	2
94	только в	3	2
95	в земной	2	2
96	в себя	1	2
97	конечно не	3	2
98	уже не	1	2
99	не только	10	2
100	превращаются в	1	2
101	для него	1	2
102	земли и	4	2
103	не могли	1	2
104	и вечно	2	2
105	тем что	5	2
106	в число	1	2
107	это не	1	2
108	а с	1	2
109	прежде всего	10	2
110	с тем	1	2
111	один из	6	2
112	и тогда	1	2
113	мира в	2	2
114	не могут	2	2
115	ли ты	1	2
116	мир и	1	2
117	да и	1	2
118	одна из	1	2
119	что их	2	2
120	здание человеческого	1	2
121	так много	1	2
122	том что	7	2
123	тот кто	1	2
124	а к	1	2
125	для нас	2	2
126	от него	2	2
127	в форме	2	2
128	они и	3	2
129	до того	3	2
130	людей и	3	2
131	что теперь	1	2
132	это все	2	2
133	а в	4	2
134	но не	2	2
135	легенда о	1	2
136	в духе	3	2
137	могут быть	1	2
138	от этой	1	1
139	если б	2	1
140	как мы	12	1
141	в ее	5	1
142	отнять у	1	1
143	небом и	1	1
144	и до	7	1
145	роль в	4	1
146	значение в	2	1
147	мы будем	3	1
148	если они	1	1
149	то же	5	1
150	их и	1	1
151	ней мы	1	1
152	в результате	4	1
153	сливаться с	1	1
154	что уже	1	1
155	основана на	1	1
156	избавился от	1	1
157	и вообще	4	1
158	веке в	1	1
159	не был	2	1
160	зависимости от	1	1
161	ты можешь	1	1
162	в их	1	1
163	и на	9	1
164	он был	4	1
165	не помогают	1	1
166	после того	1	1
167	и хлеб	1	1
168	оно ни	1	1
169	природы и	2	1
170	к нему	3	1
171	на составные	1	1
172	от них	1	1
173	и насыщает	1	1
174	менее всего	1	1
175	в новом	2	1
176	а потому	1	1
177	что человек	2	1
178	себе и	1	1
179	бы в	2	1
180	не просто	1	1
181	нам право	1	1
182	земли с	1	1
183	о необычайном	1	1
184	мы дадим	1	1
185	как в	4	1
186	в своем	5	1
187	с именем	1	1
188	что нет	1	1
189	все же	4	1
190	но с	2	1
191	и чудесами	1	1
192	мы видим	6	1
193	с ними	1	1
194	мы увидим	3	1
195	и хотя	1	1
196	и так	1	1
197	это очень	1	1
198	люди эти	1	1
199	на вечность	1	1
200	духа в	2	1
201	со своей	1	1
202	в самом	10	1
203	знаешь ли	1	1
204	у них	1	1
205	в которой	1	1
206	что это	5	1
207	на людей	1	1
208	в целом	1	1
209	их не	1	1
210	одном образе	2	1
211	в этой	8	1
212	нам лучше	1	1
213	им в	1	1
214	он делает	1	1
215	и жажды	1	1
216	уже в	4	1
217	не мистический	1	1
218	в которую	1	1
219	всего один	1	1
220	и если	1	1
221	и стало	1	1
222	или даже	1	1
223	перестает быть	1	1
224	же они	1	1
225	папы и	1	1
226	и вот	1	1
227	и должна	1	1
228	вовсе не	7	1
229	отношение к	1	1
230	у него	7	1
231	и по	1	1
232	на этом	2	1
233	он так	1	1
234	ее на	1	1
235	человека в	1	1
236	на нее	1	1
237	для того	1	1
