N	2gram	Bakhtin_Fr_6	Mirosoze
1	и в	41	46
2	в нем	16	22
3	у него	7	22
4	может быть	2	21
5	в этом	12	20
6	не только	10	18
7	и не	3	18
8	никогда не	8	18
9	для него	1	18
10	но и	13	15
11	не может	4	15
12	человека в	1	14
13	как и	7	13
14	а не	2	13
15	прежде всего	10	12
16	потому что	3	12
17	и он	5	11
18	не было	1	11
19	но он	5	11
20	в ней	4	11
21	у нас	4	11
22	но в	8	10
23	та же	4	10
24	в себе	5	10
25	он не	2	10
26	он был	4	9
27	не в	4	9
28	не знает	1	9
29	отношение к	1	8
30	в своем	5	8
31	на земле	1	8
32	так как	10	8
33	переходит в	2	8
34	как бы	7	8
35	но это	3	8
36	человека и	2	7
37	связана с	2	7
38	как в	4	7
39	и к	1	7
40	в нашем	1	7
41	в этой	8	7
42	и потому	2	7
43	и для	3	7
44	что он	6	7
45	там и	2	6
46	что это	5	6
47	нем есть	1	6
48	он сам	3	6
49	и здесь	1	6
50	доходит до	2	6
51	в народе	2	6
52	так же	5	6
53	того что	3	6
54	и там	1	6
55	жизни и	3	6
56	то же	5	5
57	друг к	1	5
58	в самом	10	5
59	и вот	1	5
60	что все	2	5
61	к другу	1	5
62	в своей	2	5
63	в отношении	1	5
64	в конце	2	5
65	во всем	5	5
66	и его	13	5
67	и это	1	5
68	те же	3	5
69	это не	1	5
70	один из	6	5
71	в его	7	5
72	для того	1	5
73	то что	10	5
74	образ и	1	5
75	тот кто	1	5
76	и все	9	5
77	в духе	3	5
78	также и	6	4
79	с его	5	4
80	у них	1	4
81	думать что	1	4
82	в жизни	1	4
83	народа и	3	4
84	том что	7	4
85	жизнь и	1	4
86	не имеет	1	4
87	того чтобы	4	4
88	они и	3	4
89	должен быть	2	4
90	так и	5	4
91	для этого	2	4
92	себя в	2	4
93	уже не	1	4
94	что и	1	4
95	к гибели	1	4
96	они не	3	4
97	до конца	2	4
98	что в	7	4
99	все что	4	4
100	чтобы не	1	3
101	это и	2	3
102	той же	5	3
103	они были	3	3
104	и на	9	3
105	в чем	3	3
106	менее всего	1	3
107	что нет	1	3
108	он в	2	3
109	как он	2	3
110	в каждом	1	3
111	и с	16	3
112	на все	3	3
113	его в	1	3
114	с самим	1	3
115	ни в	1	3
116	в них	7	3
117	и тогда	1	3
118	не мог	3	3
119	и против	1	3
120	того как	1	3
121	она никогда	1	3
122	людей и	3	3
123	только с	3	3
124	себя и	1	3
125	момент в	1	3
126	не существует	1	3
127	в образе	6	3
128	ничего подобного	1	3
129	с ним	4	3
130	и перед	1	3
131	о том	9	3
132	и во	2	3
133	нет у	1	3
134	что они	2	3
135	в том	2	3
136	только в	3	3
137	есть в	3	3
138	тем что	5	3
139	до сих	3	3
140	к которому	1	3
141	связано с	3	3
142	в строении	1	3
143	и нет	1	3
144	связано со	1	3
145	сих пор	3	3
146	и от	4	3
147	сказать что	6	3
148	есть и	2	3
149	сам по	1	2
150	от этой	1	2
151	с таким	1	2
152	его не	1	2
153	в сфере	1	2
154	человека которая	1	2
155	принадлежит к	1	2
156	а для	2	2
157	не был	2	2
158	во всех	17	2
159	землю и	2	2
160	то он	2	2
161	по отношению	1	2
162	себе и	1	2
163	в центре	2	2
164	хотя и	2	2
165	в действительности	1	2
166	есть ли	1	2
167	то в	1	2
