N	4gram	Vinokur_Vv_1	Marksizm
1	в то же время	5	8
2	но в то же	3	5
3	бы то ни было	1	4
4	одного и того же	2	4
5	одно и то же	1	3
6	с одной стороны и	3	2
7	так как если бы	1	2
8	в собственном смысле слова	1	2
9	как мы уже знаем	1	2
10	какой бы то ни	1	2
11	именно для того чтобы	1	2
12	не может быть и	1	2
13	для того чтобы понять	2	2
14	может быть и речи	1	2
15	уже о том что	1	1
16	в широком смысле слова	4	1
17	на то или иное	1	1
18	только в особых исключительных	1	1
19	так а не иначе	1	1
20	по отношению к нему	1	1
21	в особых исключительных случаях	1	1
22	то же самое что	2	1
23	что и эта черта	1	1
24	но во всяком случае	1	1
25	же самое что история	1	1
26	не сам по себе	1	1
27	не что иное как	4	1
28	говоря уже о том	1	1
29	слова для того чтобы	1	1
30	не говоря уже о	1	1
31	но как мы уже	1	1
32	дело в том что	2	1
33	в истории языка и	1	1
34	в соответствии с этим	1	1
35	в самом деле даже	1	1
