1	то что мы	2	3
2	к тому что	1	3
3	за то что	1	3
4	в том что	17	2
5	хотя бы и	1	1
6	и во всяком	2	1
7	и не случайно	1	1
8	не могут быть	1	1
9	так и в	2	1
10	потому что оно	2	1
11	и менее всего	1	1
12	и в этом	2	1
13	по сравнению с	3	1
14	что он так	1	1
15	вместе с тем	10	1
16	раз и навсегда	1	1
17	так как она	2	1
18	и что в	1	1
19	в известном смысле	2	1
20	бы то ни	1	1
21	с другой стороны	3	1
22	не могли бы	2	1
23	и вместе с	2	1
24	в конце концов	1	1
25	как и в	2	1
26	тем что они	2	1
27	то и другое	4	1
