N	3gram	Voloshinov_1	EvropaiC
1	в том что	2	16
2	по отношению к	3	10
3	с точки зрения	5	8
4	на самом деле	1	7
5	на то что	1	7
6	более или менее	1	7
7	для того чтобы	1	6
8	в самом деле	2	5
9	с другой стороны	2	4
10	может быть и	1	4
11	тем не менее	1	4
12	не может быть	4	4
13	так же как	1	3
14	в связи с	1	3
15	в данном случае	2	3
16	в то же	1	2
17	с одной стороны	2	2
18	как и в	1	2
19	ничего общего с	2	2
20	но так как	2	2
21	только то что	1	2
22	так и для	1	2
23	то же время	1	2
24	мы все же	1	2
25	с самого начала	2	1
26	и помимо этого	1	1
27	элементов входящих в	1	1
28	между тем как	1	1
29	из него все	1	1
30	до тех пор	4	1
31	все же остается	1	1
32	тех случаях когда	1	1
33	иметь не может	1	1
34	иметь в виду	1	1
35	вместе с ними	1	1
36	в каждом индивидуальном	1	1
37	к тому что	1	1
38	между тем мы	1	1
39	то же самое	1	1
40	и не может	1	1
41	и то же	2	1
42	состоит в том	1	1
43	несмотря на все	1	1
44	не говорить о	1	1
45	в процессе подражания	1	1
46	только одно из	1	1
47	так как все	1	1
48	может быть не	1	1
49	будут с одной	1	1
50	в тех случаях	1	1
51	и более или	1	1
52	себя и все	1	1
53	но и его	1	1
54	в зависимости от	2	1
55	нет и не	1	1
56	та или иная	1	1
57	все то что	1	1
58	мы утверждаем что	1	1
59	таким образом мы	1	1
60	те же самые	1	1
61	одно и то	3	1
62	хотя бы в	1	1
