N	4gram	Losev_Prob_1	Dialekti
1	ни в каком случае	3	4
2	одно и то же	1	4
3	не имеет ничего общего	2	3
4	имеет ничего общего с	1	3
5	или по крайней мере	1	2
6	т д и т	3	2
7	д и т д	2	2
8	с точки зрения самого	1	2
9	и в то же	1	2
10	и даже больше того	1	2
11	и т д и	4	2
12	в каком случае не	2	2
13	и тем не менее	8	1
14	т д все это	1	1
15	дело в том что	3	1
16	в то или иное	1	1
17	предмет который от нас	1	1
18	вовсе не есть ни	1	1
19	всегда обладает светлой природой	1	1
20	сама по себе она	1	1
21	можно сказать только то	1	1
22	свой смысл и свое	1	1
23	идти дальше поэтому для	1	1
24	обладает светлой природой и	1	1
25	в нас а потому	1	1
26	известной степени просторными но	1	1
27	как бы ее ни	1	1
28	не что иное как	2	1
29	и т д все	1	1
30	в то время как	1	1
31	это значит что мы	1	1
32	по одному тому что	1	1
33	сказать только то что	1	1
34	в этом смысле есть	1	1
35	пустыми и холодными синее	1	1
36	в своей высшей чистоте	1	1
37	который от нас ускользает	1	1
38	кажутся до известной степени	1	1
39	это не значит что	1	1
40	дальше поэтому для комнат	1	1
41	же самое и в	1	1
42	и ни на что	1	1
43	проникает в нас а	1	1
44	всегда так или иначе	1	1
45	но в то же	1	1
46	то это значит что	1	1
47	и в этом отношении	1	1
48	для комнат в которых	1	1
49	в серые зимние дни	1	1
50	но в конце концов	1	1
51	приятный предмет который от	1	1
52	в которых постоянно находишься	1	1
53	до известной степени просторными	1	1
54	мы видим синими так	1	1
55	комнат в которых постоянно	1	1
56	видим синими так и	1	1
57	от нас ускользает так	1	1
58	то же самое и	1	1
59	светлой природой и отличается	1	1
60	есть не что иное	2	1
61	еще ничего не говорит	1	1
62	даже больше того как	1	1
63	поэтому для комнат в	1	1
64	преследуем приятный предмет который	1	1
65	природой и отличается ясностью	1	1
66	нас а потому что	1	1
67	уже по одному тому	1	1
68	и отличается ясностью веселостью	1	1
69	на самом же деле	1	1
70	когда мы говорим что	2	1
71	в связи с этим	1	1
72	и холодными синее стекло	1	1
