N	2gram	Medvedev_V_1	Narrotol
1	в том	2	14
2	и не	1	14
3	в этом	1	13
4	и в	2	13
5	том что	2	13
6	только в	1	11
7	в частности	1	11
8	сводится к	1	9
9	я не	1	5
10	далеко не	1	5
11	то же	1	4
12	в конце	2	4
13	и т.д	1	4
14	в другом	1	4
15	самом деле	1	3
16	и его	1	3
17	да и	1	3
18	столь же	1	2
19	в самом	1	2
20	потому что	1	2
21	все то	1	2
22	на одном	1	2
23	именно в	1	2
24	более чем	1	2
25	но это	1	2
26	собственно и	1	2
27	тем более	1	2
28	хотя бы	1	2
29	по поводу	1	2
30	говоря о	1	1
31	чего не	1	1
32	говорится в	1	1
33	в которых	1	1
34	не хотел	1	1
35	ясно что	1	1
36	время в	1	1
37	все время	1	1
38	себе лишь	1	1
39	даже не	1	1
40	а.н веселовский	2	1
41	как же	1	1
42	и составляет	1	1
43	же с	1	1
44	все это	1	1
45	этом и	1	1
46	другое дело	1	1
47	к этому	1	1
48	гораздо более	1	1
