N	2gram	Bakhtin_Pr_1	Narrotol
1	не только	13	32
2	может быть	21	25
3	но и	11	23
4	в качестве	1	21
5	и не	34	20
6	то есть	24	19
7	и в	23	19
8	в том	11	18
9	в этом	25	17
10	в частности	1	14
11	не в	6	14
12	том что	9	14
13	а не	20	12
14	тогда как	1	12
15	в рамках	2	12
16	своего рода	1	12
17	а в	7	11
18	то что	18	11
19	не может	11	10
20	точки зрения	21	10
21	так и	10	9
22	в его	24	9
23	со стороны	2	9
24	при этом	3	9
25	в мире	7	9
26	в себе	5	8
27	во времени	3	8
28	и т.п	3	8
29	героя в	4	8
30	с другой	2	8
31	все же	5	7
32	еще не	5	7
33	как и	8	7
34	времени и	1	7
35	к тому	1	7
36	такого рода	1	7
37	по отношению	11	7
38	как в	6	7
39	отношению к	11	6
40	тем самым	1	6
41	но не	8	6
42	в себя	3	6
43	в той	6	6
44	но в	4	6
45	именно в	6	6
46	о том	2	6
47	то в	1	6
48	что он	10	6
49	точка зрения	7	6
50	с его	6	6
51	в форме	6	5
52	можно сказать	2	5
53	к нему	3	5
54	по себе	7	5
55	мира в	6	5
56	отличие от	2	5
57	и его	13	5
58	не все	1	5
59	уже не	8	5
60	в этой	4	5
61	далеко не	1	5
62	в отличие	2	5
63	себя в	3	5
64	в основе	5	5
65	к себе	2	5
66	и как	8	5
67	в данном	2	5
68	как правило	1	4
69	и с	4	4
70	же время	7	4
71	данном случае	2	4
72	отличается от	2	4
73	прежде всего	7	4
74	здесь не	1	4
75	другой стороны	2	4
76	вслед за	1	4
77	при всей	1	4
78	за собой	1	4
79	хотя бы	2	4
80	те же	1	4
81	но все	4	4
82	же не	1	4
83	одной из	1	4
84	то же	10	4
85	героя и	5	4
86	что не	1	4
87	да и	2	4
88	в пространстве	3	4
89	только в	8	4
90	не столько	3	4
91	и тем	2	4
92	точку зрения	4	4
93	у него	6	4
94	же в	2	4
95	было бы	6	4
96	перед нами	4	4
97	из которых	2	4
98	о нем	11	4
99	как бы	28	4
100	сказать что	5	4
101	в нем	20	4
102	во втором	1	4
103	бы быть	1	3
104	это и	9	3
105	жизни и	6	3
106	не есть	1	3
107	бы то	3	3
108	что они	1	3
109	даже не	1	3
110	не будет	1	3
111	ни было	4	3
112	не менее	1	3
113	в произведении	1	3
114	и самого	4	3
115	будто бы	1	3
116	и он	1	3
117	по своей	1	3
118	жизни в	1	3
119	что в	8	3
120	в ее	1	3
121	между тем	5	3
122	никогда не	5	3
123	хотя и	1	3
124	на него	2	3
125	с ее	2	3
126	как мы	5	3
127	то ни	3	3
128	в то	10	3
129	в сущности	5	3
130	что это	1	3
131	ни в	3	3
132	один из	2	3
133	к содержанию	1	3
134	тем что	3	3
135	в первом	2	3
136	не о	1	3
137	а с	1	3
138	одна из	2	3
139	же как	1	3
140	могут быть	1	3
141	не существует	1	3
142	этом отношении	5	3
143	и на	10	3
144	он не	4	3
145	бытия в	1	3
146	героя к	1	3
147	в ней	1	3
148	на себя	3	3
149	уже в	5	3
150	как будто	3	3
151	а именно	1	3
152	из них	2	3
153	будто он	1	3
154	из этих	2	3
155	жизни как	1	3
156	и даже	3	3
157	все эти	8	2
158	точек зрения	3	2
159	одним из	8	2
160	в полном	1	2
161	здесь совершенно	1	2
162	жизни а	2	2
163	позиции и	1	2
164	приводит к	3	2
165	в значительной	1	2
166	оно не	2	2
167	должна быть	2	2
168	от всех	1	2
169	говорить о	2	2
170	события но	1	2
171	в литературе	3	2
172	говорит о	1	2
173	так же	6	2
174	и для	3	2
175	из многочисленных	1	2
176	личности в	4	2
177	процесса и	1	2
178	не было	3	2
179	она может	1	2
180	известном смысле	1	2
181	и все	3	2
182	есть в	3	2
183	на первый	1	2
184	в самую	1	2
185	наконец в	2	2
186	как раз	4	2
187	которого он	1	2
188	даже в	2	2
189	к которому	1	2
190	нами не	1	2
191	этой точки	1	2
192	того или	1	2
193	в аспекте	1	2
194	одно из	1	2
195	его в	4	2
196	или даже	2	2
197	и только	1	2
198	его как	5	2
199	все то	4	2
200	в результате	4	2
201	первый взгляд	1	2
202	зрения на	8	2
203	себе самом	6	2
204	отношение к	1	2
205	например в	3	2
206	что касается	1	2
207	для него	15	2
208	между ними	2	2
209	во всей	2	2
210	отношения к	2	2
211	прошлого и	1	2
212	авторской позиции	3	2
213	сами по	3	2
214	нет и	1	2
215	но как	3	2
216	значительной степени	1	2
217	не от	1	2
218	оно может	1	2
219	первом случае	1	2
220	с точки	15	2
221	однако в	2	2
222	он сам	3	2
223	при всех	1	2
224	идет о	3	2
225	они не	3	2
226	в противоположность	3	2
227	события по	1	2
228	зрения и	2	2
229	что у	1	2
230	нового времени	1	2
231	не на	3	2
232	одного сознания	4	2
233	не отличается	1	2
234	мира и	7	2
235	во второй	1	2
236	и потому	3	2
237	ничего не	6	2
238	для автора	3	2
239	его жизни	1	2
240	как к	1	2
241	наряду с	1	2
242	его личности	2	2
243	в пределах	9	2
244	совершенно не	1	2
245	этого слова	2	2
246	к другому	2	2
247	что именно	2	2
248	по существу	4	2
249	точкой зрения	1	2
250	в структуре	1	2
251	себя и	2	2
252	события в	1	2
253	она не	5	2
254	не являются	1	2
255	что мы	1	2
256	роль в	2	2
257	несмотря на	6	2
258	времени в	1	2
259	не как	12	2
260	тем более	1	2
261	в известном	1	2
262	подобно тому	3	2
263	всех его	1	2
264	одну из	1	2
265	не могло	1	2
266	представляют собой	1	2
267	в какой	1	2
268	или иного	1	2
269	героя с	2	2
270	самом деле	5	2
271	это не	10	2
272	и одновременно	3	2
273	который в	1	2
274	хотя в	1	2
275	не то	1	2
276	точно так	2	2
277	тому как	3	2
278	можно было	3	2
279	человека в	5	2
280	один голос	1	2
281	в своем	8	2
282	как формы	1	2
283	совершенно иной	1	2
284	всей его	2	2
285	и до	1	2
286	смерти не	1	1
287	что каждый	1	1
288	произведения не	1	1
289	что оно	1	1
290	не становится	5	1
291	часов с	1	1
292	реальность в	1	1
293	может и	1	1
294	в мышлении	1	1
295	образа и	1	1
296	какой бы	2	1
297	роман с	2	1
298	сознаний в	5	1
299	между людьми	1	1
300	известной степени	1	1
301	образом и	1	1
302	или иных	1	1
303	и здесь	3	1
304	на его	2	1
305	не знает	1	1
306	эту функцию	2	1
307	для нас	3	1
308	идея здесь	1	1
309	и наконец	5	1
310	входит в	2	1
311	если же	2	1
312	настоящим и	1	1
313	достоевского и	12	1
314	материала в	1	1
315	так называемого	1	1
316	место в	1	1
317	появляется в	1	1
318	но он	2	1
319	в вечности	1	1
320	которой в	1	1
321	рассказа что	1	1
322	единство художественного	1	1
323	ни одна	1	1
324	от этого	1	1
325	в плане	5	1
326	как таковой	1	1
327	идет не	3	1
328	с не	1	1
329	к концу	1	1
330	если оно	1	1
331	романа он	2	1
332	в один	2	1
333	на раскрытие	1	1
334	для себя	2	1
335	как таковое	1	1
336	нельзя сказать	1	1
337	к этим	1	1
338	есть нечто	1	1
339	и является	1	1
340	не могли	2	1
341	в настоящем	3	1
342	также может	1	1
343	крайней мере	2	1
344	или может	1	1
345	стремится к	1	1
346	нельзя признать	1	1
347	о герое	1	1
348	как такового	1	1
349	другое противоположное	1	1
350	чтобы сделать	1	1
351	не оставляет	1	1
352	вовсе не	8	1
353	на ее	1	1
354	над ним	1	1
355	таким образом	11	1
356	друг с	3	1
357	сих пор	2	1
358	строго говоря	1	1
359	которых может	1	1
360	автора с	1	1
361	у себя	3	1
362	с ним	6	1
363	в собственно	1	1
364	и во	2	1
365	быть только	1	1
366	далее и	1	1
367	мира где	1	1
368	в драме	5	1
369	оценки и	1	1
370	в тех	1	1
371	мы не	2	1
372	не так	1	1
373	не умер	2	1
374	героя о	3	1
375	в конце	5	1
376	предполагает и	1	1
377	до сих	2	1
378	к чужому	1	1
379	в смысле	2	1
380	то и	2	1
381	не меньшим	1	1
382	здесь становится	1	1
383	с другими	7	1
384	во всех	5	1
385	а на	1	1
386	только то	3	1
387	и взаимодействия	1	1
388	в художественном	2	1
389	характерно для	1	1
390	об этом	1	1
391	в их	3	1
392	бы он	1	1
393	не кто	1	1
394	как художественные	1	1
395	само по	2	1
396	видения мира	1	1
397	более того	3	1
398	автора как	3	1
399	это мир	1	1
400	пространстве а	2	1
401	слова не	1	1
402	со всеми	1	1
403	приходится искать	1	1
404	ответ на	1	1
405	оно и	1	1
406	до известной	1	1
407	мире не	1	1
408	этой проблемы	1	1
409	совсем не	1	1
410	более глубоким	1	1
411	и пр	1	1
412	его и	1	1
413	в году	1	1
414	отношения между	2	1
415	глава первая	1	1
416	изображаемого мира	2	1
417	ничем не	1	1
418	это разные	1	1
419	облик героя	1	1
420	есть не	2	1
421	роль этой	1	1
422	и разнообразный	1	1
423	этом смысле	9	1
424	самой по	1	1
425	позволяет нам	1	1
426	здесь мы	2	1
427	и перед	2	1
428	с этой	1	1
429	с другом	3	1
430	здесь в	1	1
431	того что	2	1
432	потому что	12	1
433	и оценки	1	1
434	мир в	2	1
435	в начале	1	1
436	оказывается уже	1	1
437	как не	4	1
438	для такого	1	1
439	что ни	1	1
440	он ни	1	1
441	было не	1	1
442	мысли о	1	1
443	лишь одним	2	1
444	и времени	1	1
445	становится в	1	1
446	в первый	1	1
447	мира с	1	1
448	области художественной	1	1
449	не об	3	1
450	сознания в	2	1
451	глава вторая	1	1
452	и больше	1	1
453	бывает в	1	1
454	он от	1	1
455	тех или	1	1
456	из его	3	1
457	голоса в	2	1
458	мира на	1	1
459	с героем	1	1
460	мысли и	2	1
461	произведения в	1	1
462	в россии	1	1
463	себе самому	3	1
464	особенности его	5	1
465	в новом	1	1
466	и ставит	1	1
467	и сам	2	1
468	слова а	2	1
469	уже по	1	1
470	и более	1	1
471	в трактовке	1	1
472	а как	6	1
473	он может	3	1
474	в единство	5	1
475	на свою	1	1
476	себе а	1	1
477	единства подобно	1	1
478	на самом	4	1
479	и внутренняя	1	1
480	и при	1	1
481	они и	1	1
482	больше всего	1	1
483	к событию	1	1
484	в разрезе	5	1
485	все время	1	1
