N	3gram	Bakhtin_sl_2	EvropaiE
1	с точки зрения	3	16
2	в то же	4	15
3	то же время	4	14
4	в отношении к	4	12
5	и в то	1	8
6	с одной стороны	5	8
7	одной стороны и	3	6
8	в том что	4	6
9	для того чтобы	2	5
10	не только в	2	4
11	того или иного	1	4
12	той или иной	5	4
13	в той или	3	3
14	хотя бы и	2	3
15	в этом отношении	3	3
16	в применении к	1	3
17	во всяком случае	2	3
18	в известной степени	1	3
19	иначе обстоит дело	1	2
20	рано или поздно	1	2
21	но в то	3	2
22	так и в	3	2
23	с другой стороны	1	2
24	не может быть	15	2
25	в частности в	1	2
26	и притом в	1	2
27	в свою очередь	2	2
28	мы можем сказать	1	2
29	обстоит дело в	1	2
30	есть не только	1	2
31	на то что	1	2
32	в большинстве случаев	5	2
33	как мы видели	1	2
34	не может не	1	1
35	от эмпирической действительности	1	1
36	хотя и не	1	1
37	хотя бы только	1	1
38	более или менее	2	1
39	большей или меньшей	1	1
40	также и в	1	1
41	то есть к	1	1
42	эта может быть	1	1
43	можно утверждать что	1	1
44	и не только	1	1
45	и не в	1	1
46	в лучшем случае	1	1
47	а также в	1	1
48	в отличие от	12	1
49	но и в	1	1
50	том числе и	1	1
51	мы увидим что	1	1
52	или иной степени	3	1
53	мы говорили в	1	1
54	отметить что и	1	1
55	сводится именно к	1	1
56	может быть и	2	1
57	к сожалению не	1	1
58	как не может	1	1
59	вовсе не обязательно	1	1
60	в значительной степени	6	1
61	а также и	2	1
62	как сказал бы	1	1
63	не могут быть	2	1
64	во всех этих	1	1
65	в связи с	2	1
66	так и для	2	1
67	друг к другу	1	1
68	в последнем случае	1	1
69	о которых мы	1	1
70	мы видели что	1	1
71	и затем в	1	1
72	вовсе не в	1	1
73	мы не можем	1	1
74	и в идеологическом	1	1
75	оно не может	3	1
76	речь идет о	1	1
77	во всем его	1	1
78	при условии если	1	1
79	и ту же	1	1
80	для нас в	1	1
81	в том числе	1	1
82	тех или иных	1	1
83	так и по	1	1
84	одну и ту	1	1
85	всех этих случаях	1	1
86	и т д	2	1
87	в пределах одного	7	1
