N	4gram	Bakhtin_Pr_5	Freidism
1	в то же время	10	4
2	мы можем сказать что	2	3
3	бы то ни было	3	2
4	ни в чем не	1	2
5	но в то же	4	2
6	но тем не менее	1	1
7	мы остановимся только на	1	1
8	и что он сам	1	1
9	или во всяком случае	1	1
10	в сознание и в	1	1
11	не чем иным как	1	1
12	во всяком случае в	1	1
13	в его целом то	1	1
14	но и по отношению	1	1
15	так и в отношении	1	1
16	во всяком случае не	1	1
17	сводится к тому чтобы	2	1
18	как раз и не	1	1
19	в такой же степени	2	1
20	и по отношению к	1	1
