N	2gram	Medvedev_B_1	Dialekti
1	и не	2	30
2	а не	1	18
3	и в	1	15
4	говорить о	1	11
5	прежде всего	1	11
6	было бы	1	9
7	все это	2	9
8	и ее	1	8
9	и о	1	8
10	не только	1	8
11	крайней мере	1	7
12	должна быть	1	7
13	что в	1	7
14	по крайней	1	7
15	тем более	1	6
16	так и	1	5
17	таким образом	1	5
18	и на	1	5
19	в ней	2	5
20	еще не	1	4
21	отнюдь не	1	4
22	бы только	1	4
23	не о	1	4
24	что все	1	4
25	и нет	1	3
26	в своей	1	3
27	в области	1	3
28	совершенно не	1	3
29	у нас	3	3
30	и потому	1	3
31	об этом	1	3
32	за пределы	1	3
33	в данном	1	3
34	все же	1	2
35	вопрос о	1	2
36	другой стороны	1	2
37	не было	1	2
38	кроме того	1	2
39	и во	1	2
40	во всяком	1	2
41	из ее	1	2
42	одной из	1	2
43	говорить об	1	2
44	не мешало	1	2
45	как будто	1	2
46	никак не	1	2
47	не признать	1	1
48	его какой-то	1	1
49	более подробно	1	1
50	и свободный	1	1
51	же не	1	1
52	такое определение	1	1
53	и классификация	1	1
54	на самом	1	1
55	не то	2	1
56	было и	1	1
57	видеть в	2	1
58	будто бы	1	1
59	до конца	1	1
60	иначе не	1	1
61	по этим	1	1
62	с другой	1	1
63	его не	1	1
64	всего в	1	1
65	остановиться на	1	1
66	говорить не	1	1
67	по отдельным	1	1
68	можно было	2	1
69	в пределах	1	1
70	признать его	1	1
71	классификация этих	1	1
72	и более	1	1
