N	2gram	Medvedev_F_3	OGranits
1	и в	27	13
2	и его	19	12
3	прежде всего	4	9
4	может быть	25	8
5	не может	24	8
6	и не	30	8
7	в его	7	7
8	и их	5	7
9	и пр	15	7
10	точки зрения	16	7
11	эстетический объект	1	7
12	социального общения	9	6
13	стилистических приемов	1	6
14	только в	8	6
15	как бы	8	6
16	не только	9	6
17	то что	8	6
18	мы должны	2	6
19	таким образом	18	6
20	художественного произведения	7	5
21	языка и	1	5
22	социальная оценка	19	5
23	все же	6	5
24	экспрессивная интонация	3	5
25	но ведь	4	5
26	в поэзии	3	5
27	с точки	14	5
28	в процессе	15	5
29	словесного материала	1	5
30	хотя бы	6	5
31	и эта	3	5
32	мы не	4	4
33	произведения как	6	4
34	социальной группы	2	4
35	но мы	1	4
36	слов и	4	4
37	еще и	1	4
38	на фоне	3	4
39	но в	6	4
40	вопроса о	1	4
41	мы можем	4	4
42	то же	15	4
43	лишь в	9	4
44	в сознании	1	4
45	художественного общения	1	4
46	в своей	6	4
47	было бы	6	4
48	все это	7	4
49	в двух	1	4
50	не является	5	4
51	материала в	5	4
52	вполне понятно	1	4
53	в каждом	5	4
54	и то	1	3
55	поэтической речи	1	3
56	в ее	4	3
57	самом деле	16	3
58	в пределах	8	3
59	так и	21	3
60	говорить о	2	3
61	в их	1	3
62	по отношению	3	3
63	в поэтике	1	3
64	за пределы	2	3
65	экспрессивной интонации	1	3
66	с этим	1	3
67	синтаксической интонации	1	3
68	в себе	3	3
69	к единству	1	3
70	языка как	2	3
71	к одному	1	3
72	не как	2	3
73	в одном	1	3
74	так как	9	3
75	одно и	1	3
76	материала и	3	3
77	но и	10	3
78	слово в	2	3
79	как и	14	3
80	что же	5	3
81	не в	12	3
82	да и	4	3
83	поэтического произведения	1	3
84	но для	2	3
85	и для	6	3
86	никогда не	5	3
87	и все	8	3
88	превращается в	2	3
89	отношению к	3	3
90	что в	8	3
91	в искусстве	7	3
92	смысле слова	2	2
93	произведения но	4	2
94	в жизненной	1	2
95	и др	2	2
96	данном случае	4	2
97	художественных произведений	1	2
98	зависимости от	5	2
99	в произведении	3	2
100	только его	1	2
101	и может	1	2
102	роль в	4	2
103	и этот	1	2
104	мы уже	3	2
105	те же	3	2
106	есть не	1	2
107	произведения является	2	2
108	если бы	12	2
109	языковых форм	1	2
110	к предмету	1	2
111	с самого	1	2
112	и должно	1	2
113	в ней	5	2
114	ее в	3	2
115	помимо этого	1	2
116	высказывание и	1	2
117	между тем	7	2
118	лишь путем	1	2
119	явлений и	1	2
120	в общем	2	2
121	нуждается в	3	2
122	в языке	2	2
123	каждый элемент	4	2
124	что они	5	2
125	наконец в	1	2
126	к сожалению	1	2
127	чем же	2	2
128	и следовательно	3	2
129	может иметь	2	2
130	его на	1	2
131	как в	4	2
132	в данном	6	2
133	в этом	18	2
134	о социальной	1	2
135	но так	2	2
136	для поэта	1	2
137	в том	7	2
138	мы видим	1	2
139	тот же	1	2
140	в действительности	9	2
141	или иного	1	2
142	от этого	2	2
143	которое мы	1	2
144	во времени	1	2
145	в целом	4	2
146	и тем	3	2
147	формальный метод	1	2
148	все эти	6	2
149	с одной	1	2
150	учение о	2	2
151	уже в	4	2
152	может заставить	1	2
153	изобразительных искусствах	1	2
154	кажется что	2	2
155	в нем	15	2
156	при этом	8	2
157	и социально	2	2
158	для него	1	2
159	говорить об	2	2
160	вовсе не	28	2
