N	3gram	Losev_Dial_2	RusskieA
1	в том что	6	18
2	в данном случае	2	6
3	т е в	3	5
4	и т д	15	5
5	вместе с тем	1	4
6	так же как	1	4
7	о том что	4	4
8	не может быть	3	3
9	это показывает что	1	3
10	подобно тому как	1	3
11	только тогда когда	4	3
12	тем не менее	2	2
13	что иное как	3	2
14	же как и	1	2
15	на самом же	1	2
16	может быть только	2	2
17	не что иное	3	2
18	мы имеем не	1	2
19	самом же деле	1	2
20	бросается в глаза	1	2
21	в то время	3	2
22	в таком виде	1	2
23	с одной стороны	1	2
24	том что в	1	1
25	потому что он	2	1
26	не может не	3	1
27	в египетской религии	1	1
28	иметь в виду	2	1
29	в виду что	2	1
30	более или менее	2	1
31	так что в	1	1
32	одна из основных	1	1
33	того или другого	1	1
34	о том как	1	1
35	и во многих	1	1
36	не отличаются от	1	1
37	т е что	1	1
38	и то и	1	1
39	но и в	1	1
40	в этом отношении	1	1
41	но это не	2	1
42	также что в	1	1
43	может быть и	3	1
44	в это время	1	1
45	и после этого	1	1
46	все то же	1	1
47	т д с	1	1
48	и от этого	1	1
49	во всяком случае	2	1
50	на первый взгляд	1	1
51	так как это	2	1
52	в некоторых случаях	1	1
53	и в этом	1	1
54	то время как	3	1
55	как и вообще	1	1
56	с другой стороны	4	1
57	на этом основании	1	1
58	и в том	1	1
59	т е как	1	1
60	и в мифе	1	1
61	это еще не	1	1
62	в поле с	1	1
63	целый год и	1	1
64	на сцену а	1	1
65	имея в виду	1	1
66	тем и другим	1	1
67	к выводу что	1	1
68	не только на	1	1
69	можно сказать что	3	1
70	вопрос о том	1	1
71	как мы уже	1	1
72	во многих отношениях	1	1
73	дело не в	1	1
74	это не вызывает	1	1
75	мы уже знаем	3	1
76	это и есть	1	1
77	можно понимать как	1	1
